_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 17:35:00 UTC 2017	750.0	1.164382208E9	1.3243003E7	53.0	2.2102016E7	184146.953125	118.0	1.160769536E9	27616.42578125	133.0	131.0	1.079287808E9	1.090179072E9	2469031.5	0.12974999845027924	0.1887499988079071	0.19499999284744263	0.27799999713897705	0.8020526766777039	373.0	16666.0	16458.0	22.0	19.0	0.0	0.0	0.0	0.0	8.3806202E7	8.2698569E7	2.0261951E7	2.8315729E7	2.8450765E7	2.2310435E7	null	5.9710735E7	null	9596401.0	null	9596401.0	2574024.0	2661493.0	
Fri May 12 17:34:00 UTC 2017	734.0	1.16324352E9	1.3243003E7	50.0	2.2986752E7	184146.953125	115.0	1.160019968E9	27616.42578125	125.0	123.0	1.07851776E9	1.09031424E9	2469031.5	0.10000000149011612	0.17675000429153442	0.18199999630451202	0.2722499966621399	0.8018701672554016	318.0	15366.0	15171.0	13.0	12.0	0.0	0.0	0.0	0.0	7.9866021E7	7.9817075E7	2.2328525E7	1.8258176E7	2.159759E7	1.3795633E7	null	5.6615447E7	null	8860569.0	null	8860569.0	2219950.0	2007846.0	
Fri May 12 17:33:00 UTC 2017	690.0	1.164058624E9	1.2151068E7	46.0	2.2986752E7	145588.46875	109.0	1.160265728E9	27616.42578125	114.0	112.0	1.078542336E9	1.090453504E9	2308012.0	0.09849999845027924	0.17100000381469727	0.17249999940395355	0.24424999952316284	0.8018726110458374	318.0	14109.0	13915.0	10.0	12.0	0.0	0.0	0.0	0.0	6.9221409E7	7.4316989E7	1.5770053E7	1.2881963E7	1.1441731E7	1.2212172E7	null	4.7188846E7	null	8095472.0	null	8095472.0	1900443.0	2189123.0	
Fri May 12 17:32:00 UTC 2017	631.0	1.163198464E9	1.0632505E7	44.0	2.2040576E7	145588.46875	108.0	1.159376896E9	27616.42578125	109.0	109.0	1.078628352E9	1.090387968E9	2235642.0	0.08799999952316284	0.17399999499320984	0.19474999606609344	0.2529999911785126	0.8016382455825806	318.0	12841.0	12675.0	10.0	12.0	0.0	0.0	0.0	0.0	6.319454E7	6.3006442E7	8513265.0	1.0150705E7	7711735.0	2.755332E7	null	3.8855722E7	null	7135856.0	null	7135856.0	1915106.0	1821021.0	
Fri May 12 17:31:00 UTC 2017	617.0	1.164427264E9	1.0632505E7	43.0	2.2994944E7	145588.46875	103.0	1.159532544E9	27616.42578125	108.0	107.0	1.079435264E9	1.090531328E9	2235642.0	0.10125000029802322	0.17225000262260437	0.16750000417232513	0.24899999797344208	0.801517903804779	267.0	11762.0	11609.0	1.0	4.0	0.0	0.0	0.0	0.0	6.2881162E7	6.4584672E7	8204119.0	6930939.0	7546905.0	7715816.0	null	4.2156793E7	null	7512331.0	null	7512331.0	1947988.0	1655168.0	
Fri May 12 17:30:00 UTC 2017	594.0	1.16389888E9	1.0632505E7	39.0	2.1356544E7	145588.46875	97.0	1.1593728E9	24350.974609375	99.0	97.0	1.079525376E9	1.090617344E9	2023116.75	0.0885000005364418	0.15974999964237213	0.1577499955892563	0.22425000369548798	0.8011974692344666	267.0	10698.0	10559.0	1.0	3.0	0.0	0.0	0.0	0.0	5.2190192E7	5.5892117E7	7996878.0	1.0088567E7	6635895.0	9199523.0	null	3.6077444E7	null	7024324.0	null	7024324.0	1939807.0	2032205.0	
Fri May 12 17:29:00 UTC 2017	527.0	1.164173312E9	1.0283294E7	38.0	2.2290432E7	145588.46875	95.0	1.15873792E9	24350.974609375	97.0	95.0	1.079611392E9	1.090756608E9	1936678.0	0.09449999779462814	0.15199999511241913	0.15575000643730164	0.21975000202655792	0.8010428547859192	267.0	9632.0	9504.0	1.0	3.0	0.0	0.0	0.0	0.0	4.8128963E7	4.9226872E7	6699238.0	5459851.0	5271694.0	7703482.0	null	3.2043334E7	null	6352731.0	null	6352731.0	1566589.0	1560259.0	
Fri May 12 17:28:00 UTC 2017	532.0	1.163759616E9	9814656.0	36.0	2.2245376E7	122578.734375	93.0	1.15853312E9	24397.54296875	95.0	91.0	1.07890688E9	1.090838528E9	1936678.0	0.09425000101327896	0.15549999475479126	0.1577499955892563	0.21199999749660492	0.8008740544319153	232.0	8690.0	8573.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0743907E7	4.9418605E7	6014658.0	5134664.0	6209917.0	5530117.0	null	3.2759948E7	null	6476702.0	null	6476702.0	1495980.0	1513797.0	
Fri May 12 17:27:00 UTC 2017	496.0	1.164255232E9	8174351.0	32.0	2.1307392E7	122578.734375	85.0	1.158139904E9	21957.529296875	85.0	79.0	1.078992896E9	1.09092864E9	1612265.0	0.09775000065565109	0.1472499966621399	0.14374999701976776	0.20125000178813934	0.8006484508514404	232.0	7777.0	7651.0	1.0	3.0	0.0	0.0	0.0	0.0	4.7687308E7	4.6796855E7	5141785.0	5135349.0	6671941.0	4315321.0	null	3.0745085E7	null	6309154.0	null	6309154.0	1535932.0	1721439.0	
Fri May 12 17:26:00 UTC 2017	449.0	1.165099008E9	8174351.0	31.0	2.0549632E7	101632.140625	80.0	1.158148096E9	19719.958984375	78.0	77.0	1.07993088E9	1.091018752E9	1612265.0	0.09000000357627869	0.1407500058412552	0.13850000500679016	0.1940000057220459	0.8004087209701538	232.0	6842.0	6759.0	1.0	3.0	0.0	0.0	0.0	0.0	4.9046896E7	5.0467112E7	5455005.0	7400342.0	6122756.0	7358832.0	null	2.9980338E7	null	6124065.0	null	6124065.0	1859606.0	1638307.0	
Fri May 12 17:25:00 UTC 2017	427.0	1.163784192E9	8174351.0	31.0	2.148352E7	101632.140625	78.0	1.158467584E9	19719.958984375	81.0	77.0	1.080143872E9	1.091104768E9	1646482.5	0.11874999850988388	0.13824999332427979	0.14499999582767487	0.19325000047683716	0.8002394437789917	183.0	6077.0	5993.0	1.0	0.0	0.0	0.0	0.0	0.0	4.292026E7	4.4362265E7	4594769.0	4318021.0	4873020.0	5146945.0	null	2.9783716E7	null	5973108.0	null	5973108.0	1488242.0	1420713.0	
Fri May 12 17:24:00 UTC 2017	424.0	1.164591104E9	8174351.0	31.0	2.0549632E7	101632.140625	78.0	1.157525504E9	19719.958984375	77.0	76.0	1.080107008E9	1.091252224E9	1539473.75	0.08900000154972076	0.14024999737739563	0.13449999690055847	0.18000000715255737	0.8001352548599243	183.0	5346.0	5263.0	1.0	0.0	0.0	0.0	0.0	0.0	4.5513032E7	4.3831533E7	8623875.0	5938214.0	5246422.0	7273666.0	null	2.938936E7	null	5884979.0	null	5884979.0	1523063.0	1901750.0	
Fri May 12 17:23:00 UTC 2017	407.0	1.164480512E9	7898892.0	30.0	2.2167552E7	101632.140625	79.0	1.157382144E9	20066.80859375	76.0	71.0	1.079394304E9	1.09133824E9	1539473.75	0.08349999785423279	0.1420000046491623	0.13300000131130219	0.19374999403953552	0.7997956871986389	183.0	4624.0	4537.0	1.0	0.0	0.0	0.0	0.0	0.0	4.3209214E7	4.8988392E7	5488203.0	5367482.0	4605048.0	5407274.0	null	2.9230138E7	null	5835120.0	null	5835120.0	1545671.0	1453248.0	
Fri May 12 17:22:00 UTC 2017	400.0	1.165082624E9	4959626.5	27.0	2.1229568E7	101632.140625	79.0	1.157390336E9	20066.80859375	72.0	70.0	1.07954176E9	1.091424256E9	1055636.875	0.09175000339746475	0.13300000131130219	0.13224999606609344	0.17350000143051147	0.7997618913650513	182.0	3894.0	3817.0	1.0	0.0	0.0	0.0	0.0	0.0	4.1496006E7	5.1395001E7	4595856.0	5430375.0	5698839.0	5687435.0	null	2.9013112E7	null	6024772.0	null	6024772.0	1362552.0	1476795.0	
Fri May 12 17:21:00 UTC 2017	374.0	1.1638784E9	4959626.5	21.0	2.0529152E7	72862.015625	65.0	1.15724288E9	13566.87109375	55.0	57.0	1.080594432E9	1.092001792E9	1055636.875	0.08900000154972076	0.11924999952316284	0.11550000309944153	0.1602499932050705	0.7994717955589294	182.0	3172.0	3086.0	1.0	0.0	0.0	0.0	0.0	0.0	3.7779424E7	3.7755346E7	5190957.0	4815335.0	4374913.0	4070989.0	null	2.5987204E7	null	5573901.0	null	5573901.0	1419328.0	1304075.0	
Fri May 12 17:20:00 UTC 2017	287.0	1.164955648E9	4959626.5	19.0	2.146304E7	72862.015625	55.0	1.15685376E9	13566.87109375	47.0	49.0	1.080557568E9	1.092149248E9	723621.0625	0.07575000077486038	0.11675000190734863	0.11275000125169754	0.1379999965429306	0.7991189956665039	182.0	2449.0	2369.0	1.0	0.0	0.0	0.0	0.0	0.0	4.2633687E7	4.9720889E7	6895925.0	1.892644E7	4791044.0	6979963.0	null	2.8181484E7	null	5756793.0	null	5756793.0	1680823.0	1654926.0	
Fri May 12 17:19:00 UTC 2017	259.0	1.16453376E9	3334376.75	18.0	2.2249472E7	70511.4609375	59.0	1.156653056E9	13963.03125	47.0	45.0	1.07978752E9	1.092235264E9	723621.0625	0.0925000011920929	0.1107499971985817	0.10400000214576721	0.14550000429153442	0.8007761836051941	120.0	1935.0	1865.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2536847E7	5.7043514E7	4775129.0	2.1606748E7	8248170.0	4672123.0	null	3.0531855E7	null	5651195.0	null	5651195.0	1470400.0	1330094.0	
Fri May 12 17:18:00 UTC 2017	243.0	1.163091968E9	3334376.75	13.0	2.1520384E7	48757.32421875	46.0	1.156575232E9	8731.8408203125	37.0	34.0	1.081741312E9	1.09232128E9	723621.0625	0.0767500028014183	0.10499999672174454	0.10000000149011612	0.12125000357627869	0.7984580397605896	120.0	1459.0	1392.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5419304E7	5.1317093E7	6910496.0	2.251794E7	8003111.0	4920210.0	null	2.8483175E7	null	5518108.0	null	5518108.0	1526984.0	1481931.0	
Fri May 12 17:17:00 UTC 2017	177.0	1.163091968E9	2062154.75	11.0	2.2196224E7	40970.203125	37.0	1.15664896E9	8731.8408203125	31.0	27.0	1.081880576E9	1.0924032E9	81524.5234375	0.0860000029206276	0.09049999713897705	0.08699999749660492	0.10474999994039536	0.7982960939407349	120.0	970.0	919.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2021489E7	6.9355077E7	4854231.0	9651959.0	2.3293766E7	6753909.0	null	2.8756572E7	null	5399322.0	null	5399322.0	1539444.0	1370384.0	
Fri May 12 17:16:00 UTC 2017	146.0	1.164136448E9	2062154.75	9.0	2.0283392E7	30050.513671875	37.0	1.156583424E9	8894.765625	27.0	23.0	1.081110528E9	1.092493312E9	81524.5234375	0.08524999767541885	0.09525000303983688	0.08799999952316284	0.10975000262260437	0.7979863286018372	74.0	648.0	617.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4590462E7	6.4019677E7	7691521.0	2.4262221E7	1.8804765E7	1.3223692E7	null	5.9043978E7	null	6094525.0	null	6094525.0	1477251.0	1909736.0	
Fri May 12 17:15:00 UTC 2017	114.0	1.164251136E9	32149.041015625	2.0	2.0283392E7	6588.8740234375	16.0	1.156558848E9	591.7340087890625	10.0	7.0	1.081749504E9	1.092579328E9	81524.5234375	0.10100000351667404	0.07325000315904617	0.05849999934434891	0.0689999982714653	0.7978366613388062	74.0	361.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7942563E7	7.7936002E7	1.9561171E7	9037237.0	1.6340123E7	1.5183111E7	null	3.3014169E7	null	5619888.0	null	5619888.0	1390338.0	2053321.0	
Fri May 12 17:14:00 UTC 2017	27.0	1.163210752E9	32149.041015625	0.0	2.0283392E7	0.0	4.0	1.156079616E9	591.7340087890625	1.0	0.0	1.08183552E9	1.09266944E9	16458.23828125	0.07249999791383743	0.06825000047683716	0.05324999988079071	0.06849999725818634	0.7977084517478943	74.0	63.0	null	0.0	null	0.0	null	0.0	null	5.9040863E7	7.3083034E7	1.160559E7	2.1400957E7	4896815.0	5544054.0	null	2.9126609E7	null	6124745.0	null	6124745.0	1542496.0	1333853.0	
Fri May 12 17:13:00 UTC 2017	4.0	1.16410368E9	32149.041015625	0.0	1.9345408E7	0.0	5.0	1.156079616E9	521.7630615234375	1.0	1.0	1.081982976E9	1.092755456E9	5276.7451171875	0.07349999994039536	0.06324999779462814	0.05000000074505806	0.06674999743700027	0.797691822052002	1.0	18.0	null	0.0	null	0.0	null	0.0	null	null	1.01538622E8	null	4824548.0	null	3688843.0	null	9.6203888E7	null	6.7486425E7	null	6.7486425E7	1534296.0	1143958.0	
Fri May 12 17:12:00 UTC 2017	3.0	1.16410368E9	24101.5625	0.0	2.02752E7	0.0	4.0	1.155866624E9	366.183837890625	1.0	1.0	1.082068992E9	1.092845568E9	29.897024154663086	0.07124999910593033	0.06449999660253525	0.05299999937415123	0.0625	0.797676146030426	1.0	9.0	null	0.0	null	0.0	null	0.0	null	null	1.6485496E7	null	5867300.0	null	8706692.0	null	1.1055627E7	null	5012328.0	null	5012328.0	1416162.0	2786491.0	
Fri May 12 17:11:00 UTC 2017	2.0	1.16410368E9	13500.287109375	0.0	1.9341312E7	0.0	3.0	1.156231168E9	366.183837890625	1.0	0.0	1.08136448E9	1.09293568E9	29.897024154663086	0.08375000208616257	0.06800000369548798	0.04675000160932541	0.06875000149011612	0.7976688146591187	1.0	null	null	null	null	null	null	null	null	null	7967021.0	null	4514317.0	null	5587622.0	null	6362501.0	null	5381916.0	null	5381916.0	1154214.0	1504183.0	
Fri May 12 17:10:00 UTC 2017	1.0	1.163091968E9	13500.287109375	0.0	1.9341312E7	1.5136436223983765	4.0	1.155956736E9	366.183837890625	0.0	0.0	1.082363904E9	1.093021696E9	29.897024154663086	0.07625000178813934	0.06324999779462814	0.04675000160932541	0.05950000137090683	0.7977558970451355	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Fri May 12 17:09:00 UTC 2017	2.0	1.16410368E9	13500.287109375	0.0	2.02752E7	1.5136436223983765	3.0	1.156231168E9	366.183837890625	1.0	1.0	1.08251136E9	1.093169152E9	26.0050048828125	0.07275000214576721	0.06825000047683716	0.05674999952316284	0.0729999989271164	0.7977662086486816	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
