('profile: ', [(0, 3), (1, 3), (74, 3), (120, 3), (182, 3), (183, 3), (232, 3), (267, 3), (318, 3), (373, 3), (421, 3), (425, 3), (492, 3), (554, 3), (575, 3), (600, 3)])
('2017-05-12 17:07:05', 1494608825, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-12 17:10:05', 1494609005, 'Users=', 1, 'Duration=', 3, 'min')
('2017-05-12 17:13:05', 1494609185, 'Users=', 74, 'Duration=', 3, 'min')
('2017-05-12 17:16:05', 1494609365, 'Users=', 120, 'Duration=', 3, 'min')
('2017-05-12 17:19:05', 1494609545, 'Users=', 182, 'Duration=', 3, 'min')
('2017-05-12 17:22:05', 1494609725, 'Users=', 183, 'Duration=', 3, 'min')
('2017-05-12 17:25:05', 1494609905, 'Users=', 232, 'Duration=', 3, 'min')
('2017-05-12 17:28:06', 1494610086, 'Users=', 267, 'Duration=', 3, 'min')
('2017-05-12 17:31:06', 1494610266, 'Users=', 318, 'Duration=', 3, 'min')
('2017-05-12 17:34:06', 1494610446, 'Users=', 373, 'Duration=', 3, 'min')
('2017-05-12 17:37:06', 1494610626, 'Users=', 421, 'Duration=', 3, 'min')
('2017-05-12 17:40:06', 1494610806, 'Users=', 425, 'Duration=', 3, 'min')
('2017-05-12 17:43:06', 1494610986, 'Users=', 492, 'Duration=', 3, 'min')
('2017-05-12 17:46:06', 1494611166, 'Users=', 554, 'Duration=', 3, 'min')
('2017-05-12 17:49:06', 1494611346, 'Users=', 575, 'Duration=', 3, 'min')
('2017-05-12 17:52:06', 1494611526, 'Users=', 600, 'Duration=', 3, 'min')
