_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge	memusage_edge	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	responseTimePercentile_middle	responseTimePercentile_edge	
2017-04-22-13:31:00	445.0	9.99079936E8	19.0	2.7475968E7	63.0	5.57535232E8	0.0	0.06350000202655792	0.1262499988079071	0.953499972820282	600.0	18392.0	12834.0	5.0	0.0	null	null	
2017-04-22-13:31:00	445.0	9.99079936E8	19.0	2.7475968E7	63.0	5.57535232E8	0.0	0.06350000202655792	0.1262499988079071	0.953499972820282	600.0	18392.0	12834.0	5.0	0.0	null	null	
2017-04-22-13:30:00	431.0	9.99596032E8	19.0	2.7475968E7	63.0	5.43158272E8	0.0	0.07000000029802322	0.1420000046491623	0.9512500166893005	600.0	17630.0	11648.0	1.0	0.0	null	null	
2017-04-22-13:30:00	431.0	9.99596032E8	19.0	2.7475968E7	63.0	5.43158272E8	0.0	0.07000000029802322	0.1420000046491623	0.9512500166893005	600.0	17630.0	11648.0	1.0	0.0	null	null	
2017-04-22-13:29:00	456.0	9.98432768E8	19.0	983040.0	63.0	5.43158272E8	0.0	0.07124999910593033	0.1379999965429306	0.953000009059906	600.0	17027.0	10283.0	0.0	0.0	null	null	
2017-04-22-13:29:00	456.0	9.98432768E8	19.0	983040.0	63.0	5.43158272E8	0.0	0.07124999910593033	0.1379999965429306	0.953000009059906	600.0	17027.0	10283.0	0.0	0.0	null	null	
2017-04-22-13:28:00	431.0	9.98731776E8	19.0	983040.0	63.0	5.43158272E8	0.0	0.07774999737739563	0.1367499977350235	0.9522500038146973	500.0	16277.0	9094.0	0.0	0.0	null	null	
2017-04-22-13:28:00	431.0	9.98731776E8	19.0	983040.0	63.0	5.43158272E8	0.0	0.07774999737739563	0.1367499977350235	0.9522500038146973	500.0	16277.0	9094.0	0.0	0.0	null	null	
2017-04-22-13:27:00	441.0	9.9893248E8	19.0	0.0	63.0	5.43158272E8	0.0	0.06549999862909317	0.13300000131130219	0.9514999985694885	500.0	15438.0	7988.0	0.0	0.0	null	null	
2017-04-22-13:27:00	441.0	9.9893248E8	19.0	0.0	63.0	5.43158272E8	0.0	0.06549999862909317	0.13300000131130219	0.9514999985694885	500.0	15438.0	7988.0	0.0	0.0	null	null	
2017-04-22-13:26:00	444.0	9.98756352E8	19.0	983040.0	0.0	5.33794816E8	0.0	0.06800000369548798	0.1237500011920929	0.953249990940094	500.0	14598.0	6905.0	0.0	0.0	null	null	
2017-04-22-13:26:00	444.0	9.98756352E8	19.0	983040.0	0.0	5.33794816E8	0.0	0.06800000369548798	0.1237500011920929	0.953249990940094	500.0	14598.0	6905.0	0.0	0.0	null	null	
2017-04-22-13:25:00	437.0	9.98445056E8	19.0	983040.0	0.0	958464.0	0.0	0.07474999874830246	0.12825000286102295	0.9514999985694885	400.0	13863.0	5998.0	0.0	0.0	null	null	
2017-04-22-13:25:00	437.0	9.98445056E8	19.0	983040.0	0.0	958464.0	0.0	0.07474999874830246	0.12825000286102295	0.9514999985694885	400.0	13863.0	5998.0	0.0	0.0	null	null	
