_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 20:00:00 UTC 2017,535,1198022656,10077860,39,27484160,97797.625,103,862142464,21112.90234375,94,89,1124700160,1133940736,2026934.625,,0.093999996781349,0.103500001132488,0.153249993920326,0.268750011920929,0.920184254646301,250,7791,7962,0,0,0,0,0,0,44339751,41251723,6089403,4660691,6662419,5694082,33082671,7375908,7375908,1900555,2008700
Sun Apr 30 19:59:00 UTC 2017,500,1198706688,8811852,35,27975680,97797.625,93,861851648,21112.90234375,78,80,1125187584,1135091712,1447091.875,,0.078500002622604,0.10275000333786,0.113750003278255,0.248999997973442,0.91999340057373,250,6805,6965,0,0,0,0,0,0,49456813,38832710,5001916,5136074,6475750,4494250,33337817,7400065,7400065,2073711,2069418
Sun Apr 30 19:58:00 UTC 2017,434,1197670400,8269619,33,27279360,90880.375,89,861720576,21112.90234375,72,78,1125330944,1135177728,1447091.875,,0.084250003099442,0.090999998152256,0.118249997496605,0.239749997854233,0.919624984264374,250,5925,6055,0,0,0,0,0,0,43817630,37186174,5964598,4493375,5289247,7998580,30891841,6419300,6419300,1618308,1758928
Sun Apr 30 19:57:00 UTC 2017,415,1197613056,7756287,31,27967488,85352.2109375,92,861741056,21112.90234375,76,73,1125421056,1134252032,1447091.875,,0.088500000536442,0.097249999642372,0.114500001072884,0.232749998569489,0.919482111930847,200,5125,5266,0,0,0,0,0,0,35401746,33321488,4117819,4629080,5123909,3492315,27675250,5942802,5942802,1670322,1661906
Sun Apr 30 19:56:00 UTC 2017,398,1197936640,6275454.5,28,27193344,68045.7734375,74,861392896,16506.755859375,66,61,1125507072,1135218688,1447091.875,,0.077749997377396,0.092249996960163,0.109250001609325,0.213750004768372,0.918990910053253,200,4333,4463,0,0,0,0,0,0,33537889,34272012,4682614,3453994,4632368,3948766,27440593,6166437,6166437,1683525,1489370
Sun Apr 30 19:55:00 UTC 2017,357,1195450368,6275454.5,25,26066944,68045.7734375,72,861159424,16506.755859375,59,58,1125593088,1134280704,847573.4375,,0.109499998390675,0.086249999701977,0.101750001311302,0.195500001311302,0.918770253658295,200,3662,3754,0,0,0,0,0,0,42929115,38715366,10086056,5008250,4629831,4727632,31279585,6389402,6389402,1878469,1723197
Sun Apr 30 19:54:00 UTC 2017,320,1194942464,3289200,22,26066944,60784.6328125,70,860930048,16506.755859375,55,53,1125736448,1135345664,847573.4375,,0.072750002145767,0.090499997138977,0.101000003516674,0.195500001311302,0.918568670749664,150,3071,3150,0,0,0,0,0,0,47298806,34022925,7897829,8186253,5806567,4189021,28691420,5813858,5813858,1629206,1693736
Sun Apr 30 19:53:00 UTC 2017,293,1196175360,3289200,18,26062848,47290.62109375,52,860831744,6685.2587890625,40,42,1125826560,1136463872,847573.4375,,0.072499997913838,0.073749996721745,0.084250003099442,0.159250006079674,0.918458104133606,150,2485,2555,0,0,0,0,0,0,43653038,32809744,4886103,7253034,4901237,5006719,27716523,5783709,5783709,1977822,1785628
Sun Apr 30 19:52:00 UTC 2017,226,1194917888,3289200,17,27185152,47290.62109375,53,860684288,6685.2587890625,39,39,1125974016,1135489024,847573.4375,,0.081749998033047,0.084250003099442,0.089000001549721,0.149749994277954,0.918323040008545,150,2004,2051,0,0,0,0,0,0,46703120,35982692,10987421,5090735,4771489,4251131,30199657,5660330,5660330,1542964,1479900
Sun Apr 30 19:51:00 UTC 2017,218,1195675648,3289200,14,27185152,24325.751953125,47,860659712,6685.2587890625,36,33,1126060032,1136578560,442643.78125,,0.065999999642372,0.076499998569489,0.083250001072884,0.141000002622604,0.918160140514374,100,1609,1654,0,0,0,0,0,0,70407284,38713136,37090860,7395179,23611271,37949316,34056764,5783369,5783369,1493157,1431155
