_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 22:06:00 UTC 2017	758.0	1.130790912E9	1.2004859E7	53.0	2.977792E7	144184.125	119.0	1.096568832E9	30141.1328125	134.0	107.0	1.116520448E9	1.133129728E9	3099081.0	0.09350000321865082	0.11524999886751175	0.1704999953508377	0.3540000021457672	0.9299872517585754	350.0	13494.0	13598.0	3.0	3.0	0.0	0.0	0.0	0.0	4.4845616E7	4.3592263E7	4482337.0	4375080.0	5185176.0	4529337.0	3.6312721E7	8639142.0	8639142.0	1866750.0	1930471.0	
Sat Apr 29 22:05:00 UTC 2017	685.0	1.132470272E9	1.2004859E7	51.0	2.8991488E7	128082.1953125	126.0	1.096310784E9	30141.1328125	128.0	106.0	1.116606464E9	1.132716032E9	2319453.25	0.10999999940395355	0.10999999940395355	0.13975000381469727	0.3345000147819519	0.9313885569572449	350.0	12250.0	12309.0	3.0	3.0	0.0	0.0	0.0	0.0	4.4551391E7	4.2189868E7	4422452.0	4546670.0	4492059.0	4003770.0	3.4851403E7	8379573.0	8379573.0	1902084.0	1908001.0	
Sat Apr 29 22:04:00 UTC 2017	660.0	1.130778624E9	1.2004859E7	48.0	2.7779072E7	128082.1953125	121.0	1.095872512E9	25608.51171875	120.0	99.0	1.116577792E9	1.131200512E9	2319453.25	0.0885000005364418	0.10899999737739563	0.14925000071525574	0.3190000057220459	0.9294285178184509	300.0	11056.0	11111.0	3.0	3.0	0.0	0.0	0.0	0.0	4.471156E7	4.0032884E7	4082791.0	4317602.0	4757337.0	4427477.0	3.3257531E7	7751497.0	7751497.0	1733948.0	1930682.0	
Sat Apr 29 22:03:00 UTC 2017	608.0	1.130192896E9	1.1372546E7	44.0	2.711552E7	118520.96875	109.0	1.095671808E9	25608.51171875	108.0	89.0	1.117069312E9	1.129467904E9	2319453.25	0.09175000339746475	0.1042499989271164	0.1379999965429306	0.2994999885559082	0.9289118647575378	300.0	9859.0	9934.0	3.0	3.0	0.0	0.0	0.0	0.0	4.3531307E7	3.83167E7	4289185.0	4004298.0	4310315.0	4699642.0	3.2344016E7	7780294.0	7780294.0	1872971.0	1834131.0	
Sat Apr 29 22:02:00 UTC 2017	564.0	1.131053056E9	1.1098958E7	43.0	2.8233728E7	118520.96875	110.0	1.095438336E9	25608.51171875	108.0	89.0	1.116123136E9	1.128894464E9	2319453.25	0.08174999803304672	0.10599999874830246	0.12449999898672104	0.29499998688697815	0.9286163449287415	300.0	8797.0	8836.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0614746E7	3.7673202E7	3974171.0	4710073.0	5018883.0	3844239.0	3.1122589E7	7070973.0	7070973.0	1805695.0	1880287.0	
Sat Apr 29 22:01:00 UTC 2017	560.0	1.131114496E9	1.0166355E7	40.0	2.8921856E7	108209.046875	105.0	1.095274496E9	25600.306640625	102.0	82.0	1.116934144E9	1.1273216E9	2319453.25	0.08150000125169754	0.09700000286102295	0.13224999606609344	0.2862499952316284	0.9301952123641968	250.0	7802.0	7832.0	3.0	3.0	0.0	0.0	0.0	0.0	4.0199886E7	3.6023238E7	4060034.0	3908194.0	4155469.0	4411711.0	2.9858625E7	6767106.0	6767106.0	1763683.0	1558854.0	
Sat Apr 29 22:00:00 UTC 2017	516.0	1.131126784E9	8736471.0	35.0	2.8217344E7	93774.0625	91.0	1.094930432E9	21193.703125	86.0	72.0	1.117446144E9	1.1242496E9	1901346.375	0.08874999731779099	0.10450000315904617	0.11524999886751175	0.24250000715255737	0.9279054403305054	250.0	6814.0	6845.0	3.0	3.0	0.0	0.0	0.0	0.0	3.7884592E7	3.4570233E7	4045759.0	3752023.0	4233733.0	3962255.0	2.9303184E7	6527354.0	6527354.0	1633909.0	1679994.0	
Sat Apr 29 21:59:00 UTC 2017	442.0	1.130876928E9	7615807.5	34.0	2.8213248E7	72015.046875	91.0	1.094643712E9	16466.84375	86.0	70.0	1.117663232E9	1.125502976E9	1690444.625	0.07774999737739563	0.09125000238418579	0.125	0.25699999928474426	0.9276520013809204	250.0	5956.0	5958.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9292049E7	3.396864E7	4307808.0	4404343.0	4780743.0	4574473.0	2.7914905E7	6429562.0	6429562.0	1913865.0	1750759.0	
Sat Apr 29 21:58:00 UTC 2017	436.0	1.131008E9	7615807.5	30.0	2.7058176E7	72015.046875	90.0	1.09461504E9	16466.84375	80.0	67.0	1.116647424E9	1.124425728E9	1690444.625	0.08924999833106995	0.09224999696016312	0.11550000309944153	0.22849999368190765	0.9272615313529968	200.0	5153.0	5168.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6469642E7	3.2648822E7	4092624.0	4169206.0	3627017.0	3739179.0	2.7015413E7	6013320.0	6013320.0	1569484.0	1626155.0	
Sat Apr 29 21:57:00 UTC 2017	393.0	1.13168384E9	6577961.5	26.0	2.8209152E7	72015.046875	74.0	1.09436928E9	16466.84375	65.0	55.0	1.116291072E9	1.12470016E9	1440192.375	0.07649999856948853	0.08399999886751175	0.10499999672174454	0.2032500058412552	0.9269493818283081	200.0	4352.0	4378.0	0.0	0.0	0.0	0.0	0.0	0.0	3.651722E7	3.2522834E7	4093586.0	3340512.0	3885726.0	3153245.0	2.6881659E7	5986832.0	5986832.0	1397635.0	1442207.0	
