('profile: ', [(0, 3), (64, 3), (135, 3), (205, 3), (204, 3), (235, 3), (254, 3), (320, 3), (368, 3), (381, 3), (398, 3), (450, 3), (484, 3), (510, 3), (571, 3), (600, 3)])
('2017-05-12 18:46:18', 1494614778, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-12 18:49:18', 1494614958, 'Users=', 64, 'Duration=', 3, 'min')
('2017-05-12 18:52:19', 1494615139, 'Users=', 135, 'Duration=', 3, 'min')
('2017-05-12 18:55:19', 1494615319, 'Users=', 205, 'Duration=', 3, 'min')
('2017-05-12 18:58:19', 1494615499, 'Users=', 204, 'Duration=', 3, 'min')
('2017-05-12 19:01:19', 1494615679, 'Users=', 235, 'Duration=', 3, 'min')
('2017-05-12 19:04:19', 1494615859, 'Users=', 254, 'Duration=', 3, 'min')
('2017-05-12 19:07:19', 1494616039, 'Users=', 320, 'Duration=', 3, 'min')
('2017-05-12 19:10:19', 1494616219, 'Users=', 368, 'Duration=', 3, 'min')
('2017-05-12 19:13:19', 1494616399, 'Users=', 381, 'Duration=', 3, 'min')
('2017-05-12 19:16:19', 1494616579, 'Users=', 398, 'Duration=', 3, 'min')
('2017-05-12 19:19:20', 1494616760, 'Users=', 450, 'Duration=', 3, 'min')
('2017-05-12 19:22:20', 1494616940, 'Users=', 484, 'Duration=', 3, 'min')
('2017-05-12 19:25:20', 1494617120, 'Users=', 510, 'Duration=', 3, 'min')
('2017-05-12 19:28:20', 1494617300, 'Users=', 571, 'Duration=', 3, 'min')
('2017-05-12 19:31:20', 1494617480, 'Users=', 600, 'Duration=', 3, 'min')
