_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count3	status_500_count1	status_500_count3	status_0_count1	status_0_count3	status_other_count1	status_other_count3	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 14:27:00 UTC 2017	885.0	1.07372544E9	1.5497718E7	59.0	2.2757376E7	212599.859375	124.0	1.114845184E9	30509.87109375	161.0	150.0	6.3717376E8	6.82164224E8	2894854.0	3157402.0	0.10125000029802322	0.20774999260902405	0.20225000381469727	0.2982499897480011	0.7852193117141724	416.0	23299.0	23425.0	237.0	260.0	0.0	0.0	0.0	0.0	1.71884739E8	1.73997853E8	5.6647052E7	5.8202439E7	5.7452071E7	5.4005458E7	null	9.1631585E7	null	3.0364918E7	null	3.0364918E7	4742538.0	4922834.0	
Fri May 12 14:26:00 UTC 2017	807.0	1.090916352E9	1.3324452E7	56.0	2.2126592E7	201054.359375	123.0	1.114243072E9	30509.87109375	142.0	137.0	6.26573312E8	6.76016128E8	2894854.0	3157402.0	0.09825000166893005	0.1927500069141388	0.20149999856948853	0.2942500114440918	0.7868196964263916	416.0	21696.0	21829.0	196.0	226.0	0.0	0.0	0.0	0.0	1.00139864E8	1.02033944E8	2.5034159E7	3.8150906E7	3.8921544E7	3.7186784E7	null	7.6166785E7	null	1.2906147E7	null	1.2906147E7	2925150.0	3010894.0	
Fri May 12 14:25:00 UTC 2017	787.0	1.074909184E9	1.3324452E7	55.0	2.2900736E7	201054.359375	123.0	1.114431488E9	30509.87109375	140.0	136.0	6.20023808E8	6.68676096E8	2618820.5	2711311.5	0.11949999630451202	0.19449999928474426	0.210999995470047	0.2800000011920929	0.7844550609588623	344.0	20312.0	20466.0	174.0	199.0	0.0	0.0	0.0	0.0	9.9572304E7	1.00834159E8	3.4598126E7	3.8071211E7	3.3387925E7	3.0290517E7	null	7.1723497E7	null	1.1007691E7	null	1.1007691E7	2639357.0	2706238.0	
Fri May 12 14:24:00 UTC 2017	744.0	1.09078528E9	1.3324452E7	49.0	2.381824E7	179874.953125	112.0	1.113501696E9	30509.87109375	134.0	125.0	6.12552704E8	6.62511616E8	2618820.5	2711311.5	0.09075000137090683	0.18125000596046448	0.17599999904632568	0.2685000002384186	0.7884617447853088	344.0	18943.0	19109.0	173.0	192.0	0.0	0.0	0.0	0.0	7.1492034E7	7.4038766E7	1.8110283E7	1.4133138E7	1.9951194E7	1.577859E7	null	4.9605084E7	null	8398584.0	null	8398584.0	2137526.0	2325103.0	
Fri May 12 14:23:00 UTC 2017	687.0	1.08961792E9	1.3324452E7	49.0	2.1323776E7	179874.953125	109.0	1.113325568E9	28932.125	130.0	120.0	6.02980352E8	6.56457728E8	1961706.75	1915766.75	0.10499999672174454	0.18199999630451202	0.18074999749660492	0.27549999952316284	0.7861406207084656	344.0	17582.0	17758.0	173.0	192.0	0.0	0.0	0.0	0.0	7.4583724E7	8.0336455E7	1.7950634E7	2.7558332E7	2.746922E7	2.3392691E7	null	5.2922581E7	null	8548419.0	null	8548419.0	2411970.0	2287212.0	
Fri May 12 14:22:00 UTC 2017	690.0	1.08957696E9	1.2887685E7	48.0	2.3318528E7	179874.953125	107.0	1.112825856E9	29065.76953125	127.0	123.0	5.98863872E8	6.51034624E8	1961706.75	1915766.75	0.09399999678134918	0.1809999942779541	0.18125000596046448	0.2515000104904175	0.785976231098175	283.0	16434.0	16605.0	167.0	183.0	0.0	0.0	0.0	0.0	7.9138503E7	7.9058198E7	1.2693731E7	1.3782876E7	1.2046979E7	1.1351058E7	null	5.7409528E7	null	8190774.0	null	8190774.0	2015583.0	1867898.0	
Fri May 12 14:21:00 UTC 2017	661.0	1.08955648E9	1.01732E7	39.0	2.4731648E7	151653.59375	90.0	1.112666112E9	24220.109375	112.0	103.0	5.94464768E8	6.44026368E8	1961706.75	1915766.75	0.09399999678134918	0.1720000058412552	0.1589999943971634	0.22425000369548798	0.7877943515777588	283.0	15314.0	15492.0	167.0	181.0	0.0	0.0	0.0	0.0	6.0981452E7	6.297761E7	8272389.0	8856161.0	6534544.0	7139676.0	null	4.0602148E7	null	7357599.0	null	7357599.0	1868864.0	1712759.0	
Fri May 12 14:20:00 UTC 2017	539.0	1.090318336E9	1.01732E7	45.0	2.2224896E7	171406.5	105.0	1.112506368E9	28083.384765625	120.0	112.0	5.88292096E8	6.38726144E8	1961706.75	1915766.75	0.08524999767541885	0.1784999966621399	0.2029999941587448	0.24525000154972076	0.7856112122535706	283.0	14214.0	14360.0	153.0	175.0	0.0	0.0	0.0	0.0	7.5803781E7	8.2427266E7	1.5266628E7	1.9480766E7	1.950423E7	2.0266745E7	null	5.1780782E7	null	7766236.0	null	7766236.0	2015950.0	1943272.0	
Fri May 12 14:19:00 UTC 2017	630.0	1.089359872E9	1.01732E7	44.0	2.2253568E7	164790.46875	108.0	1.112199168E9	28312.8515625	120.0	113.0	5.84925184E8	6.30726656E8	1961706.75	1915766.75	0.10750000178813934	0.16850000619888306	0.17299999296665192	0.25075000524520874	0.7853978872299194	274.0	13285.0	13451.0	4.0	4.0	0.0	0.0	0.0	0.0	6.4479249E7	6.4760453E7	8402361.0	1.4393103E7	6285333.0	6111642.0	null	3.998599E7	null	7164682.0	null	7164682.0	1911589.0	1968047.0	
Fri May 12 14:18:00 UTC 2017	618.0	1.09060096E9	1.01732E7	41.0	2.2867968E7	138674.71875	97.0	1.111973888E9	13335.26171875	113.0	110.0	5.82234112E8	6.25737728E8	1961706.75	1915766.75	0.08950000256299973	0.17475000023841858	0.1602499932050705	0.23199999332427979	0.7871113419532776	274.0	12216.0	12363.0	4.0	4.0	0.0	0.0	0.0	0.0	5.2181623E7	5.275743E7	7392298.0	6755660.0	5746887.0	8409835.0	null	3.5064191E7	null	6753217.0	null	6753217.0	1536873.0	1603936.0	
Fri May 12 14:17:00 UTC 2017	554.0	1.089871872E9	1.01732E7	39.0	2.0529152E7	138674.71875	95.0	1.111871488E9	13335.26171875	102.0	99.0	5.79432448E8	6.22702592E8	1961706.75	1915766.75	0.09075000137090683	0.1602499932050705	0.15275000035762787	0.22550000250339508	0.784905195236206	274.0	11142.0	11278.0	0.0	2.0	0.0	0.0	0.0	0.0	5.5853232E7	6.498203E7	1.0407498E7	6886438.0	7717428.0	1.034223E7	null	3.5908704E7	null	6797218.0	null	6797218.0	1860338.0	1946700.0	
Fri May 12 14:16:00 UTC 2017	527.0	1.089716224E9	9711013.0	37.0	2.2147072E7	138674.71875	94.0	1.1114496E9	13335.26171875	104.0	93.0	5.75066112E8	6.19388928E8	1953382.0	1906160.625	0.10000000149011612	0.16374999284744263	0.1577499955892563	0.21074999868869781	0.7846287488937378	231.0	10211.0	10337.0	0.0	1.0	0.0	0.0	0.0	0.0	4.7410908E7	4.349025E7	6337522.0	4523119.0	6322856.0	5112884.0	null	2.9860125E7	null	6069022.0	null	6069022.0	1427203.0	1544256.0	
Fri May 12 14:15:00 UTC 2017	506.0	1.090822144E9	9711013.0	36.0	2.142208E7	134687.0625	90.0	1.111719936E9	13335.26171875	101.0	90.0	5.72116992E8	6.1478912E8	1953382.0	1906160.625	0.11800000071525574	0.14800000190734863	0.148499995470047	0.21400000154972076	0.7842324376106262	231.0	9303.0	9405.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0086096E7	5.5135607E7	6512740.0	1.4757766E7	5938120.0	5430354.0	null	3.4887933E7	null	6675938.0	null	6675938.0	1782788.0	1671179.0	
Fri May 12 14:14:00 UTC 2017	505.0	1.090207744E9	9184579.0	35.0	2.1417984E7	78140.3515625	90.0	1.111117824E9	13335.26171875	92.0	86.0	5.69524224E8	6.10996224E8	1779252.375	1812852.875	0.09075000137090683	0.15524999797344208	0.14800000190734863	0.210999995470047	0.7839056253433228	231.0	8390.0	8495.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6635664E7	5.0320726E7	6674519.0	5023431.0	4760775.0	4296262.0	null	3.0734068E7	null	6064105.0	null	6064105.0	1735333.0	1463757.0	
Fri May 12 14:13:00 UTC 2017	480.0	1.09129728E9	8256829.5	31.0	2.1184512E7	78140.3515625	88.0	1.111277568E9	13335.26171875	85.0	83.0	5.67394304E8	6.05872128E8	1582635.0	1812852.875	0.08950000256299973	0.14249999821186066	0.15199999511241913	0.1977500021457672	0.7845861911773682	219.0	7521.0	7606.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2073021E7	5.0018574E7	6296029.0	6322054.0	6165716.0	7155438.0	null	3.1818313E7	null	6449905.0	null	6449905.0	1831726.0	1638289.0	
Fri May 12 14:12:00 UTC 2017	439.0	1.090719744E9	3565790.25	25.0	2.2114304E7	78140.3515625	69.0	1.110528E9	13335.26171875	70.0	65.0	5.64764672E8	6.03492352E8	1309460.0	null	0.09324999898672104	0.13500000536441803	0.13075000047683716	0.16449999809265137	0.7841683626174927	219.0	6648.0	6742.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1327927E7	4.0730314E7	4733675.0	4674261.0	4230727.0	5454000.0	null	2.8269872E7	null	5845751.0	null	5845751.0	1468538.0	1605863.0	
Fri May 12 14:11:00 UTC 2017	360.0	1.089101824E9	3565790.25	23.0	2.0484096E7	78140.3515625	63.0	1.110769664E9	13335.26171875	60.0	60.0	5.63830784E8	5.99154688E8	1053362.375	1046371.8125	0.08699999749660492	0.12325000017881393	0.11474999785423279	0.1679999977350235	0.7859908938407898	219.0	5795.0	5866.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0431988E7	4.8217798E7	1.1076381E7	1.4408068E7	6438292.0	5637459.0	null	3.0222127E7	null	6055787.0	null	6055787.0	1570531.0	1851021.0	
Fri May 12 14:10:00 UTC 2017	322.0	1.090859008E9	3565790.25	22.0	2.1409792E7	78140.3515625	63.0	1.11038464E9	13335.26171875	57.0	56.0	5.69249792E8	5.98196224E8	1053362.375	1046371.8125	0.07774999737739563	0.11574999988079071	0.11924999952316284	0.15275000035762787	0.783797025680542	139.0	5203.0	5271.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9552612E7	5.4014686E7	5292420.0	4678258.0	5312371.0	5243540.0	null	2.9802953E7	null	5875326.0	null	5875326.0	1423693.0	1535772.0	
Fri May 12 14:09:00 UTC 2017	300.0	1.089400832E9	3565790.25	19.0	2.1446656E7	73828.8984375	62.0	1.11056896E9	13335.26171875	50.0	48.0	5.7397248E8	5.9551744E8	592851.9375	null	0.0832500010728836	0.11874999850988388	0.10625000298023224	0.15025000274181366	0.7857340574264526	139.0	4661.0	4713.0	0.0	0.0	0.0	0.0	0.0	0.0	5.975962E7	5.8580028E7	1.8440084E7	5686611.0	9389461.0	7833442.0	null	3.1577038E7	null	5998139.0	null	5998139.0	1683338.0	1614005.0	
