_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-13-00:02:00 rssserver-63g53 39.0 3.1383552E7 0.10350000113248825 600.0 
2017-03-13-00:02:00 rssserver-63g53 39.0 3.1383552E7 0.10350000113248825 600.0 
2017-03-13-00:01:00 rssserver-63g53 39.0 2.9929472E7 0.10649999976158142 600.0 
2017-03-13-00:01:00 rssserver-63g53 39.0 2.9929472E7 0.10649999976158142 600.0 
2017-03-13-00:00:00 rssserver-63g53 40.0 3.147776E7 0.10300000011920929 600.0 
2017-03-13-00:00:00 rssserver-63g53 40.0 3.147776E7 0.10300000011920929 600.0 
2017-03-12-23:59:00 rssserver-63g53 40.0 3.2088064E7 0.10374999791383743 500.0 
2017-03-12-23:59:00 rssserver-63g53 40.0 3.2088064E7 0.10374999791383743 500.0 
2017-03-12-23:58:00 rssserver-63g53 39.0 3.0625792E7 0.09950000047683716 500.0 
2017-03-12-23:58:00 rssserver-63g53 39.0 3.0625792E7 0.09950000047683716 500.0 
2017-03-12-23:57:00 rssserver-63g53 40.0 3.0605312E7 0.09849999845027924 500.0 
2017-03-12-23:57:00 rssserver-63g53 40.0 3.0605312E7 0.09849999845027924 500.0 
2017-03-12-23:56:00 rssserver-63g53 39.0 2.9097984E7 0.09749999642372131 400.0 
2017-03-12-23:56:00 rssserver-63g53 39.0 2.9097984E7 0.09749999642372131 400.0 
2017-03-12-23:55:00 rssserver-63g53 29.0 2.9851648E7 0.08824999630451202 400.0 
2017-03-12-23:55:00 rssserver-63g53 29.0 2.9851648E7 0.08824999630451202 400.0 
2017-03-12-23:54:00 rssserver-63g53 38.0 3.0031872E7 0.0989999994635582 400.0 
2017-03-12-23:54:00 rssserver-63g53 38.0 3.0031872E7 0.0989999994635582 400.0 
2017-03-12-23:53:00 rssserver-63g53 38.0 3.1842304E7 0.11550000309944153 350.0 
2017-03-12-23:53:00 rssserver-63g53 38.0 3.1842304E7 0.11550000309944153 350.0 
2017-03-12-23:52:00 rssserver-63g53 36.0 2.75456E7 0.08624999970197678 350.0 
2017-03-12-23:52:00 rssserver-63g53 36.0 2.75456E7 0.08624999970197678 350.0 
2017-03-12-23:51:00 rssserver-63g53 34.0 2.7541504E7 0.08799999952316284 350.0 
2017-03-12-23:51:00 rssserver-63g53 34.0 2.7541504E7 0.08799999952316284 350.0 
2017-03-12-23:50:00 rssserver-63g53 31.0 2.7406336E7 0.08974999934434891 300.0 
2017-03-12-23:50:00 rssserver-63g53 31.0 2.7406336E7 0.08974999934434891 300.0 
2017-03-12-23:49:00 rssserver-63g53 30.0 2.8151808E7 0.08574999868869781 300.0 
2017-03-12-23:49:00 rssserver-63g53 30.0 2.8151808E7 0.08574999868869781 300.0 
2017-03-12-23:48:00 rssserver-63g53 27.0 2.7508736E7 0.07774999737739563 300.0 
2017-03-12-23:48:00 rssserver-63g53 27.0 2.7508736E7 0.07774999737739563 300.0 
2017-03-12-23:47:00 rssserver-63g53 26.0 2.8315648E7 0.07874999940395355 250.0 
2017-03-12-23:47:00 rssserver-63g53 26.0 2.8315648E7 0.07874999940395355 250.0 
2017-03-12-23:46:00 rssserver-63g53 25.0 2.6955776E7 0.07474999874830246 250.0 
2017-03-12-23:46:00 rssserver-63g53 25.0 2.6955776E7 0.07474999874830246 250.0 
2017-03-12-23:45:00 rssserver-63g53 22.0 2.7754496E7 0.0767500028014183 250.0 
2017-03-12-23:45:00 rssserver-63g53 22.0 2.7754496E7 0.0767500028014183 250.0 
2017-03-12-23:44:00 rssserver-63g53 22.0 2.7508736E7 0.07524999976158142 200.0 
2017-03-12-23:44:00 rssserver-63g53 22.0 2.7508736E7 0.07524999976158142 200.0 
2017-03-12-23:43:00 rssserver-63g53 19.0 2.7500544E7 0.09075000137090683 200.0 
2017-03-12-23:43:00 rssserver-63g53 19.0 2.7500544E7 0.09075000137090683 200.0 
2017-03-12-23:42:00 rssserver-63g53 17.0 2.6656768E7 0.06975000351667404 200.0 
2017-03-12-23:42:00 rssserver-63g53 17.0 2.6656768E7 0.06975000351667404 200.0 
2017-03-12-23:41:00 rssserver-63g53 16.0 2.6656768E7 0.06575000286102295 150.0 
2017-03-12-23:41:00 rssserver-63g53 16.0 2.6656768E7 0.06575000286102295 150.0 
2017-03-12-23:40:00 rssserver-63g53 15.0 2.6652672E7 0.061500001698732376 150.0 
2017-03-12-23:40:00 rssserver-63g53 15.0 2.6652672E7 0.061500001698732376 150.0 
2017-03-12-23:39:00 rssserver-63g53 11.0 2.6640384E7 0.05999999865889549 150.0 
2017-03-12-23:39:00 rssserver-63g53 11.0 2.6640384E7 0.05999999865889549 150.0 
2017-03-12-23:38:00 rssserver-63g53 11.0 2.5956352E7 0.061000000685453415 100.0 
2017-03-12-23:38:00 rssserver-63g53 11.0 2.5956352E7 0.061000000685453415 100.0 
2017-03-12-23:37:00 rssserver-63g53 9.0 2.527232E7 0.05225000157952309 100.0 
2017-03-12-23:37:00 rssserver-63g53 9.0 2.527232E7 0.05225000157952309 100.0 
2017-03-12-23:36:00 rssserver-63g53 5.0 2.527232E7 0.04924999922513962 100.0 
2017-03-12-23:36:00 rssserver-63g53 5.0 2.527232E7 0.04924999922513962 100.0 
2017-03-12-23:35:00 rssserver-63g53 4.0 2.527232E7 0.05050000175833702 50.0 
2017-03-12-23:35:00 rssserver-63g53 4.0 2.527232E7 0.05050000175833702 50.0 
2017-03-12-23:34:00 rssserver-63g53 4.0 2.527232E7 0.04600000008940697 50.0 
2017-03-12-23:34:00 rssserver-63g53 4.0 2.527232E7 0.04600000008940697 50.0 
2017-03-12-23:33:00 rssserver-63g53 2.0 2.527232E7 0.06925000250339508 50.0 
2017-03-12-23:33:00 rssserver-63g53 2.0 2.527232E7 0.06925000250339508 50.0 
2017-03-12-23:32:00 rssserver-63g53 2.0 2.527232E7 0.04724999889731407 20.0 
2017-03-12-23:32:00 rssserver-63g53 2.0 2.527232E7 0.04724999889731407 20.0 
2017-03-12-23:31:00 rssserver-63g53 1.0 2.527232E7 0.045249998569488525 20.0 
2017-03-12-23:31:00 rssserver-63g53 1.0 2.527232E7 0.045249998569488525 20.0 
2017-03-12-23:30:00 rssserver-63g53 1.0 2.527232E7 0.04399999976158142 20.0 
2017-03-12-23:30:00 rssserver-63g53 1.0 2.527232E7 0.04399999976158142 20.0 
2017-03-12-23:29:00 rssserver-63g53 1.0 2.527232E7 0.041999999433755875 10.0 
2017-03-12-23:29:00 rssserver-63g53 1.0 2.527232E7 0.041999999433755875 10.0 
2017-03-12-23:28:00 rssserver-63g53 1.0 2.527232E7 0.042500000447034836 10.0 
2017-03-12-23:28:00 rssserver-63g53 1.0 2.527232E7 0.042500000447034836 10.0 
2017-03-12-23:27:00 rssserver-63g53 0.0 2.527232E7 0.04399999976158142 10.0 
2017-03-12-23:27:00 rssserver-63g53 0.0 2.527232E7 0.04399999976158142 10.0 
2017-03-12-23:26:00 rssserver-63g53 0.0 2.5268224E7 0.04500000178813934 5.0 
2017-03-12-23:26:00 rssserver-63g53 0.0 2.5268224E7 0.04500000178813934 5.0 
2017-03-12-23:25:00 rssserver-63g53 0.0 2.5264128E7 0.04100000113248825 5.0 
2017-03-12-23:25:00 rssserver-63g53 0.0 2.5264128E7 0.04100000113248825 5.0 
2017-03-12-23:24:00 rssserver-63g53 0.0 2.5255936E7 0.04024999961256981 5.0 
2017-03-12-23:24:00 rssserver-63g53 0.0 2.5255936E7 0.04024999961256981 5.0 
2017-03-12-23:23:00 rssserver-63g53 0.0 2.5255936E7 0.06949999928474426 3.0 
2017-03-12-23:23:00 rssserver-63g53 0.0 2.5255936E7 0.06949999928474426 3.0 
2017-03-12-23:22:00 rssserver-63g53 0.0 2.5255936E7 0.041999999433755875 3.0 
2017-03-12-23:22:00 rssserver-63g53 0.0 2.5255936E7 0.041999999433755875 3.0 
2017-03-12-23:21:00 rssserver-63g53 0.0 2.5255936E7 0.04374999925494194 3.0 
2017-03-12-23:21:00 rssserver-63g53 0.0 2.5255936E7 0.04374999925494194 3.0 
