('profile: ', [(0, 3), (67, 3), (118, 3), (155, 3), (161, 3), (219, 3), (284, 3), (345, 3), (355, 3), (417, 3), (467, 3), (471, 3), (524, 3), (544, 3), (571, 3), (600, 3)])
('2017-05-12 22:04:37', 1494626677, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-12 22:07:37', 1494626857, 'Users=', 67, 'Duration=', 3, 'min')
('2017-05-12 22:10:38', 1494627038, 'Users=', 118, 'Duration=', 3, 'min')
('2017-05-12 22:13:38', 1494627218, 'Users=', 155, 'Duration=', 3, 'min')
('2017-05-12 22:16:38', 1494627398, 'Users=', 161, 'Duration=', 3, 'min')
('2017-05-12 22:19:38', 1494627578, 'Users=', 219, 'Duration=', 3, 'min')
('2017-05-12 22:22:38', 1494627758, 'Users=', 284, 'Duration=', 3, 'min')
('2017-05-12 22:25:38', 1494627938, 'Users=', 345, 'Duration=', 3, 'min')
('2017-05-12 22:28:38', 1494628118, 'Users=', 355, 'Duration=', 3, 'min')
('2017-05-12 22:31:38', 1494628298, 'Users=', 417, 'Duration=', 3, 'min')
('2017-05-12 22:34:38', 1494628478, 'Users=', 467, 'Duration=', 3, 'min')
('2017-05-12 22:37:38', 1494628658, 'Users=', 471, 'Duration=', 3, 'min')
('2017-05-12 22:40:38', 1494628838, 'Users=', 524, 'Duration=', 3, 'min')
('2017-05-12 22:43:39', 1494629019, 'Users=', 544, 'Duration=', 3, 'min')
('2017-05-12 22:46:39', 1494629199, 'Users=', 571, 'Duration=', 3, 'min')
('2017-05-12 22:49:39', 1494629379, 'Users=', 600, 'Duration=', 3, 'min')
