_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sun May 14 05:27:00 UTC 2017	993.0	1.378045952E9	1.8240476E7	74.0	2.6210304E7	256601.109375	118.0	8.267776E8	40592.40234375	191.0	168.0	1.169027072E9	1.190002688E9	3709035.75	3562636.25	0.10074999928474426	0.23100000619888306	0.24050000309944153	0.35874998569488525	0.8315219879150391	600.0	46696.0	46827.0	4329.0	4255.0	6.0	10.0	0.0	0.0	3.347941E8	3.4727828E8	7.8494628E7	9.1325868E7	8.4131648E7	8.2321029E7	1.16343762E8	6.1897683E7	6.1897683E7	7394998.0	7990671.0	
Sun May 14 05:26:00 UTC 2017	994.0	1.397809152E9	1.8140052E7	75.0	2.6083328E7	256601.109375	119.0	8.2649088E8	40636.09765625	196.0	167.0	1.168830464E9	1.189117952E9	3782147.0	3562636.25	0.0989999994635582	0.23350000381469727	0.23649999499320984	0.3557499945163727	0.8312225341796875	600.0	45099.0	45241.0	3953.0	3889.0	6.0	8.0	0.0	0.0	3.86138059E8	3.76937574E8	1.14765653E8	9.2383361E7	9.7338651E7	1.22157605E8	1.24329099E8	6.3163196E7	6.3163196E7	1.1706493E7	7533112.0	
Sun May 14 05:25:00 UTC 2017	997.0	1.398398976E9	1.805198E7	75.0	2.4551424E7	256601.109375	119.0	8.2634752E8	41694.58984375	196.0	172.0	1.169125376E9	1.189117952E9	3751245.5	3677232.5	0.12274999916553497	0.23399999737739563	0.24424999952316284	0.3504999876022339	0.830172061920166	600.0	43504.0	43674.0	3580.0	3508.0	6.0	6.0	0.0	0.0	3.85340347E8	3.88320025E8	9.4557608E7	8.2885771E7	9.0672308E7	9.6896932E7	1.23695467E8	6.3474827E7	6.3474827E7	9479048.0	7523132.0	
Sun May 14 05:24:00 UTC 2017	998.0	1.38907648E9	1.805198E7	75.0	2.5329664E7	256601.109375	125.0	8.2561024E8	41694.58984375	192.0	170.0	1.168822272E9	1.189117952E9	3663547.0	3871601.0	0.10849999636411667	0.23100000619888306	0.24424999952316284	0.35225000977516174	0.8294435739517212	551.0	41945.0	42091.0	3163.0	3112.0	6.0	4.0	0.0	0.0	3.8823512E8	3.84688923E8	9.6153737E7	8.8981375E7	8.8893396E7	8.4283773E7	1.21790349E8	6.2736118E7	6.2736118E7	8300877.0	8385304.0	
Sun May 14 05:23:00 UTC 2017	991.0	1.393184768E9	1.805198E7	74.0	2.6013696E7	255038.296875	121.0	8.25331712E8	41557.53125	189.0	170.0	1.167966208E9	1.189482496E9	3663547.0	3871601.0	0.0989999994635582	0.23524999618530273	0.25949999690055847	0.3540000021457672	0.8298134207725525	551.0	40366.0	40499.0	2774.0	2749.0	5.0	3.0	0.0	0.0	3.27249986E8	3.4279253E8	8.5559749E7	8.0624888E7	8.4722428E7	8.505094E7	1.15524858E8	6.1191418E7	6.1191418E7	8386322.0	8624211.0	
Sun May 14 05:22:00 UTC 2017	993.0	1.412558848E9	1.8163586E7	74.0	2.5346048E7	249526.609375	121.0	8.2460672E8	41557.53125	189.0	171.0	1.16881408E9	1.1894784E9	3663547.0	3871601.0	0.09175000339746475	0.23199999332427979	0.24300000071525574	0.3610000014305115	0.8309930562973022	551.0	38760.0	38881.0	2413.0	2378.0	4.0	2.0	0.0	0.0	3.58040671E8	3.84766712E8	8.4819841E7	9.5072468E7	9.7195397E7	8.686831E7	1.18909569E8	6.1931165E7	6.1931165E7	7708608.0	8959748.0	
Sun May 14 05:21:00 UTC 2017	982.0	1.41056E9	1.7705424E7	71.0	2.6116096E7	251755.796875	124.0	8.24336384E8	41557.53125	179.0	180.0	1.1693056E9	1.190477824E9	3551484.75	3710388.0	0.1107499971985817	0.2409999966621399	0.23399999737739563	0.3407500088214874	0.8304352760314941	536.0	37159.0	37272.0	2047.0	2032.0	4.0	0.0	0.0	0.0	3.58242748E8	3.64023773E8	8.7882672E7	8.6298768E7	8.0222408E7	8.5780015E7	1.20498187E8	6.2060063E7	6.2060063E7	9936248.0	8761558.0	
Sun May 14 05:20:00 UTC 2017	950.0	1.407963136E9	1.8027356E7	73.0	2.6083328E7	260932.078125	124.0	8.24102912E8	41557.53125	184.0	172.0	1.168080896E9	1.189896192E9	3551484.75	3710388.0	0.0925000011920929	0.22474999725818634	0.23800000548362732	0.34850001335144043	0.8293153643608093	536.0	35558.0	35699.0	1687.0	1647.0	2.0	0.0	0.0	0.0	3.11562585E8	3.42846785E8	7.8238481E7	8.01545E7	7.0304137E7	8.5551559E7	1.11172759E8	5.9508117E7	5.9508117E7	6423248.0	7169528.0	
Sun May 14 05:19:00 UTC 2017	980.0	1.410859008E9	1.8092102E7	75.0	2.6656768E7	257118.203125	119.0	8.23627776E8	41557.53125	183.0	170.0	1.1677696E9	1.188421632E9	3551484.75	3710388.0	0.10474999994039536	0.2199999988079071	0.24950000643730164	0.36000001430511475	0.8296505212783813	536.0	33940.0	34099.0	1332.0	1260.0	0.0	0.0	0.0	0.0	3.06373993E8	3.19958161E8	7.8762219E7	8.1567724E7	8.1698234E7	7.7459682E7	1.13195606E8	5.9812983E7	5.9812983E7	8565963.0	6516879.0	
Sun May 14 05:18:00 UTC 2017	992.0	1.411354624E9	1.8092102E7	74.0	2.3605248E7	257118.203125	129.0	8.23431168E8	42087.375	183.0	175.0	1.167642624E9	1.188958208E9	3553712.5	3785008.25	0.10050000250339508	0.23100000619888306	0.24275000393390656	0.3527500033378601	0.8293716311454773	479.0	32332.0	32477.0	1026.0	1008.0	0.0	0.0	0.0	0.0	3.16996838E8	3.42083979E8	7.8625702E7	7.575213E7	8.963379E7	8.1939007E7	1.16613111E8	6.1476109E7	6.1476109E7	8433360.0	7511954.0	
