cpuusage_middle
1.0
1.0
1.0
1.0
38.0
95.0
112.0
152.0
203.0
220.0
233.0
247.0
253.0
273.0
297.0
312.0
359.0
420.0
435.0
468.0
507.0
532.0
575.0
626.0
637.0
620.0
595.0
602.0
627.0
641.0
635.0
684.0
762.0
784.0
830.0
890.0
916.0
935.0
974.0
975.0
975.0
992.0
998.0
996.0
997.0
995.0
996.0
999.0
987.0
