cpuusage_middle
1.0
1.0
1.0
1.0
10.0
14.0
16.0
54.0
77.0
79.0
150.0
205.0
242.0
313.0
343.0
357.0
459.0
531.0
551.0
563.0
584.0
596.0
640.0
665.0
661.0
756.0
792.0
840.0
850.0
881.0
895.0
918.0
945.0
950.0
935.0
938.0
957.0
967.0
981.0
985.0
994.0
993.0
992.0
998.0
995.0
998.0
997.0
996.0
