cpuusage_middle
11.0
2.0
2.0
1.0
37.0
99.0
122.0
178.0
252.0
287.0
320.0
375.0
406.0
410.0
428.0
431.0
452.0
507.0
522.0
542.0
586.0
608.0
640.0
698.0
716.0
707.0
682.0
671.0
661.0
673.0
714.0
730.0
734.0
730.0
736.0
752.0
783.0
806.0
901.0
920.0
943.0
988.0
990.0
990.0
996.0
996.0
993.0
996.0
995.0
