cpuusage_middle
1.0
1.0
1.0
1.0
50.0
98.0
114.0
149.0
175.0
198.0
280.0
335.0
354.0
405.0
448.0
471.0
491.0
491.0
498.0
520.0
554.0
557.0
606.0
645.0
663.0
670.0
711.0
736.0
680.0
807.0
822.0
825.0
818.0
819.0
815.0
806.0
810.0
820.0
860.0
836.0
823.0
830.0
828.0
835.0
826.0
834.0
809.0
818.0
