cpuusage_middle
2.0
1.0
1.0
6.0
38.0
51.0
58.0
91.0
120.0
118.0
160.0
195.0
226.0
320.0
366.0
393.0
441.0
470.0
483.0
563.0
586.0
614.0
624.0
622.0
619.0
623.0
633.0
679.0
741.0
740.0
775.0
829.0
870.0
909.0
914.0
924.0
926.0
957.0
978.0
975.0
988.0
997.0
979.0
997.0
997.0
994.0
992.0
992.0
