cpuusage_middle
1.0
2.0
1.0
35.0
106.0
129.0
161.0
236.0
262.0
304.0
391.0
415.0
465.0
540.0
566.0
593.0
603.0
631.0
640.0
687.0
701.0
734.0
826.0
852.0
860.0
819.0
846.0
852.0
916.0
928.0
923.0
922.0
937.0
946.0
977.0
979.0
980.0
990.0
995.0
994.0
997.0
995.0
993.0
992.0
997.0
995.0
991.0
997.0
