cpuusage_middle
1.0
1.0
1.0
1.0
45.0
68.0
76.0
103.0
134.0
140.0
240.0
327.0
338.0
385.0
488.0
508.0
507.0
512.0
531.0
584.0
636.0
640.0
685.0
730.0
738.0
775.0
779.0
715.0
835.0
873.0
901.0
911.0
920.0
924.0
944.0
954.0
965.0
986.0
990.0
995.0
991.0
984.0
991.0
994.0
987.0
998.0
993.0
988.0
