_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-09-20:13:00	edge-8vsjk	71.0	4.43744256E8	0.9580000042915344	294.0	1100.0	16509.0	4447.0	43181.0	
2017-04-09-20:13:00	edge-8vsjk	71.0	4.43744256E8	0.9580000042915344	294.0	1100.0	16509.0	4447.0	43181.0	
2017-04-09-20:12:00	edge-8vsjk	76.0	4.0660992E8	0.9597499966621399	400.0	1045.0	16399.0	4255.0	41644.0	
2017-04-09-20:12:00	edge-8vsjk	76.0	4.0660992E8	0.9597499966621399	400.0	1045.0	16399.0	4255.0	41644.0	
2017-04-09-20:11:00	edge-8vsjk	75.0	4.3276288E8	0.9592499732971191	400.0	1045.0	16399.0	3983.0	40150.0	
2017-04-09-20:11:00	edge-8vsjk	75.0	4.3276288E8	0.9592499732971191	400.0	1045.0	16399.0	3983.0	40150.0	
2017-04-09-20:10:00	edge-8vsjk	89.0	4.22019072E8	0.9557499885559082	372.0	924.0	16205.0	3117.0	37887.0	
2017-04-09-20:10:00	edge-8vsjk	89.0	4.22019072E8	0.9557499885559082	372.0	924.0	16205.0	3117.0	37887.0	
2017-04-09-20:09:00	edge-8vsjk	94.0	4.16301056E8	0.9552500247955322	500.0	970.0	16296.0	1884.0	35222.0	
2017-04-09-20:09:00	edge-8vsjk	94.0	4.16301056E8	0.9552500247955322	500.0	970.0	16296.0	1884.0	35222.0	
2017-04-09-20:08:00	edge-8vsjk	85.0	4.5963264E8	0.9617499709129333	500.0	970.0	16296.0	1069.0	32520.0	
2017-04-09-20:08:00	edge-8vsjk	85.0	4.5963264E8	0.9617499709129333	500.0	970.0	16296.0	1069.0	32520.0	
2017-04-09-20:07:00	edge-8vsjk	60.0	4.9481728E8	0.9629999995231628	150.0	891.0	16095.0	618.0	30755.0	
2017-04-09-20:07:00	edge-8vsjk	60.0	4.9481728E8	0.9629999995231628	150.0	891.0	16095.0	618.0	30755.0	
2017-04-09-20:06:00	edge-8vsjk	60.0	5.18774784E8	0.9624999761581421	275.0	891.0	16095.0	560.0	29617.0	
