_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge1,responseTimePercentile_edge2
Sun Apr 23 19:11:00 CEST 2017,372,780840960,19,27049984,72,14,506187776,386023424,0,0.123499996960163,0.084499999880791,0.960749983787537,0.942865371704102,150,2908,18,0,0,2401,18,0,null,null,79078135.4304709,null
Sun Apr 23 19:10:00 CEST 2017,334,696971264,17,27475968,63,14,506187776,419622912,0,0.130999997258186,0.094250001013279,0.961499989032745,0.932424306869507,150,2334,14,0,0,1940,11,0,null,null,83559458.4032129,null
Sun Apr 23 19:09:00 CEST 2017,356,611528704,14,27758592,63,14,506187776,481976320,0,0.117499999701977,0.090000003576279,0.96450001001358,0.922191202640533,100,1913,6,0,0,1558,11,0,null,null,104074389.984375,null
Sun Apr 23 19:08:00 CEST 2017,293,540975104,9,25903104,38,14,506187776,549527552,0,0.100500002503395,0.07575000077486,0.973999977111816,0.913446009159088,100,1531,6,0,0,1170,9,0,null,null,57998835.3428114,null
Sun Apr 23 19:07:00 CEST 2017,193,508104704,9,25890816,46,14,506187776,578555904,0,0.096500001847744,0.068750001490116,0.975000023841858,0.908653080463409,100,1143,5,0,0,898,3,0,null,null,60143264.4209302,null
Sun Apr 23 19:06:00 CEST 2017,199,472002560,7,25108480,40,14,506187776,594518016,0,0.104249998927116,0.068750001490116,0.976000010967254,0.904350936412811,50,902,0,0,0,697,3,0,null,null,63840534.7088388,null
Sun Apr 23 19:05:00 CEST 2017,191,435474432,4,25305088,16,14,506187776,575000576,0,0.074000000953674,0.05824999883771,0.981750011444092,0.900850176811218,50,708,0,0,0,504,3,0,null,null,50714153.7727273,null
Sun Apr 23 19:04:00 CEST 2017,92,416272384,3,25305088,16,14,506187776,560496640,0,0.083499997854233,0.057250000536442,0.982749998569488,0.895292103290558,50,506,0,0,0,380,0,0,null,null,68920290.0314569,null
Sun Apr 23 19:03:00 CEST 2017,83,405225472,2,25305088,15,14,506187776,559808512,0,0.076750002801418,0.064750000834465,0.983749985694885,0.893649578094482,20,402,0,0,0,299,0,0,null,null,50523230.814,null
Sun Apr 23 19:02:00 CEST 2017,72,419446784,1,24231936,9,14,506187776,560201728,0,0.065250001847744,0.055250000208616,0.985750019550324,0.894866406917572,20,325,0,0,0,221,0,0,null,null,35235565.9960317,null
Sun Apr 23 19:01:00 CEST 2017,42,440090624,1,25305088,8,14,506187776,559276032,0,0.074249997735024,0.053249999880791,0.985499978065491,0.897232055664063,20,249,0,0,0,164,0,0,null,null,45445981.0433333,null
Sun Apr 23 19:00:00 CEST 2017,51,476106752,1,24231936,8,14,506187776,556040192,0,0.062749996781349,0.05799999833107,0.985750019550324,0.900259137153626,10,201,0,0,0,126,0,0,null,null,53926398.5220588,null
Sun Apr 23 18:59:00 CEST 2017,38,501805056,0,24231936,4,14,506187776,556093440,0,0.072499997913838,0.047749999910593,0.987249970436096,0.90451192855835,10,162,0,0,0,87,0,0,null,null,51129754.0571429,null
Sun Apr 23 18:58:00 CEST 2017,20,517382144,1,25305088,5,14,506187776,556101632,0,0.064000003039837,0.052000001072884,0.987249970436096,0.906216025352478,10,121,0,0,0,62,0,0,null,null,37754646.8227848,null
Sun Apr 23 18:57:00 CEST 2017,27,542261248,1,25305088,8,14,506187776,556068864,0,0.0625,0.05375000089407,0.987249970436096,0.909093916416168,5,96,0,0,0,44,0,0,null,null,57116157.4637681,null
Sun Apr 23 18:56:00 CEST 2017,27,573444096,0,25305088,3,14,506187776,550195200,0,0.065999999642372,0.052499998360872,0.987749993801117,0.912702322006226,5,73,0,0,0,29,0,0,null,null,60392600.2698413,null
Sun Apr 23 18:55:00 CEST 2017,23,593141760,0,25305088,8,14,506187776,550309888,0,0.068250000476837,0.054999999701977,0.987749993801117,0.915092408657074,5,48,0,0,0,19,0,0,null,null,61559616.5326087,null
Sun Apr 23 18:54:00 CEST 2017,13,605642752,0,25296896,3,14,506187776,550514688,0,0.057750001549721,0.058499999344349,0.988250017166138,0.916524469852448,3,33,0,0,0,19,0,0,null,null,55324180.1956522,null
Sun Apr 23 18:53:00 CEST 2017,11,620498944,1,24223744,10,14,506187776,550330368,0,0.068750001490116,0.067500002682209,0.98675000667572,0.918237447738647,3,18,0,0,0,10,0,0,null,null,42475831.5326087,null
