_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 17:05:00 UTC 2017	995.0	1.16340736E9	1.8323316E7	77.0	2.5235456E7	259032.765625	120.0	1.155162112E9	41428.796875	192.0	173.0	1.081667584E9	1.092694016E9	3666150.5	3826145.25	0.11699999868869781	0.23325000703334808	0.24199999868869781	0.35600000619888306	0.7974565029144287	600.0	48601.0	48521.0	3620.0	3783.0	10.0	4.0	0.0	0.0	3.60888371E8	3.88349006E8	9.2208928E7	7.6474331E7	9.152405E7	9.209282E7	null	1.18198466E8	null	6.2317417E7	null	6.2317417E7	6676003.0	8417913.0	
Fri May 12 17:04:00 UTC 2017	999.0	1.163681792E9	1.8323316E7	76.0	2.6165248E7	259032.765625	117.0	1.154613248E9	39388.1875	193.0	173.0	1.080815616E9	1.09264896E9	3666150.5	3826145.25	0.11174999922513962	0.23074999451637268	0.23675000667572021	0.35749998688697815	0.7972925901412964	600.0	47003.0	46909.0	3284.0	3405.0	9.0	3.0	0.0	0.0	3.46623968E8	3.65369296E8	7.8332612E7	9.1961212E7	9.0949199E7	8.7410586E7	null	1.19031366E8	null	6.1558745E7	null	6.1558745E7	8601107.0	7594915.0	
Fri May 12 17:03:00 UTC 2017	998.0	1.163522048E9	1.8402688E7	76.0	2.521088E7	259032.765625	118.0	1.154347008E9	39388.1875	191.0	172.0	1.081663488E9	1.09277184E9	3666150.5	3826145.25	0.09624999761581421	0.24025000631809235	0.24950000643730164	0.3577499985694885	0.7971262335777283	577.0	45426.0	45352.0	2903.0	2989.0	8.0	2.0	0.0	0.0	3.92656263E8	3.88690744E8	9.9530856E7	9.8667614E7	9.6435671E7	8.4393003E7	null	1.26279347E8	null	6.3693393E7	null	6.3693393E7	8054061.0	8667508.0	
Fri May 12 17:02:00 UTC 2017	998.0	1.163911168E9	1.8402688E7	77.0	2.6058752E7	259032.765625	120.0	1.15376128E9	39388.1875	187.0	173.0	1.081155584E9	1.092640768E9	3730043.25	null	0.10125000029802322	0.23074999451637268	0.23749999701976776	0.3502500057220459	0.7970415949821472	577.0	43858.0	43777.0	2531.0	2590.0	6.0	2.0	0.0	0.0	3.84296012E8	3.72003478E8	8.559459E7	9.0962055E7	1.02401165E8	1.00197418E8	null	1.24551137E8	null	6.2597484E7	null	6.2597484E7	6654854.0	8258784.0	
Fri May 12 17:01:00 UTC 2017	994.0	1.163845632E9	1.8160194E7	75.0	2.5124864E7	259032.765625	120.0	1.15355648E9	39388.1875	191.0	168.0	1.08029952E9	1.092517888E9	3730043.25	null	0.0989999994635582	0.23025000095367432	0.23874999582767487	0.35749998688697815	0.7989169359207153	577.0	42268.0	42184.0	2156.0	2185.0	4.0	2.0	0.0	0.0	3.75126453E8	3.81382591E8	8.1745907E7	8.3556127E7	8.7798069E7	8.7472366E7	null	1.18757802E8	null	6.1742071E7	null	6.1742071E7	7889528.0	8222909.0	
Fri May 12 17:00:00 UTC 2017	994.0	1.159483392E9	1.8274236E7	75.0	2.5513984E7	259032.765625	118.0	1.153245184E9	39388.1875	189.0	169.0	1.080295424E9	1.092214784E9	3659070.0	null	0.10225000232458115	0.2292499989271164	0.23749999701976776	0.35850000381469727	0.7961770296096802	540.0	40689.0	40548.0	1803.0	1834.0	2.0	2.0	0.0	0.0	3.64477777E8	3.61350638E8	8.720936E7	8.7945129E7	8.5161608E7	9.2886154E7	null	1.18373731E8	null	6.1469796E7	null	6.1469796E7	7660530.0	8397362.0	
Fri May 12 16:59:00 UTC 2017	996.0	1.156100096E9	1.8274236E7	76.0	2.38592E7	259032.765625	123.0	1.152774144E9	39388.1875	191.0	170.0	1.080291328E9	1.092640768E9	3751221.0	3723954.5	0.1132500022649765	0.23350000381469727	0.2535000145435333	0.3472500145435333	0.7955659031867981	540.0	39096.0	38952.0	1446.0	1439.0	1.0	1.0	0.0	0.0	3.71100784E8	3.79776351E8	7.9911234E7	1.00029153E8	8.1206403E7	9.0229144E7	null	1.18262907E8	null	6.2398853E7	null	6.2398853E7	7959191.0	8611215.0	
Fri May 12 16:58:00 UTC 2017	995.0	1.152114688E9	1.8274236E7	75.0	2.69312E7	259032.765625	124.0	1.152495616E9	39388.1875	190.0	169.0	1.08027904E9	1.091858432E9	3751221.0	3723954.5	0.09300000220537186	0.22949999570846558	0.242249995470047	0.3569999933242798	0.7949690222740173	540.0	37486.0	37315.0	1117.0	1093.0	0.0	0.0	0.0	0.0	3.50576541E8	3.60640996E8	8.0650977E7	9.3895529E7	8.4366045E7	8.4887148E7	null	1.15382613E8	null	6.1280318E7	null	6.1280318E7	7920429.0	7772168.0	
Fri May 12 16:57:00 UTC 2017	989.0	1.147809792E9	1.8274236E7	74.0	2.6107904E7	252216.671875	123.0	1.151946752E9	39388.1875	194.0	173.0	1.080438784E9	1.091981312E9	3751221.0	3723954.5	0.11275000125169754	0.22599999606609344	0.2357500046491623	0.3479999899864197	0.7942492961883545	492.0	35859.0	35686.0	814.0	810.0	0.0	0.0	0.0	0.0	3.19102148E8	3.33796471E8	8.127565E7	8.397082E7	8.5110907E7	8.3446526E7	null	1.13554685E8	null	6.0646598E7	null	6.0646598E7	7634684.0	6464282.0	
Fri May 12 16:56:00 UTC 2017	987.0	1.144037376E9	1.7735092E7	70.0	2.4625152E7	247217.75	127.0	1.151737856E9	39388.1875	184.0	167.0	1.080438784E9	1.09287424E9	3493015.75	null	0.09075000137090683	0.23274999856948853	0.2537499964237213	0.3490000069141388	0.7936015129089355	492.0	34193.0	34043.0	566.0	540.0	0.0	0.0	0.0	0.0	3.25461952E8	3.18712997E8	8.1660103E7	7.9810709E7	7.2275565E7	8.2177698E7	null	1.13656509E8	null	6.0689335E7	null	6.0689335E7	7918770.0	6235358.0	
