_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 16:16:00 UTC 2017	996.0	1.099767808E9	1.8402532E7	76.0	2.5202688E7	264423.3125	140.0	1.142996992E9	41264.41796875	192.0	175.0	1.079209984E9	1.09174784E9	3624151.75	3763770.5	0.09274999797344208	0.23475000262260437	0.23849999904632568	0.359250009059906	0.7946597933769226	600.0	51044.0	50999.0	5383.0	5385.0	11.0	11.0	0.0	0.0	3.8748368E8	3.59815551E8	8.4359594E7	8.4439706E7	9.4841826E7	8.9528377E7	null	1.19398141E8	null	6.2635821E7	null	6.2635821E7	6742335.0	9150715.0	
Fri May 12 16:15:00 UTC 2017	995.0	1.09953024E9	1.8298524E7	75.0	2.4461312E7	251562.921875	134.0	1.142448128E9	41264.41796875	190.0	176.0	1.079619584E9	1.091977216E9	3624151.75	3763770.5	0.1354999989271164	0.2317499965429306	0.2515000104904175	0.34850001335144043	0.7945237755775452	600.0	49450.0	49454.0	5003.0	4968.0	10.0	9.0	0.0	0.0	3.53160574E8	3.72041715E8	9.7389571E7	9.5363996E7	8.9804022E7	9.2262046E7	null	1.19834722E8	null	6.2470841E7	null	6.2470841E7	7813907.0	9247938.0	
Fri May 12 16:14:00 UTC 2017	995.0	1.100132352E9	1.8463054E7	76.0	2.5833472E7	251562.921875	139.0	1.14208768E9	41812.09765625	194.0	173.0	1.079615488E9	1.091977216E9	3758156.25	3771646.25	0.1054999977350235	0.23675000667572021	0.2462500035762787	0.3675000071525574	0.7942972779273987	600.0	47818.0	47843.0	4653.0	4601.0	10.0	7.0	0.0	0.0	3.26763358E8	3.70830253E8	8.2168436E7	7.9102214E7	8.3270581E7	8.4574009E7	null	1.1560777E8	null	6.1417E7	null	6.1417E7	7612434.0	8866269.0	
Fri May 12 16:13:00 UTC 2017	998.0	1.099534336E9	1.8426596E7	76.0	2.3752704E7	251562.921875	140.0	1.141673984E9	41681.6015625	192.0	170.0	1.079734272E9	1.091977216E9	3758156.25	3771646.25	0.09674999862909317	0.22824999690055847	0.25325000286102295	0.3479999899864197	0.7941108345985413	541.0	46197.0	46257.0	4309.0	4222.0	9.0	6.0	0.0	0.0	3.45636612E8	3.76577602E8	9.5122451E7	7.7657472E7	9.0658177E7	8.8835414E7	null	1.17176604E8	null	6.1433607E7	null	6.1433607E7	8257672.0	9068799.0	
Fri May 12 16:12:00 UTC 2017	993.0	1.099137024E9	1.8297038E7	75.0	2.4489984E7	251562.921875	137.0	1.141526528E9	41437.61328125	192.0	173.0	1.079189504E9	1.091977216E9	3758156.25	3771646.25	0.10949999839067459	0.23649999499320984	0.2434999942779541	0.3499999940395355	0.7940873503684998	541.0	44568.0	44620.0	3974.0	3871.0	7.0	6.0	0.0	0.0	3.59325162E8	3.41706862E8	8.0558045E7	9.3564372E7	8.5055293E7	8.3043601E7	null	1.15509343E8	null	6.1633988E7	null	6.1633988E7	9324350.0	7742309.0	
Fri May 12 16:11:00 UTC 2017	995.0	1.0995712E9	1.8250156E7	75.0	2.4489984E7	251562.921875	133.0	1.141293056E9	41437.61328125	191.0	172.0	1.0802176E9	1.09125632E9	3677225.5	null	0.09475000202655792	0.23025000095367432	0.26875001192092896	0.36625000834465027	0.7938916683197021	541.0	42917.0	42987.0	3659.0	3550.0	5.0	6.0	0.0	0.0	3.18616576E8	3.46576881E8	9.0630579E7	7.6223792E7	8.3572852E7	9.6937193E7	null	1.14106095E8	null	6.1691467E7	null	6.1691467E7	6786592.0	9593865.0	
Fri May 12 16:10:00 UTC 2017	998.0	1.099460608E9	1.8250156E7	75.0	2.5223168E7	251562.921875	136.0	1.1406336E9	41437.61328125	194.0	178.0	1.074225152E9	1.092071424E9	3636832.0	3825352.25	0.11025000363588333	0.24150000512599945	0.24124999344348907	0.3499999940395355	0.7942923307418823	518.0	41307.0	41359.0	3289.0	3200.0	3.0	6.0	0.0	0.0	3.76051524E8	3.85711673E8	9.2580878E7	1.00028595E8	9.3611081E7	8.6754141E7	null	1.2051467E8	null	6.240308E7	null	6.240308E7	7320931.0	8226333.0	
Fri May 12 16:09:00 UTC 2017	986.0	1.100029952E9	1.8250156E7	74.0	2.4674304E7	251562.921875	139.0	1.140084736E9	41907.0	194.0	180.0	1.066520576E9	1.091334144E9	3659788.75	null	0.10050000250339508	0.2382500022649765	0.25049999356269836	0.35225000977516174	0.7934508323669434	518.0	39699.0	39726.0	2907.0	2849.0	3.0	4.0	0.0	0.0	3.39573202E8	3.54167167E8	9.9979409E7	1.03586173E8	9.6801038E7	9.6996904E7	null	1.18564816E8	null	6.1620994E7	null	6.1620994E7	1.5197873E7	1.1725867E7	
Fri May 12 16:08:00 UTC 2017	994.0	1.098919936E9	1.8039078E7	78.0	2.5088E7	271510.03125	143.0	1.140297728E9	41907.0	192.0	178.0	1.060519936E9	1.091334144E9	3659788.75	null	0.10400000214576721	0.22849999368190765	0.2475000023841858	0.3542500138282776	0.7932913303375244	518.0	38084.0	38093.0	2559.0	2530.0	2.0	3.0	0.0	0.0	3.20174336E8	3.33778024E8	8.6941553E7	8.1771169E7	8.4561608E7	8.6044105E7	null	1.15122569E8	null	6.1731452E7	null	6.1731452E7	8679162.0	8733009.0	
Fri May 12 16:07:00 UTC 2017	990.0	1.09899776E9	1.8039078E7	77.0	2.5862144E7	271510.03125	140.0	1.139318784E9	41907.0	199.0	179.0	1.053118464E9	1.091207168E9	3659788.75	null	0.09799999743700027	0.23899999260902405	0.2592499852180481	0.35374999046325684	0.7930647730827332	504.0	36440.0	36418.0	2249.0	2223.0	1.0	3.0	0.0	0.0	3.17299446E8	3.16742443E8	8.0150448E7	6.7708113E7	7.2951025E7	7.7966861E7	null	1.11080342E8	null	5.9713434E7	null	5.9713434E7	8175387.0	6207703.0	
Fri May 12 16:06:00 UTC 2017	994.0	1.0993664E9	1.8039078E7	74.0	2.516992E7	271510.03125	135.0	1.138982912E9	41320.140625	190.0	169.0	1.045405696E9	1.086746624E9	3659788.75	null	0.09749999642372131	0.22574999928474426	0.24300000071525574	0.3564999997615814	0.792760968208313	504.0	34775.0	34782.0	1964.0	1891.0	1.0	3.0	0.0	0.0	3.49018771E8	3.30661241E8	8.7056144E7	8.771934E7	8.7980192E7	8.1623027E7	null	1.15866335E8	null	6.1511756E7	null	6.1511756E7	8317834.0	7795054.0	
