('profile: ', [(0, 3), (67, 3), (128, 3), (140, 3), (192, 3), (181, 3), (213, 3), (291, 3), (284, 3), (346, 3), (374, 3), (405, 3), (424, 3), (496, 3), (524, 3), (600, 3)])
('2017-05-13 20:23:24', 1494707004, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 20:26:24', 1494707184, 'Users=', 67, 'Duration=', 3, 'min')
('2017-05-13 20:29:24', 1494707364, 'Users=', 128, 'Duration=', 3, 'min')
('2017-05-13 20:32:24', 1494707544, 'Users=', 140, 'Duration=', 3, 'min')
('2017-05-13 20:35:25', 1494707725, 'Users=', 192, 'Duration=', 3, 'min')
('2017-05-13 20:38:25', 1494707905, 'Users=', 181, 'Duration=', 3, 'min')
('2017-05-13 20:41:25', 1494708085, 'Users=', 213, 'Duration=', 3, 'min')
('2017-05-13 20:44:25', 1494708265, 'Users=', 291, 'Duration=', 3, 'min')
('2017-05-13 20:47:25', 1494708445, 'Users=', 284, 'Duration=', 3, 'min')
('2017-05-13 20:50:25', 1494708625, 'Users=', 346, 'Duration=', 3, 'min')
('2017-05-13 20:53:25', 1494708805, 'Users=', 374, 'Duration=', 3, 'min')
('2017-05-13 20:56:25', 1494708985, 'Users=', 405, 'Duration=', 3, 'min')
('2017-05-13 20:59:25', 1494709165, 'Users=', 424, 'Duration=', 3, 'min')
('2017-05-13 21:02:25', 1494709345, 'Users=', 496, 'Duration=', 3, 'min')
('2017-05-13 21:05:25', 1494709525, 'Users=', 524, 'Duration=', 3, 'min')
('2017-05-13 21:08:25', 1494709705, 'Users=', 600, 'Duration=', 3, 'min')
