_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra1	memusage_cassandra2	network_cassandra1	cpuusage_edge2	cpuusage_edge3	memusage_edge2	memusage_edge3	network_edge1	network_edge4	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_viewfeedresponsetime_edge3	percentile_viewfeedresponsetime_edge4	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_addfeedresponsetime_edge3	percentile_addfeedresponsetime_edge4	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_deletefeedresponsetime_edge3	percentile_deletefeedresponsetime_edge4	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle1	percentile_sub_middle2	percentile_unsub_middle1	percentile_unsub_middle2	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Thu Jul 27 08:42:00 UTC 2017	409.0	1.081696256E9	8383397.0	31.0	3.0818304E7	177319.25	2.0	4.98745344E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1569964.375	null	0.12075000256299973	0.11599999666213989	0.18299999833106995	0.9472500085830688	0.796262264251709	350.0	null	null	null	null	9.95391818E8	null	null	1.104631193E9	3.13087532E8	null	null	2.9910549E8	3.27548388E8	null	null	4.24871057E8	null	2.92418561E8	7.5291088E7	7.5291088E7	null	4.5297918E7	null	4.1495874E7	272.0	272.0	273.0	275.0	271.0	277.0	272.0	274.0	273.0	275.0	275.0	
Thu Jul 27 08:41:00 UTC 2017	404.0	1.082028032E9	8246742.5	31.0	3.0838784E7	156627.640625	2.0	4.95702016E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1569964.375	null	0.11375000327825546	0.11800000071525574	0.1887499988079071	0.9484999775886536	0.7946882843971252	350.0	null	null	null	null	1.151082768E9	null	null	1.08068636E9	3.20931999E8	null	null	3.49434753E8	3.65956893E8	null	null	3.76374012E8	null	2.97169259E8	7.7861332E7	7.7861332E7	null	3.8126203E7	null	4.9839621E7	275.0	274.0	275.0	272.0	274.0	274.0	271.0	271.0	274.0	273.0	273.0	
Thu Jul 27 08:40:00 UTC 2017	393.0	1.082318848E9	8246742.5	32.0	3.0199808E7	163705.046875	2.0	4.92470272E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1469951.0	1668120.0	0.12549999356269836	0.11524999886751175	0.1860000044107437	0.9487500190734863	0.7944485545158386	300.0	null	null	null	null	1.163218565E9	null	null	1.121449197E9	3.90957838E8	null	null	3.67953141E8	3.62883375E8	null	null	3.24907855E8	null	3.00589475E8	8.0762518E7	8.0762518E7	null	4.5668302E7	null	3.6016677E7	273.0	277.0	276.0	276.0	272.0	270.0	274.0	273.0	275.0	275.0	276.0	
Thu Jul 27 08:39:00 UTC 2017	405.0	1.082425344E9	8049012.5	31.0	3.0957568E7	162759.09375	2.0	4.90196992E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1469951.0	1668120.0	0.13774999976158142	0.10599999874830246	0.18025000393390656	0.9482499957084656	0.7950087785720825	300.0	null	null	null	null	9.84980171E8	null	null	9.03960016E8	3.41725107E8	null	null	3.56504595E8	2.90727305E8	null	null	2.75360478E8	null	2.828972E8	7.3565348E7	7.3565348E7	null	4.4224637E7	null	3.8379437E7	277.0	276.0	274.0	276.0	275.0	275.0	275.0	276.0	277.0	276.0	273.0	
Thu Jul 27 08:38:00 UTC 2017	402.0	1.08064768E9	8049012.5	29.0	2.9945856E7	162759.09375	2.0	4.87247872E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1469951.0	1668120.0	0.10249999910593033	0.10999999940395355	0.1784999966621399	0.9487500190734863	0.7939230799674988	300.0	null	null	null	null	1.075651469E9	null	null	1.043275915E9	3.18589245E8	null	null	4.01346853E8	3.3546534E8	null	null	2.9874556E8	null	2.90545315E8	7.2264812E7	7.2264812E7	null	3.794705E7	null	3.8073812E7	273.0	271.0	271.0	275.0	272.0	272.0	270.0	273.0	272.0	273.0	274.0	
Thu Jul 27 08:37:00 UTC 2017	398.0	1.080147968E9	7938853.5	29.0	3.0916608E7	162759.09375	2.0	4.83708928E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1469951.0	1668120.0	0.1197500005364418	0.10899999737739563	0.17499999701976776	0.949999988079071	0.7935174703598022	250.0	null	null	null	null	9.5459233E8	null	null	9.62900926E8	2.87019763E8	null	null	2.53645527E8	3.76390265E8	null	null	3.44527985E8	null	2.78094128E8	7.2817963E7	7.2817963E7	null	3.0625677E7	null	3.5469117E7	273.0	276.0	275.0	273.0	277.0	290.0	275.0	274.0	276.0	276.0	273.0	
Thu Jul 27 08:36:00 UTC 2017	390.0	1.079697408E9	7573906.5	27.0	3.1010816E7	149708.140625	2.0	4.83401728E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1490434.5	1534981.5	0.11574999988079071	0.10700000077486038	0.16224999725818634	0.9509999752044678	0.7938971519470215	250.0	null	null	null	null	8.50412524E8	null	null	7.32968227E8	2.41025633E8	null	null	2.28299681E8	2.08964848E8	null	null	1.91760388E8	null	2.51582017E8	6.5747542E7	6.5747542E7	null	2.4275933E7	null	3.3088182E7	275.0	277.0	276.0	275.0	277.0	279.0	279.0	275.0	276.0	273.0	275.0	
Thu Jul 27 08:35:00 UTC 2017	381.0	1.080979456E9	7573906.5	28.0	2.9097984E7	149708.140625	2.0	4.8205824E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1458216.875	1534981.5	0.12725000083446503	0.0949999988079071	0.16300000250339508	0.9514999985694885	0.7953311800956726	250.0	null	null	null	null	7.98065361E8	null	null	7.70725437E8	1.86369771E8	null	null	1.97013651E8	2.30959262E8	null	null	2.13361188E8	null	2.80323755E8	6.8693931E7	6.8693931E7	null	3.3272822E7	null	3.307868E7	280.0	275.0	276.0	279.0	277.0	275.0	277.0	276.0	275.0	276.0	280.0	
Thu Jul 27 08:34:00 UTC 2017	370.0	1.080307712E9	6920923.5	26.0	2.842624E7	130016.8125	2.0	4.79453184E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1243168.125	1327025.125	0.10525000095367432	0.10324999690055847	0.16175000369548798	0.9539999961853027	0.7927008867263794	200.0	null	null	null	null	6.50460582E8	null	null	6.75509336E8	1.76955687E8	null	null	1.49214287E8	1.73838377E8	null	null	1.77031799E8	null	2.53842988E8	6.5608677E7	6.5608677E7	null	3.4162062E7	null	2.9630633E7	282.0	281.0	283.0	279.0	280.0	281.0	287.0	278.0	284.0	284.0	281.0	
Thu Jul 27 08:33:00 UTC 2017	341.0	1.079332864E9	5151360.5	23.0	2.9384704E7	130016.8125	2.0	4.7607808E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1243168.125	1327025.125	0.10999999940395355	0.08649999648332596	0.14650000631809235	0.9552500247955322	0.7941569089889526	200.0	null	null	null	null	3.92804001E8	null	null	3.28040518E8	5.9557648E7	null	null	8.4074265E7	6.4234059E7	null	null	6.7244032E7	null	1.79886665E8	4.2670943E7	4.2670943E7	null	2.0046487E7	null	1.766044E7	283.0	283.0	280.0	280.0	284.0	282.0	284.0	283.0	282.0	283.0	285.0	
