('profile: ', [(0, 3), (48, 3), (103, 3), (115, 3), (155, 3), (191, 3), (212, 3), (233, 3), (233, 3), (265, 3), (284, 3), (365, 3), (432, 3), (512, 3), (595, 3), (600, 3)])
('2017-05-15 06:16:44', 1494829004, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-15 06:19:44', 1494829184, 'Users=', 48, 'Duration=', 3, 'min')
('2017-05-15 06:22:44', 1494829364, 'Users=', 103, 'Duration=', 3, 'min')
('2017-05-15 06:25:44', 1494829544, 'Users=', 115, 'Duration=', 3, 'min')
('2017-05-15 06:28:44', 1494829724, 'Users=', 155, 'Duration=', 3, 'min')
('2017-05-15 06:31:45', 1494829905, 'Users=', 191, 'Duration=', 3, 'min')
('2017-05-15 06:34:45', 1494830085, 'Users=', 212, 'Duration=', 3, 'min')
('2017-05-15 06:37:45', 1494830265, 'Users=', 233, 'Duration=', 3, 'min')
('2017-05-15 06:40:45', 1494830445, 'Users=', 233, 'Duration=', 3, 'min')
('2017-05-15 06:43:45', 1494830625, 'Users=', 265, 'Duration=', 3, 'min')
('2017-05-15 06:46:45', 1494830805, 'Users=', 284, 'Duration=', 3, 'min')
('2017-05-15 06:49:45', 1494830985, 'Users=', 365, 'Duration=', 3, 'min')
('2017-05-15 06:52:45', 1494831165, 'Users=', 432, 'Duration=', 3, 'min')
('2017-05-15 06:55:45', 1494831345, 'Users=', 512, 'Duration=', 3, 'min')
('2017-05-15 06:58:45', 1494831525, 'Users=', 595, 'Duration=', 3, 'min')
('2017-05-15 07:01:46', 1494831706, 'Users=', 600, 'Duration=', 3, 'min')
