,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,6914,6860,3654,7530,5211,3083,6529,4894,8957,3684,5683,7022,7378,10231,8778,8546,7108,1088,3644,6430,9233,6844,8720,1064,8544,7061,6058,7174,2949,6349,4338,4233,5154,6459,9288,2712,3586,6965,5952,7123,1285,8196,252,4480,8876,8763,7096,5982,8215,3634,6064,5118,9595,6132,4132,9635,9560,7910,6050,4420,8006,7183,5166,9149,8452,7014,5768,2433,1683,8635,7429,4292,6177,8805,10000,1291,11038,5448,6505,8214,7570,7329
5357,8272,8323,4817,9127,6491,4235,8086,6153,10839,4196,6481,8046,8916,12052,10630,9800,8444,1858,4426,7644,10872,8457,10052,1730,10226,8834,7218,8752,4129,7399,5370,5243,6138,8033,10999,3890,4264,8581,6981,7962,2045,9764,767,5756,10639,10180,8363,7034,9771,4903,7328,6234,10865,7219,4947,11165,11119,9118,7164,5363,9425,8583,6213,10840,10107,8412,6859,3036,2644,10369,9219,5533,7506,10565,11714,1836,13026,6731,7923,9495,8854,8502
6295,9711,9822,6048,10724,7806,5362,9690,7440,12747,4714,7277,9165,10484,13865,12490,11094,9763,2651,5233,8869,12558,10059,11374,2394,11968,10630,8382,10381,5340,8439,6394,6269,7161,9621,12702,5072,4992,10210,8053,8845,2796,11361,1287,7089,12380,11622,9653,8095,11360,6156,8608,7404,12222,8309,5755,12679,12667,10324,8273,6310,9425,9976,7271,12518,11760,9872,7942,3699,3613,12178,11013,6780,8838,12347,13428,2389,15030,8030,9359,10775,10167,9741
7256,11516,11375,7716,12344,9372,6492,11560,9009,14666,5289,8110,10813,12030,15630,14446,12709,10886,3484,6304,10140,14275,11714,12481,3042,13914,12470,9575,12155,6605,9495,7494,7323,8387,11266,14470,6278,5998,11857,9397,10079,3551,13107,1877,8881,14239,13094,11000,9224,13174,7548,9916,8927,14032,9394,6495,14124,14258,11459,9426,7240,10829,11440,8419,14072,13432,11641,9091,4773,4649,14356,12882,8076,10325,14118,15148,2979,17199,9347,10842,12088,11565,11348
8497,13337,13219,9553,14147,10945,7738,13434,10628,16781,5862,9225,12473,13607,17373,16704,14318,11984,4491,7365,11644,16000,13541,13605,3670,15810,14453,10862,13935,8254,10744,9021,8653,9605,13365,16267,7622,7003,13502,10741,11323,4388,14856,2994,10664,16386,14762,12374,10764,14990,9466,11372,10458,15865,10358,7233,15573,16174,12588,10953,8165,12225,13268,9982,15627,15200,13420,10245,5850,6111,16546,14727,9720,11809,15828,16868,3822,19339,10709,12306,13823,12962,12968
9756,15234,15069,11412,15958,12566,8983,15368,12269,18895,6548,10355,14182,15183,19134,18991,15951,13158,5506,8518,13163,17752,15361,14802,4303,17769,16432,12116,15782,9911,11994,10553,9998,10889,15492,18125,8976,8063,15119,12137,12583,5222,16715,4089,12527,18546,16438,13738,12338,16828,11372,12845,12068,17706,11325,8043,17038,18098,13772,12492,9149,13622,15085,11543,17253,16967,15192,11438,7004,7585,18747,16638,11386,13326,17563,18602,4653,21522,12074,13861,15570,14430,14610
11061,17573,16991,13354,17818,14565,10299,17798,14259,21022,7650,11505,16052,16759,20953,21308,17683,14888,6573,10202,14690,19640,17239,16510,5044,19920,18456,13429,18071,11648,13332,12105,11407,12673,17334,20354,10432,9535,16796,13927,13962,6121,18944,5220,14857,20801,18148,15278,13913,19250,13286,14317,14202,19724,12341,9416,18728,20081,15364,14091,10555,15063,16933,13186,19374,18786,17209,12927,8538,9132,20945,18790,13088,15159,19334,20357,5535,23944,13500,15816,17349,16420,16442
12668,19917,19289,15335,20018,16557,12120,20259,16275,23387,8759,12919,17930,18398,22774,23722,19425,16625,8017,11927,16376,21540,19745,18238,6176,22073,20952,15102,20374,13899,15241,13892,13379,14467,19715,22849,12444,11022,18689,15718,15364,7465,21168,6539,17185,23398,20180,16827,15684,21650,15289,16004,16314,21702,13794,10787,20434,22451,16967,16224,11965,16899,19059,15255,21497,20757,19217,14432,10116,11272,23189,20958,15204,16986,21457,22123,6709,26368,15277,17771,19601,18402,18278
14297,22274,21571,17361,22208,18562,13939,22734,18326,25754,9910,14317,19823,20020,24689,26160,21208,18400,9484,13516,18072,23507,22206,20045,7273,24254,23475,16782,22700,16191,17154,15688,15385,16337,22097,25341,14446,12534,20618,17538,16841,8791,23436,7861,19501,25983,22247,18433,17501,24076,17308,17742,18469,23755,15243,12235,22173,24833,18586,18381,13430,18768,21217,17327,23670,22743,21263,15950,11773,13434,25413,23158,17324,18822,23574,23926,7876,28809,17052,19790,21841,20386,20149
15980,24907,23950,19636,24457,20640,15827,25531,20667,28140,11220,15809,21845,21684,27118,28589,23288,20584,11011,15768,19784,25849,24716,22399,8494,26732,26016,18541,25291,18511,19118,17510,17383,18540,24537,27962,16535,14434,22575,19581,18845,10194,25991,9234,21861,28694,24343,20605,19347,26585,19368,19508,20747,26213,16745,14250,24518,27266,20340,20594,15421,20651,23375,19395,26253,24793,23528,17668,13871,15645,28005,25674,19513,20883,25765,25798,9155,31797,18877,22167,24138,22510,22349
