percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle
52.164789,28.357009,32.094059,58.831765,26.38144,32.910152,31.431095,30.15991,28.540972,29.754844,72.725295,36.660566,30.429917,28.445475,28.559123,29.905568,31.426875,29.662752,63.396669,29.647847,30.962655,28.831419,28.66945,28.991405,65.226899,27.992224,28.119278,29.618631,28.77377,36.528491,29.092955,63.791016,63.810209,28.080192,29.091549,31.736226,32.183635,29.322082,33.060592,85.298212,29.536609,73.584619,31.189126,33.210799,32.019486,29.650179,32.8314,28.572761,30.19896,30.954706,30.578121,31.498439,29.656859,63.636344,31.340429,29.725634,30.516255,31.661087,29.697238,34.492311,32.275518,34.377951,27.919088,29.750397,47.410853,39.494369,49.132698,27.90716,27.467542,33.185003,47.505288,28.313848,27.402521,84.245883,28.440868,37.204124,30.476052,28.379057,31.239478,34.110356
42.738801,30.347948,32.93309,50.37633,29.947693,38.75408,34.565533,29.697635,29.283419,28.668321,74.469249,38.157796,32.917354,27.698902,29.742112,28.827198,29.995096,31.032533,69.138147,30.933578,29.628306,30.95252,28.56298,29.840357,75.771065,30.770282,28.93277,29.85144,29.574128,46.496737,31.050377,61.495901,69.302699,27.184777,30.630074,35.284544,30.514603,30.476377,34.421917,96.156493,29.932182,95.690738,30.0773,32.739931,29.655436,29.269211,31.39615,30.573528,29.477242,37.480627,28.362097,31.090647,33.163683,73.915636,29.205952,29.649001,32.279038,29.458449,29.737142,28.636546,30.525273,30.840914,30.890643,30.683706,39.62993,44.482378,49.098799,30.107973,31.698108,30.256887,48.36135,29.252361,27.35162,99.42537,28.875775,46.594641,33.93945,29.628168,30.201331,32.209798
43.605513,29.628479,33.383166,33.363682,30.885793,30.640306,32.00424,29.267807,29.924802,29.658037,66.186417,33.064733,30.666468,32.957112,31.065452,29.866914,30.406952,29.847224,82.966807,32.618205,31.407379,30.610134,29.493312,29.655694,80.919368,30.528536,28.678024,28.934842,30.100005,43.861795,29.418137,58.929189,39.624495,30.574767,29.021447,32.631918,39.986237,29.298808,33.52947,93.05904,30.19285,93.352911,30.260946,30.49074,30.059872,30.155814,36.013057,28.440012,31.883009,33.017314,31.971091,29.093789,34.632786,37.0848,29.802295,28.883969,30.058492,28.845755,32.091625,31.485644,29.327785,33.756582,29.739893,29.76591,46.723776,48.468732,66.902338,29.153943,29.623903,33.885375,31.968951,32.257997,29.892358,80.618642,29.169878,34.380426,29.498937,27.906142,30.406597,34.986045
29.937695,29.989527,28.889154,28.502336,30.161426,28.823718,26.542348,29.377039,29.120047,29.833457,51.507458,29.64855,32.298428,31.911736,30.609218,30.037928,29.312114,29.016936,33.489949,40.239178,30.055614,29.754833,28.424932,30.029354,40.748881,29.901394,29.304875,28.617114,28.890722,27.807326,31.341891,29.701609,30.270221,30.210463,30.88703,27.40474,36.390338,30.173062,34.86204,28.285257,31.929653,36.774721,29.475531,30.647085,32.578652,29.865623,28.761908,29.500176,28.199468,29.451677,30.130203,29.917482,29.517834,32.755597,29.423467,31.117132,28.944585,30.330207,30.984977,29.659018,28.046563,28.381152,30.335595,29.101264,28.309913,56.277018,28.982198,31.282466,29.341996,27.805139,26.687769,29.272593,28.913464,32.479849,31.034304,26.603884,25.865528,30.107168,30.311331,28.356916
29.94882,30.257199,29.611781,28.827678,32.533003,30.656616,27.86518,30.425513,30.843306,32.982325,68.211909,34.424701,29.840337,29.811891,34.066375,30.836251,29.690587,29.170391,35.336488,32.394501,29.336286,32.756119,29.716089,29.709268,31.197101,30.637398,29.528973,29.754841,28.718332,29.493034,29.3241,28.715482,31.710273,29.629754,30.326947,27.78171,42.870276,30.507131,34.505633,29.351263,30.719091,44.633214,30.078614,29.184219,32.240784,29.386887,29.819679,32.1295,28.030068,28.735927,27.270505,30.929019,28.730472,32.29923,28.831286,30.136107,31.357487,29.212054,30.39908,28.1147,29.596198,29.411574,33.878112,28.048325,30.018793,43.523296,28.53281,30.791149,30.835958,28.637808,29.779209,30.722553,31.756486,58.645447,35.00229,28.161319,28.675571,28.090417,30.12143,32.443618
29.534155,33.161361,30.899849,31.386244,30.592011,30.920127,29.775684,31.821083,31.01388,32.936067,51.883096,33.144548,30.046541,30.003487,31.424316,32.87874,28.723774,29.576587,30.523024,31.365846,29.699292,30.882513,32.488319,30.638001,38.611666,32.245774,30.739949,30.455128,30.227979,30.562997,29.853731,29.759235,30.564829,29.880894,32.717169,30.475606,34.166919,29.505453,29.879122,30.519067,32.096531,56.02647,30.607693,37.690889,30.495143,30.474036,30.036478,32.024982,29.92957,28.906654,29.06536,29.662207,30.925558,35.596717,29.241245,31.119084,31.337232,30.662081,32.785685,29.71544,30.306164,29.550012,31.367077,29.852556,29.45711,32.834379,31.056243,31.361455,30.679342,28.482899,29.739082,29.514286,31.485631,48.722324,32.684189,29.689919,34.989111,31.753178,32.935966,29.516703
29.011196,32.598632,32.123172,30.503013,31.514468,30.083845,31.899114,32.604972,30.916333,37.025005,42.649613,28.551137,28.69132,32.025547,32.470958,33.818425,31.11648,31.48563,30.636389,29.039045,30.423862,33.971191,35.845522,30.577492,52.886542,34.736413,33.816838,32.042154,31.73735,29.06752,30.480174,31.066175,29.209995,33.314332,30.934857,29.626168,30.22947,29.428355,29.945049,33.228359,56.516975,26.823341,30.910628,33.478271,31.093449,30.918279,28.353962,33.098991,30.506173,27.927842,28.850115,32.09031,29.6037,33.933841,29.676347,30.732177,31.009543,28.579212,29.943111,30.049414,29.049385,29.028533,29.66691,31.065045,29.571014,27.930901,28.266019,38.835053,30.103848,30.898984,29.092129,30.197546,32.157333,29.079324,33.707021,28.810194,31.623711,29.842417,33.285047,29.312859
27.626013,34.184369,31.687268,35.344473,33.600111,31.788594,29.094647,33.550272,32.493103,36.464562,51.485953,28.988005,30.305376,34.143907,32.197085,41.260401,30.356587,31.04936,30.017225,31.828184,30.963638,30.599842,31.321604,30.425755,41.135416,33.643676,35.872277,29.456633,34.020278,29.199903,29.778923,30.025534,29.595881,34.029877,30.358984,31.717341,30.41564,28.063674,28.669026,30.336136,45.754131,28.311009,34.779709,35.738547,31.986942,30.599853,30.363408,33.827977,33.031321,30.590232,28.571048,31.77812,29.71871,37.236232,32.592572,32.294448,31.002198,31.599136,31.054762,30.082627,29.189665,29.327644,33.354185,33.381213,31.851269,31.602984,28.332625,42.575238,33.642103,30.235477,29.612863,32.331733,31.189917,30.550707,39.451605,29.543378,30.515657,30.171174,32.516535,30.380127
30.443789,30.737224,32.722912,33.410511,35.436689,32.50369,31.449107,38.444962,30.197567,38.186253,33.841057,31.308291,30.89462,33.492955,34.909515,36.612631,32.360505,30.518889,31.546667,28.442646,31.25072,30.178243,33.719892,28.914199,39.968742,31.860566,37.013385,30.790506,33.957854,31.996934,30.682924,29.232684,31.170426,40.655638,31.957702,31.324961,30.080058,30.505587,29.825704,33.303083,33.908011,28.451177,31.334814,40.68103,34.835901,29.745055,31.67545,34.632653,31.042659,31.447073,30.832989,31.910854,29.207964,29.348609,31.722833,33.593394,30.297649,30.682041,28.82828,30.562902,33.067741,28.413686,33.827104,31.366556,31.563447,28.720042,29.960808,46.292008,31.350997,30.541557,29.113745,31.542158,32.370194,30.528183,40.727834,28.725121,27.624321,31.288136,29.764397,32.039599
32.60946,33.358131,37.085125,33.128789,37.620359,35.06263,30.253636,50.076819,32.480555,38.890327,28.011242,28.410184,31.426525,31.988364,32.073405,42.530345,34.500387,29.961517,30.175804,29.041757,30.425448,32.245054,37.144245,29.60474,29.102528,34.188244,51.343717,29.615567,34.276129,32.517647,30.157513,29.934861,29.236574,40.30834,38.702343,30.230362,28.991433,29.273784,30.019325,29.551973,33.761739,30.308131,35.880191,41.217239,36.481128,29.482313,31.579502,38.518687,32.718157,29.85246,33.520083,35.208224,28.199806,30.133741,30.961564,38.219631,29.291672,31.224821,28.614967,30.586214,35.136918,32.62911,31.522607,32.728226,30.00173,29.903432,33.342037,40.723558,31.12611,30.49571,30.060297,32.444673,30.837375,27.953625,59.340855,30.261366,28.600019,31.355876,31.195164,30.965489
