percentile_viewfeedresponsetime_edge2
2.12408767E8
2.14166339E8
2.12512963E8
2.1789082E8
2.11463655E8
2.01026352E8
1.95587506E8
1.92831408E8
1.82624896E8
1.8448134E8
1.7485495E8
1.1907552E8
1.15107659E8
9.9484998E7
9.152523E7
6.6698307E7
7.0986366E7
5.1682041E7
5.1504033E7
1.1861328E8
6.2159561E7
5.9512591E7
4.8452618E7
6.2372637E7
5.8910773E7
3.9633118E7
3.7155142E7
4.0752215E7
3.6807554E7
4.1012884E7
3.7779244E7
3.7444793E7
3.4883111E7
3.3369165E7
3.6335811E7
3.3865994E7
3.4191042E7
3.3738606E7
5.3867006E7
3.629035E7
4.4403478E7
6.7354361E7
6.8136942E7
6.2669757E7
1.3556581E7
null
null
null
