cpuusage_middle
989.0
981.0
986.0
961.0
946.0
887.0
833.0
833.0
779.0
752.0
746.0
688.0
656.0
654.0
569.0
558.0
517.0
474.0
443.0
415.0
350.0
332.0
306.0
262.0
229.0
203.0
139.0
111.0
101.0
68.0
52.0
43.0
28.0
26.0
23.0
16.0
13.0
12.0
10.0
8.0
7.0
4.0
