('profile: ', [(0, 3), (60, 3), (127, 3), (175, 3), (181, 3), (210, 3), (259, 3), (304, 3), (288, 3), (299, 3), (311, 3), (328, 3), (402, 3), (486, 3), (536, 3), (600, 3)])
('2017-05-14 05:28:54', 1494739734, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 05:31:54', 1494739914, 'Users=', 60, 'Duration=', 3, 'min')
('2017-05-14 05:34:55', 1494740095, 'Users=', 127, 'Duration=', 3, 'min')
('2017-05-14 05:37:55', 1494740275, 'Users=', 175, 'Duration=', 3, 'min')
('2017-05-14 05:40:55', 1494740455, 'Users=', 181, 'Duration=', 3, 'min')
('2017-05-14 05:43:55', 1494740635, 'Users=', 210, 'Duration=', 3, 'min')
('2017-05-14 05:46:55', 1494740815, 'Users=', 259, 'Duration=', 3, 'min')
('2017-05-14 05:49:55', 1494740995, 'Users=', 304, 'Duration=', 3, 'min')
('2017-05-14 05:52:55', 1494741175, 'Users=', 288, 'Duration=', 3, 'min')
('2017-05-14 05:55:55', 1494741355, 'Users=', 299, 'Duration=', 3, 'min')
('2017-05-14 05:58:55', 1494741535, 'Users=', 311, 'Duration=', 3, 'min')
('2017-05-14 06:01:55', 1494741715, 'Users=', 328, 'Duration=', 3, 'min')
('2017-05-14 06:04:55', 1494741895, 'Users=', 402, 'Duration=', 3, 'min')
('2017-05-14 06:07:56', 1494742076, 'Users=', 486, 'Duration=', 3, 'min')
('2017-05-14 06:10:56', 1494742256, 'Users=', 536, 'Duration=', 3, 'min')
('2017-05-14 06:13:56', 1494742436, 'Users=', 600, 'Duration=', 3, 'min')
