_DATE host cpuusage memusage 
2017-03-09-16:09:00 middletier-2vpks 583.0 6.50584064E8 
2017-03-09-16:08:00 middletier-2vpks 591.0 6.66976256E8 
2017-03-09-16:08:00 middletier-2vpks 591.0 6.66976256E8 
2017-03-09-16:07:00 middletier-2vpks 594.0 5.94280448E8 
2017-03-09-16:07:00 middletier-2vpks 594.0 5.94280448E8 
2017-03-09-16:06:00 middletier-2vpks 592.0 6.29911552E8 
2017-03-09-16:06:00 middletier-2vpks 592.0 6.29911552E8 
2017-03-09-16:05:00 middletier-2vpks 605.0 6.30767616E8 
2017-03-09-16:05:00 middletier-2vpks 605.0 6.30767616E8 
2017-03-09-16:04:00 middletier-2vpks 612.0 5.93240064E8 
2017-03-09-16:04:00 middletier-2vpks 612.0 5.93240064E8 
2017-03-09-16:03:00 middletier-2vpks 590.0 6.33675776E8 
2017-03-09-16:03:00 middletier-2vpks 590.0 6.33675776E8 
2017-03-09-16:02:00 middletier-2vpks 595.0 6.45451776E8 
2017-03-09-16:02:00 middletier-2vpks 595.0 6.45451776E8 
2017-03-09-16:01:00 middletier-2vpks 615.0 6.4249856E8 
2017-03-09-16:01:00 middletier-2vpks 615.0 6.4249856E8 
2017-03-09-16:00:00 middletier-2vpks 601.0 6.17381888E8 
2017-03-09-16:00:00 middletier-2vpks 601.0 6.17381888E8 
2017-03-09-15:59:00 middletier-2vpks 598.0 6.35256832E8 
2017-03-09-15:59:00 middletier-2vpks 598.0 6.35256832E8 
2017-03-09-15:58:00 middletier-2vpks 611.0 6.52066816E8 
2017-03-09-15:58:00 middletier-2vpks 611.0 6.52066816E8 
2017-03-09-15:57:00 middletier-2vpks 606.0 6.35998208E8 
2017-03-09-15:57:00 middletier-2vpks 606.0 6.35998208E8 
2017-03-09-15:56:00 middletier-2vpks 599.0 5.83135232E8 
2017-03-09-15:56:00 middletier-2vpks 599.0 5.83135232E8 
2017-03-09-15:55:00 middletier-2vpks 579.0 6.09558528E8 
2017-03-09-15:55:00 middletier-2vpks 579.0 6.09558528E8 
2017-03-09-15:54:00 middletier-2vpks 556.0 5.47545088E8 
2017-03-09-15:54:00 middletier-2vpks 556.0 5.47545088E8 
2017-03-09-15:53:00 middletier-2vpks 497.0 5.41478912E8 
2017-03-09-15:53:00 middletier-2vpks 497.0 5.41478912E8 
