_DATE host cpuusage memusage 
2017-03-09-16:12:00 rssserver-l9b0p 25.0 2.3515136E7 
2017-03-09-16:12:00 rssserver-l9b0p 25.0 2.3515136E7 
2017-03-09-16:11:00 rssserver-l9b0p 26.0 2.342912E7 
2017-03-09-16:11:00 rssserver-l9b0p 26.0 2.342912E7 
2017-03-09-16:10:00 rssserver-l9b0p 26.0 2.342912E7 
2017-03-09-16:10:00 rssserver-l9b0p 26.0 2.342912E7 
2017-03-09-16:09:00 rssserver-l9b0p 26.0 2.2687744E7 
2017-03-09-16:09:00 rssserver-l9b0p 26.0 2.2687744E7 
2017-03-09-16:08:00 rssserver-l9b0p 26.0 2.4178688E7 
2017-03-09-16:08:00 rssserver-l9b0p 26.0 2.4178688E7 
2017-03-09-16:07:00 rssserver-l9b0p 26.0 2.2765568E7 
2017-03-09-16:07:00 rssserver-l9b0p 26.0 2.2765568E7 
2017-03-09-16:06:00 rssserver-l9b0p 26.0 2.3457792E7 
2017-03-09-16:06:00 rssserver-l9b0p 26.0 2.3457792E7 
2017-03-09-16:05:00 rssserver-l9b0p 27.0 2.3437312E7 
2017-03-09-16:05:00 rssserver-l9b0p 27.0 2.3437312E7 
2017-03-09-16:04:00 rssserver-l9b0p 27.0 2.3437312E7 
2017-03-09-16:04:00 rssserver-l9b0p 27.0 2.3437312E7 
2017-03-09-16:03:00 rssserver-l9b0p 26.0 2.2663168E7 
2017-03-09-16:03:00 rssserver-l9b0p 26.0 2.2663168E7 
2017-03-09-16:02:00 rssserver-l9b0p 26.0 2.3343104E7 
2017-03-09-16:02:00 rssserver-l9b0p 26.0 2.3343104E7 
2017-03-09-16:01:00 rssserver-l9b0p 27.0 2.2757376E7 
2017-03-09-16:01:00 rssserver-l9b0p 27.0 2.2757376E7 
2017-03-09-16:00:00 rssserver-l9b0p 25.0 2.3482368E7 
2017-03-09-16:00:00 rssserver-l9b0p 25.0 2.3482368E7 
2017-03-09-15:59:00 rssserver-l9b0p 27.0 2.342912E7 
2017-03-09-15:59:00 rssserver-l9b0p 27.0 2.342912E7 
2017-03-09-15:58:00 rssserver-l9b0p 27.0 2.342912E7 
2017-03-09-15:58:00 rssserver-l9b0p 27.0 2.342912E7 
2017-03-09-15:57:00 rssserver-l9b0p 25.0 2.2687744E7 
2017-03-09-15:57:00 rssserver-l9b0p 25.0 2.2687744E7 
2017-03-09-15:56:00 rssserver-l9b0p 26.0 2.2687744E7 
2017-03-09-15:56:00 rssserver-l9b0p 26.0 2.2687744E7 
2017-03-09-15:55:00 rssserver-l9b0p 25.0 2.336768E7 
2017-03-09-15:55:00 rssserver-l9b0p 25.0 2.336768E7 
2017-03-09-15:54:00 rssserver-l9b0p 24.0 2.336768E7 
2017-03-09-15:54:00 rssserver-l9b0p 24.0 2.336768E7 
2017-03-09-15:53:00 rssserver-l9b0p 22.0 2.2695936E7 
2017-03-09-15:53:00 rssserver-l9b0p 22.0 2.2695936E7 
2017-03-09-15:52:00 rssserver-l9b0p 21.0 2.27328E7 
2017-03-09-15:52:00 rssserver-l9b0p 21.0 2.27328E7 
2017-03-09-15:51:00 rssserver-l9b0p 21.0 2.2728704E7 
2017-03-09-15:51:00 rssserver-l9b0p 21.0 2.2728704E7 
2017-03-09-15:50:00 rssserver-l9b0p 20.0 2.340864E7 
2017-03-09-15:50:00 rssserver-l9b0p 20.0 2.340864E7 
2017-03-09-15:49:00 rssserver-l9b0p 19.0 2.2679552E7 
2017-03-09-15:49:00 rssserver-l9b0p 19.0 2.2679552E7 
2017-03-09-15:48:00 rssserver-l9b0p 16.0 2.2679552E7 
2017-03-09-15:48:00 rssserver-l9b0p 16.0 2.2679552E7 
2017-03-09-15:47:00 rssserver-l9b0p 15.0 2.2679552E7 
2017-03-09-15:47:00 rssserver-l9b0p 15.0 2.2679552E7 
2017-03-09-15:46:00 rssserver-l9b0p 14.0 2.2679552E7 
2017-03-09-15:46:00 rssserver-l9b0p 14.0 2.2679552E7 
2017-03-09-15:45:00 rssserver-l9b0p 14.0 2.2679552E7 
2017-03-09-15:45:00 rssserver-l9b0p 14.0 2.2679552E7 
2017-03-09-15:44:00 rssserver-l9b0p 13.0 2.2679552E7 
2017-03-09-15:44:00 rssserver-l9b0p 13.0 2.2679552E7 
2017-03-09-15:43:00 rssserver-l9b0p 10.0 2.2679552E7 
2017-03-09-15:43:00 rssserver-l9b0p 10.0 2.2679552E7 
2017-03-09-15:42:00 rssserver-l9b0p 10.0 2.2679552E7 
2017-03-09-15:42:00 rssserver-l9b0p 10.0 2.2679552E7 
2017-03-09-15:41:00 rssserver-l9b0p 10.0 2.4756224E7 
2017-03-09-15:41:00 rssserver-l9b0p 10.0 2.4756224E7 
2017-03-09-15:40:00 rssserver-l9b0p 10.0 2.1897216E7 
2017-03-09-15:40:00 rssserver-l9b0p 10.0 2.1897216E7 
2017-03-09-15:39:00 rssserver-l9b0p 8.0 2.1897216E7 
2017-03-09-15:39:00 rssserver-l9b0p 8.0 2.1897216E7 
2017-03-09-15:38:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:38:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:37:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:37:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:36:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:36:00 rssserver-l9b0p 5.0 2.1897216E7 
2017-03-09-15:35:00 rssserver-l9b0p 4.0 2.1897216E7 
2017-03-09-15:35:00 rssserver-l9b0p 4.0 2.1897216E7 
2017-03-09-15:34:00 rssserver-l9b0p 4.0 2.1897216E7 
2017-03-09-15:34:00 rssserver-l9b0p 4.0 2.1897216E7 
2017-03-09-15:33:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:33:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:32:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:32:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:31:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:31:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:30:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:30:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:29:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:29:00 rssserver-l9b0p 2.0 2.1897216E7 
2017-03-09-15:28:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:28:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:27:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:27:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:26:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:26:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:25:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:25:00 rssserver-l9b0p 1.0 2.1897216E7 
2017-03-09-15:24:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:24:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:23:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:23:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:22:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:22:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:21:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:21:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:20:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:20:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:19:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:19:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:18:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:18:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:17:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:17:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:16:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:16:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:15:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:15:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:14:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:14:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:13:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:13:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:12:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:12:00 rssserver-l9b0p 0.0 2.1897216E7 
2017-03-09-15:09:00 rssserver-l9b0p 0.0 null 
2017-03-09-15:09:00 rssserver-l9b0p 0.0 null 
