_DATE host cpuusage memusage 
2017-03-09-15:43:00 edge-8vsjk 117.0 3.92404992E8 
2017-03-09-15:42:00 edge-8vsjk 109.0 3.93388032E8 
2017-03-09-15:42:00 edge-8vsjk 109.0 3.93388032E8 
2017-03-09-15:41:00 edge-8vsjk 106.0 3.93351168E8 
2017-03-09-15:41:00 edge-8vsjk 106.0 3.93351168E8 
2017-03-09-15:40:00 edge-8vsjk 107.0 3.91274496E8 
2017-03-09-15:40:00 edge-8vsjk 107.0 3.91274496E8 
2017-03-09-15:39:00 edge-8vsjk 99.0 3.97950976E8 
2017-03-09-15:39:00 edge-8vsjk 99.0 3.97950976E8 
2017-03-09-15:38:00 edge-8vsjk 74.0 3.81329408E8 
2017-03-09-15:38:00 edge-8vsjk 74.0 3.81329408E8 
2017-03-09-15:37:00 edge-8vsjk 59.0 3.88001792E8 
2017-03-09-15:37:00 edge-8vsjk 59.0 3.88001792E8 
2017-03-09-15:36:00 edge-8vsjk 56.0 4.02161664E8 
2017-03-09-15:36:00 edge-8vsjk 56.0 4.02161664E8 
2017-03-09-15:35:00 edge-8vsjk 58.0 4.20691968E8 
2017-03-09-15:35:00 edge-8vsjk 58.0 4.20691968E8 
2017-03-09-15:34:00 edge-8vsjk 57.0 4.48192512E8 
2017-03-09-15:34:00 edge-8vsjk 57.0 4.48192512E8 
2017-03-09-15:33:00 edge-8vsjk 33.0 4.61512704E8 
2017-03-09-15:33:00 edge-8vsjk 33.0 4.61512704E8 
2017-03-09-15:32:00 edge-8vsjk 26.0 4.76049408E8 
2017-03-09-15:32:00 edge-8vsjk 26.0 4.76049408E8 
2017-03-09-15:31:00 edge-8vsjk 29.0 5.0112512E8 
2017-03-09-15:31:00 edge-8vsjk 29.0 5.0112512E8 
2017-03-09-15:30:00 edge-8vsjk 26.0 5.18479872E8 
2017-03-09-15:30:00 edge-8vsjk 26.0 5.18479872E8 
2017-03-09-15:29:00 edge-8vsjk 30.0 5.29514496E8 
2017-03-09-15:29:00 edge-8vsjk 30.0 5.29514496E8 
2017-03-09-15:28:00 edge-8vsjk 15.0 5.38791936E8 
2017-03-09-15:28:00 edge-8vsjk 15.0 5.38791936E8 
2017-03-09-15:27:00 edge-8vsjk 15.0 5.43469568E8 
2017-03-09-15:27:00 edge-8vsjk 15.0 5.43469568E8 
2017-03-09-15:26:00 edge-8vsjk 15.0 5.45202176E8 
2017-03-09-15:26:00 edge-8vsjk 15.0 5.45202176E8 
2017-03-09-15:25:00 edge-8vsjk 17.0 5.49281792E8 
2017-03-09-15:25:00 edge-8vsjk 17.0 5.49281792E8 
2017-03-09-15:24:00 edge-8vsjk 19.0 5.48069376E8 
2017-03-09-15:24:00 edge-8vsjk 19.0 5.48069376E8 
2017-03-09-15:23:00 edge-8vsjk 11.0 5.55208704E8 
2017-03-09-15:23:00 edge-8vsjk 11.0 5.55208704E8 
2017-03-09-15:22:00 edge-8vsjk 7.0 5.56232704E8 
2017-03-09-15:22:00 edge-8vsjk 7.0 5.56232704E8 
2017-03-09-15:21:00 edge-8vsjk 9.0 5.5375872E8 
2017-03-09-15:21:00 edge-8vsjk 9.0 5.5375872E8 
2017-03-09-15:20:00 edge-8vsjk 8.0 5.53607168E8 
2017-03-09-15:20:00 edge-8vsjk 8.0 5.53607168E8 
2017-03-09-15:19:00 edge-8vsjk 8.0 5.62601984E8 
2017-03-09-15:19:00 edge-8vsjk 8.0 5.62601984E8 
2017-03-09-15:18:00 edge-8vsjk 6.0 5.62302976E8 
2017-03-09-15:18:00 edge-8vsjk 6.0 5.62302976E8 
2017-03-09-15:17:00 edge-8vsjk 7.0 5.5033856E8 
2017-03-09-15:17:00 edge-8vsjk 7.0 5.5033856E8 
2017-03-09-15:16:00 edge-8vsjk 5.0 5.51391232E8 
2017-03-09-15:16:00 edge-8vsjk 5.0 5.51391232E8 
2017-03-09-15:15:00 edge-8vsjk 4.0 5.50301696E8 
2017-03-09-15:15:00 edge-8vsjk 4.0 5.50301696E8 
2017-03-09-15:14:00 edge-8vsjk 4.0 5.50268928E8 
2017-03-09-15:14:00 edge-8vsjk 4.0 5.50268928E8 
2017-03-09-15:13:00 edge-8vsjk 2.0 5.47622912E8 
2017-03-09-15:13:00 edge-8vsjk 2.0 5.47622912E8 
2017-03-09-15:12:00 edge-8vsjk 1.0 5.47622912E8 
2017-03-09-15:12:00 edge-8vsjk 1.0 5.47622912E8 
2017-03-09-15:09:00 edge-8vsjk 0.0 null 
2017-03-09-15:09:00 edge-8vsjk 0.0 null 
