('profile: ', [(0, 3), (73, 3), (129, 3), (194, 3), (196, 3), (244, 3), (301, 3), (331, 3), (288, 3), (292, 3), (376, 3), (438, 3), (501, 3), (557, 3), (565, 3), (600, 3)])
('2017-05-13 19:33:48', 1494704028, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 19:36:49', 1494704209, 'Users=', 73, 'Duration=', 3, 'min')
('2017-05-13 19:39:49', 1494704389, 'Users=', 129, 'Duration=', 3, 'min')
('2017-05-13 19:42:49', 1494704569, 'Users=', 194, 'Duration=', 3, 'min')
('2017-05-13 19:45:49', 1494704749, 'Users=', 196, 'Duration=', 3, 'min')
('2017-05-13 19:48:49', 1494704929, 'Users=', 244, 'Duration=', 3, 'min')
('2017-05-13 19:51:49', 1494705109, 'Users=', 301, 'Duration=', 3, 'min')
('2017-05-13 19:54:49', 1494705289, 'Users=', 331, 'Duration=', 3, 'min')
('2017-05-13 19:57:49', 1494705469, 'Users=', 288, 'Duration=', 3, 'min')
('2017-05-13 20:00:49', 1494705649, 'Users=', 292, 'Duration=', 3, 'min')
('2017-05-13 20:03:49', 1494705829, 'Users=', 376, 'Duration=', 3, 'min')
('2017-05-13 20:06:50', 1494706010, 'Users=', 438, 'Duration=', 3, 'min')
('2017-05-13 20:09:50', 1494706190, 'Users=', 501, 'Duration=', 3, 'min')
('2017-05-13 20:12:50', 1494706370, 'Users=', 557, 'Duration=', 3, 'min')
('2017-05-13 20:15:50', 1494706550, 'Users=', 565, 'Duration=', 3, 'min')
('2017-05-13 20:18:50', 1494706730, 'Users=', 600, 'Duration=', 3, 'min')
