_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 22:50:00 UTC 2017	993.0	1.445093376E9	1.8329026E7	76.0	2.4469504E7	256303.546875	123.0	8.41355264E8	42147.421875	190.0	169.0	1.172537344E9	1.188503552E9	3599410.75	3648270.0	0.10824999958276749	0.22824999690055847	0.23749999701976776	0.3552500009536743	0.8387705087661743	600.0	42478.0	42196.0	3113.0	3034.0	8.0	3.0	0.0	0.0	3.76207016E8	3.7143018E8	9.1955501E7	1.29086658E8	8.522145E7	8.8170786E7	1.22304686E8	6.0850091E7	6.0850091E7	9046793.0	7917541.0	
Sat May 13 22:49:00 UTC 2017	996.0	1.440141312E9	1.8323916E7	74.0	2.451456E7	256303.546875	122.0	8.41220096E8	42147.421875	188.0	169.0	1.173061632E9	1.190035456E9	3599410.75	3648270.0	0.09624999761581421	0.23225000500679016	0.2397499978542328	0.35975000262260437	0.8384016156196594	600.0	40841.0	40610.0	2754.0	2681.0	6.0	3.0	0.0	0.0	3.37178041E8	3.64830171E8	8.5535349E7	9.1105905E7	8.4950035E7	1.06941547E8	1.1901156E8	6.2740533E7	6.2740533E7	8123860.0	8470334.0	
Sat May 13 22:48:00 UTC 2017	993.0	1.44044032E9	1.8323916E7	75.0	2.5165824E7	255435.0625	121.0	8.40880128E8	41111.484375	192.0	171.0	1.173057536E9	1.19003136E9	3649871.0	null	0.11550000309944153	0.23675000667572021	0.2409999966621399	0.36024999618530273	0.8307807445526123	571.0	39189.0	38994.0	2410.0	2354.0	4.0	3.0	0.0	0.0	3.09458258E8	3.60332582E8	8.6455247E7	8.9140624E7	8.391414E7	7.9309402E7	1.13604516E8	6.1406141E7	6.1406141E7	7860169.0	7224247.0	
Sat May 13 22:47:00 UTC 2017	995.0	1.441005568E9	1.8323916E7	75.0	2.4465408E7	255435.0625	122.0	8.4002816E8	41111.484375	186.0	173.0	1.173020672E9	1.188827136E9	3569558.75	null	0.10050000250339508	0.22050000727176666	0.25224998593330383	0.3542500138282776	0.8378247618675232	571.0	37553.0	37402.0	2072.0	2004.0	4.0	1.0	0.0	0.0	3.28079994E8	3.16749648E8	8.3846894E7	9.1837489E7	8.2838383E7	8.5797141E7	1.17575565E8	6.2338502E7	6.2338502E7	8019793.0	7311990.0	
Sat May 13 22:46:00 UTC 2017	997.0	1.408294912E9	1.7849056E7	75.0	2.4449024E7	248701.453125	125.0	8.39950336E8	41111.484375	188.0	176.0	1.171308544E9	1.189363712E9	3569558.75	null	0.09624999761581421	0.23475000262260437	0.2407499998807907	0.34950000047683716	0.8380224108695984	571.0	35894.0	35770.0	1719.0	1687.0	2.0	1.0	0.0	0.0	3.333825E8	3.27238084E8	7.9990623E7	8.5150479E7	9.2536623E7	7.8708165E7	1.14792462E8	6.1253239E7	6.1253239E7	7326405.0	1.0868321E7	
Sat May 13 22:45:00 UTC 2017	986.0	1.443078144E9	1.7849056E7	75.0	2.4567808E7	248701.453125	123.0	8.3941376E8	41111.484375	188.0	171.0	1.172779008E9	1.188483072E9	3569558.75	null	0.1392499953508377	0.22975000739097595	0.24324999749660492	0.3622500002384186	0.8371255993843079	534.0	34207.0	34115.0	1417.0	1418.0	1.0	1.0	0.0	0.0	3.2468707E8	3.29001915E8	8.1198609E7	8.5211757E7	9.0247378E7	8.2454302E7	1.15495472E8	6.1490422E7	6.1490422E7	7694089.0	8744223.0	
Sat May 13 22:44:00 UTC 2017	990.0	1.418457088E9	1.7849056E7	72.0	2.5329664E7	243531.359375	126.0	8.39540736E8	41111.484375	186.0	170.0	1.171562496E9	1.188478976E9	3569558.75	null	0.09925000369548798	0.23000000417232513	0.23749999701976776	0.3512499928474426	0.8334697484970093	534.0	32526.0	32521.0	1094.0	1097.0	1.0	0.0	0.0	0.0	3.25779164E8	3.40299432E8	8.5766449E7	7.6022827E7	8.5797649E7	8.2073341E7	1.14607476E8	6.1730208E7	6.1730208E7	8957515.0	9041463.0	
Sat May 13 22:43:00 UTC 2017	982.0	1.446703104E9	1.6384607E7	75.0	2.5055232E7	255865.890625	123.0	8.38782976E8	41111.484375	181.0	172.0	1.16953088E9	1.189101568E9	3524984.5	3767698.0	0.10525000095367432	0.22450000047683716	0.257999986410141	0.3557499945163727	0.8377621173858643	534.0	30843.0	30900.0	818.0	807.0	0.0	0.0	0.0	0.0	3.14125283E8	3.12314742E8	8.4861518E7	7.8846732E7	7.915028E7	8.356058E7	1.13742834E8	5.9474915E7	5.9474915E7	8278618.0	7850824.0	
Sat May 13 22:42:00 UTC 2017	987.0	1.446211584E9	1.6384607E7	72.0	2.4420352E7	235558.609375	126.0	8.38115328E8	38436.51171875	177.0	172.0	1.169526784E9	1.188225024E9	3369465.25	3600088.25	0.09224999696016312	0.22349999845027924	0.23350000381469727	0.34549999237060547	0.8370673656463623	466.0	29220.0	29290.0	618.0	591.0	0.0	0.0	0.0	0.0	3.03096338E8	3.14758031E8	7.104094E7	7.5694087E7	7.3987163E7	7.5394096E7	1.11273152E8	5.930088E7	5.930088E7	6425360.0	6601443.0	
Sat May 13 22:41:00 UTC 2017	977.0	1.442996224E9	1.6384607E7	72.0	2.4428544E7	235558.609375	131.0	8.38152192E8	38436.51171875	176.0	174.0	1.170378752E9	1.188728832E9	3369465.25	3600088.25	0.10849999636411667	0.22499999403953552	0.23325000703334808	0.34150001406669617	0.8360883593559265	466.0	27628.0	27659.0	388.0	401.0	0.0	0.0	0.0	0.0	3.12232599E8	3.00456722E8	8.6321947E7	8.2880709E7	7.7122713E7	8.6172096E7	1.14338265E8	6.012555E7	6.012555E7	7190670.0	7882749.0	
