_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-09-15:39:00	rssserver-63g53	21.0	2.4195072E7	0.07074999809265137	250.0	0.0	6019.0	0.0	5955.0	
2017-04-09-15:38:00	rssserver-63g53	21.0	2.4190976E7	0.0754999965429306	200.0	0.0	5239.0	0.0	5168.0	
2017-04-09-15:38:00	rssserver-63g53	21.0	2.4190976E7	0.0754999965429306	200.0	0.0	5239.0	0.0	5168.0	
2017-04-09-15:37:00	rssserver-63g53	20.0	2.3502848E7	0.06274999678134918	200.0	0.0	4442.0	0.0	4369.0	
2017-04-09-15:37:00	rssserver-63g53	20.0	2.3502848E7	0.06274999678134918	200.0	0.0	4442.0	0.0	4369.0	
2017-04-09-15:36:00	rssserver-63g53	17.0	2.4969216E7	0.06925000250339508	200.0	0.0	3713.0	0.0	3693.0	
2017-04-09-15:36:00	rssserver-63g53	17.0	2.4969216E7	0.06925000250339508	200.0	0.0	3713.0	0.0	3693.0	
2017-04-09-15:35:00	rssserver-63g53	15.0	2.2786048E7	0.06624999642372131	150.0	0.0	3148.0	0.0	3092.0	
2017-04-09-15:35:00	rssserver-63g53	15.0	2.2786048E7	0.06624999642372131	150.0	0.0	3148.0	0.0	3092.0	
2017-04-09-15:34:00	rssserver-63g53	15.0	2.2781952E7	0.08250000327825546	150.0	0.0	2485.0	0.0	2501.0	
2017-04-09-15:34:00	rssserver-63g53	15.0	2.2781952E7	0.08250000327825546	150.0	0.0	2485.0	0.0	2501.0	
2017-04-09-15:33:00	rssserver-63g53	12.0	2.2781952E7	0.06350000202655792	150.0	0.0	1996.0	0.0	2033.0	
2017-04-09-15:33:00	rssserver-63g53	12.0	2.2781952E7	0.06350000202655792	150.0	0.0	1996.0	0.0	2033.0	
2017-04-09-15:32:00	rssserver-63g53	11.0	2.2781952E7	0.057999998331069946	100.0	0.0	1594.0	0.0	1632.0	
2017-04-09-15:32:00	rssserver-63g53	11.0	2.2781952E7	0.057999998331069946	100.0	0.0	1594.0	0.0	1632.0	
2017-04-09-15:31:00	rssserver-63g53	9.0	2.2777856E7	0.05525000020861626	100.0	0.0	1199.0	0.0	1232.0	
2017-04-09-15:31:00	rssserver-63g53	9.0	2.2777856E7	0.05525000020861626	100.0	0.0	1199.0	0.0	1232.0	
2017-04-09-15:30:00	rssserver-63g53	6.0	2.2765568E7	0.05350000038743019	100.0	0.0	914.0	0.0	949.0	
2017-04-09-15:30:00	rssserver-63g53	6.0	2.2765568E7	0.05350000038743019	100.0	0.0	914.0	0.0	949.0	
2017-04-09-15:29:00	rssserver-63g53	5.0	2.2089728E7	0.0560000017285347	50.0	0.0	709.0	0.0	746.0	
2017-04-09-15:29:00	rssserver-63g53	5.0	2.2089728E7	0.0560000017285347	50.0	0.0	709.0	0.0	746.0	
2017-04-09-15:28:00	rssserver-63g53	4.0	2.2089728E7	0.051500000059604645	50.0	0.0	511.0	0.0	549.0	
2017-04-09-15:28:00	rssserver-63g53	4.0	2.2089728E7	0.051500000059604645	50.0	0.0	511.0	0.0	549.0	
2017-04-09-15:27:00	rssserver-63g53	2.0	2.2089728E7	0.048500001430511475	50.0	0.0	377.0	0.0	428.0	
2017-04-09-15:27:00	rssserver-63g53	2.0	2.2089728E7	0.048500001430511475	50.0	0.0	377.0	0.0	428.0	
2017-04-09-15:26:00	rssserver-63g53	2.0	2.2089728E7	0.0507499985396862	20.0	0.0	298.0	0.0	348.0	
2017-04-09-15:26:00	rssserver-63g53	2.0	2.2089728E7	0.0507499985396862	20.0	0.0	298.0	0.0	348.0	
2017-04-09-15:25:00	rssserver-63g53	2.0	2.2089728E7	0.04600000008940697	20.0	0.0	221.0	0.0	269.0	
2017-04-09-15:25:00	rssserver-63g53	2.0	2.2089728E7	0.04600000008940697	20.0	0.0	221.0	0.0	269.0	
2017-04-09-15:24:00	rssserver-63g53	1.0	2.2089728E7	0.0729999989271164	20.0	0.0	163.0	0.0	217.0	
2017-04-09-15:24:00	rssserver-63g53	1.0	2.2089728E7	0.0729999989271164	20.0	0.0	163.0	0.0	217.0	
2017-04-09-15:23:00	rssserver-63g53	1.0	2.2089728E7	0.04450000077486038	10.0	0.0	123.0	0.0	175.0	
2017-04-09-15:23:00	rssserver-63g53	1.0	2.2089728E7	0.04450000077486038	10.0	0.0	123.0	0.0	175.0	
2017-04-09-15:22:00	rssserver-63g53	1.0	2.2089728E7	0.04724999889731407	10.0	0.0	84.0	0.0	132.0	
2017-04-09-15:22:00	rssserver-63g53	1.0	2.2089728E7	0.04724999889731407	10.0	0.0	84.0	0.0	132.0	
2017-04-09-15:21:00	rssserver-63g53	0.0	2.2089728E7	0.048500001430511475	10.0	0.0	60.0	0.0	103.0	
2017-04-09-15:21:00	rssserver-63g53	0.0	2.2089728E7	0.048500001430511475	10.0	0.0	60.0	0.0	103.0	
2017-04-09-15:20:00	rssserver-63g53	0.0	2.2085632E7	0.0442500002682209	5.0	0.0	43.0	0.0	78.0	
2017-04-09-15:20:00	rssserver-63g53	0.0	2.2085632E7	0.0442500002682209	5.0	0.0	43.0	0.0	78.0	
2017-04-09-15:19:00	rssserver-63g53	0.0	2.2085632E7	0.04924999922513962	5.0	0.0	27.0	0.0	52.0	
2017-04-09-15:19:00	rssserver-63g53	0.0	2.2085632E7	0.04924999922513962	5.0	0.0	27.0	0.0	52.0	
2017-04-09-15:18:00	rssserver-63g53	0.0	2.207744E7	0.04650000110268593	5.0	0.0	17.0	0.0	34.0	
2017-04-09-15:18:00	rssserver-63g53	0.0	2.207744E7	0.04650000110268593	5.0	0.0	17.0	0.0	34.0	
2017-04-09-15:17:00	rssserver-63g53	0.0	2.207744E7	0.0494999997317791	3.0	0.0	9.0	0.0	34.0	
2017-04-09-15:17:00	rssserver-63g53	0.0	2.207744E7	0.0494999997317791	3.0	0.0	9.0	0.0	34.0	
2017-04-09-15:16:00	rssserver-63g53	0.0	2.2073344E7	0.04475000128149986	3.0	0.0	9.0	0.0	18.0	
2017-04-09-15:16:00	rssserver-63g53	0.0	2.2073344E7	0.04475000128149986	3.0	0.0	9.0	0.0	18.0	
2017-04-09-15:15:00	rssserver-63g53	0.0	2.2069248E7	0.05525000020861626	3.0	null	null	null	null	
2017-04-09-15:15:00	rssserver-63g53	0.0	2.2069248E7	0.05525000020861626	3.0	null	null	null	null	
2017-04-09-15:14:00	rssserver-63g53	0.0	null	null	0.0	null	null	null	null	
2017-04-09-15:14:00	rssserver-63g53	0.0	null	null	0.0	null	null	null	null	
