('profile: ', [(0, 3), (36, 3), (101, 3), (145, 3), (199, 3), (228, 3), (280, 3), (322, 3), (262, 3), (296, 3), (357, 3), (376, 3), (438, 3), (480, 3), (533, 3), (600, 3)])
('2017-05-14 08:47:11', 1494751631, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 08:50:11', 1494751811, 'Users=', 36, 'Duration=', 3, 'min')
('2017-05-14 08:53:11', 1494751991, 'Users=', 101, 'Duration=', 3, 'min')
('2017-05-14 08:56:12', 1494752172, 'Users=', 145, 'Duration=', 3, 'min')
('2017-05-14 08:59:12', 1494752352, 'Users=', 199, 'Duration=', 3, 'min')
('2017-05-14 09:02:12', 1494752532, 'Users=', 228, 'Duration=', 3, 'min')
('2017-05-14 09:05:12', 1494752712, 'Users=', 280, 'Duration=', 3, 'min')
('2017-05-14 09:08:12', 1494752892, 'Users=', 322, 'Duration=', 3, 'min')
('2017-05-14 09:11:12', 1494753072, 'Users=', 262, 'Duration=', 3, 'min')
('2017-05-14 09:14:12', 1494753252, 'Users=', 296, 'Duration=', 3, 'min')
('2017-05-14 09:17:12', 1494753432, 'Users=', 357, 'Duration=', 3, 'min')
('2017-05-14 09:20:12', 1494753612, 'Users=', 376, 'Duration=', 3, 'min')
('2017-05-14 09:23:12', 1494753792, 'Users=', 438, 'Duration=', 3, 'min')
('2017-05-14 09:26:13', 1494753973, 'Users=', 480, 'Duration=', 3, 'min')
('2017-05-14 09:29:13', 1494754153, 'Users=', 533, 'Duration=', 3, 'min')
('2017-05-14 09:32:13', 1494754333, 'Users=', 600, 'Duration=', 3, 'min')
