cpuusage_edge1
null
1.0
1.0
0.0
0.0
20.0
29.0
29.0
45.0
53.0
52.0
67.0
73.0
78.0
75.0
80.0
82.0
95.0
106.0
105.0
121.0
129.0
138.0
151.0
158.0
163.0
170.0
170.0
164.0
177.0
187.0
186.0
188.0
197.0
199.0
202.0
198.0
201.0
194.0
196.0
201.0
201.0
192.0
196.0
195.0
197.0
201.0
194.0
