_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count25	status_200_count4	status_500_count25	status_500_count4	status_0_count25	status_0_count4	status_other_count25	status_other_count4	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Tue Jun 06 15:06:00 UTC 2017	104.0	1.049829376E9	2124423.25	7.0	2.7062272E7	28055.107421875	26.0	1.05476096E9	5519.234375	12.0	25.0	9.03397376E8	7.27871488E8	252414.1875	553515.5	0.08500000089406967	0.061500001698732376	0.07450000196695328	0.9832500219345093	0.7972325086593628	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	322.0	319.0	322.0	320.0	321.0	320.0	321.0	319.0	320.0	322.0	321.0	
Tue Jun 06 15:05:00 UTC 2017	97.0	1.049735168E9	2124423.25	7.0	2.705408E7	32496.107421875	25.0	1.054785536E9	5519.234375	12.0	26.0	9.06027008E8	7.34695424E8	252414.1875	553515.5	0.0742499977350235	0.060499999672174454	0.07175000011920929	0.9825000166893005	0.7971537113189697	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	318.0	322.0	321.0	320.0	322.0	320.0	320.0	319.0	319.0	322.0	318.0	
Tue Jun 06 15:04:00 UTC 2017	94.0	1.049481216E9	2252712.25	8.0	2.705408E7	32496.107421875	26.0	1.054654464E9	5519.234375	13.0	27.0	9.16680704E8	7.39938304E8	252414.1875	553515.5	0.07874999940395355	0.06350000202655792	0.0689999982714653	0.9822499752044678	0.7993989586830139	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	322.0	317.0	318.0	317.0	321.0	323.0	319.0	322.0	321.0	318.0	321.0	
Tue Jun 06 15:03:00 UTC 2017	103.0	1.049260032E9	2220315.25	8.0	2.7045888E7	31639.4375	30.0	1.054621696E9	5519.234375	13.0	27.0	9.20236032E8	7.4835968E8	252414.1875	553515.5	0.0702499970793724	0.06324999779462814	0.07774999737739563	0.9825000166893005	0.7968714237213135	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	319.0	319.0	321.0	324.0	318.0	319.0	321.0	320.0	318.0	322.0	320.0	
Tue Jun 06 15:02:00 UTC 2017	99.0	1.049284608E9	2083110.5	8.0	2.7045888E7	30757.044921875	25.0	1.054306304E9	5519.234375	12.0	25.0	9.30234368E8	7.57805056E8	252414.1875	553515.5	0.07400000095367432	0.05925000086426735	0.07275000214576721	0.9827499985694885	0.797771692276001	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	325.0	321.0	320.0	322.0	323.0	326.0	320.0	321.0	319.0	323.0	
Tue Jun 06 15:01:00 UTC 2017	100.0	1.050177536E9	2083110.5	8.0	2.7021312E7	32399.638671875	24.0	1.054326784E9	5519.234375	13.0	25.0	9.33388288E8	7.68282624E8	304689.15625	630904.6875	0.10949999839067459	0.0689999982714653	0.07175000011920929	0.9827499985694885	0.7967725992202759	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	323.0	323.0	321.0	319.0	320.0	320.0	318.0	319.0	323.0	319.0	321.0	
Tue Jun 06 15:00:00 UTC 2017	92.0	1.050243072E9	2083110.5	8.0	2.6226688E7	32399.638671875	26.0	1.054314496E9	5833.42236328125	14.0	25.0	9.44443392E8	7.76855552E8	304689.15625	630904.6875	0.07400000095367432	0.05874999985098839	0.0754999965429306	0.9825000166893005	0.7966747283935547	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	320.0	316.0	319.0	321.0	319.0	322.0	322.0	319.0	323.0	319.0	
Tue Jun 06 14:59:00 UTC 2017	102.0	1.050177536E9	2083110.5	8.0	2.70336E7	29600.791015625	25.0	1.054191616E9	5583.22705078125	14.0	24.0	9.44443392E8	7.87480576E8	304689.15625	630904.6875	0.0729999989271164	0.07000000029802322	0.0702499970793724	0.9832500219345093	0.7988362908363342	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	318.0	319.0	321.0	326.0	324.0	325.0	324.0	321.0	316.0	318.0	320.0	
Tue Jun 06 14:58:00 UTC 2017	96.0	1.049440256E9	2083110.5	8.0	2.7025408E7	33529.1171875	24.0	1.05414656E9	5583.22705078125	13.0	22.0	9.49170176E8	7.99440896E8	304689.15625	630904.6875	0.08150000125169754	0.05624999850988388	0.0702499970793724	0.9822499752044678	0.7963953614234924	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	323.0	319.0	321.0	320.0	322.0	321.0	321.0	322.0	319.0	317.0	322.0	
Tue Jun 06 14:57:00 UTC 2017	93.0	1.049194496E9	2083110.5	9.0	2.7136E7	33529.1171875	24.0	1.053904896E9	5582.08349609375	14.0	26.0	9.59168512E8	8.1047552E8	304689.15625	630904.6875	0.07175000011920929	0.06599999964237213	0.07100000232458115	0.9817500114440918	0.7984615564346313	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	316.0	320.0	321.0	319.0	319.0	315.0	320.0	317.0	321.0	320.0	317.0	
