_DATE;container_name;cpu_usage_total;instance;machine;value;
2017-52-03 05:52:11.009;pensive_wozniak;8.91002925E8;null;cadvisor;8.91002925E8;
2017-52-03 05:52:13.647;pensive_wozniak;8.91525061E8;null;cadvisor;8.91525061E8;
2017-52-03 05:52:14.638;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:14.905;pensive_wozniak;8.92054365E8;null;cadvisor;8.92054365E8;
2017-52-03 05:52:15.707;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:15.957;pensive_wozniak;8.92244245E8;null;cadvisor;8.92244245E8;
2017-52-03 05:52:17.752;pensive_wozniak;8.93123812E8;null;cadvisor;8.93123812E8;
2017-52-03 05:52:18.566;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:19.492;pensive_wozniak;8.94007534E8;null;cadvisor;8.94007534E8;
2017-52-03 05:52:20.470;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:21.008;pensive_wozniak;8.94481784E8;null;cadvisor;8.94481784E8;
2017-52-03 05:52:21.779;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:22.077;pensive_wozniak;8.95395206E8;null;cadvisor;8.95395206E8;
2017-52-03 05:52:23.173;pensive_wozniak;8.95963057E8;null;cadvisor;8.95963057E8;
2017-52-03 05:52:23.643;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:24.423;pensive_wozniak;8.96410164E8;null;cadvisor;8.96410164E8;
2017-52-03 05:52:25.531;pensive_wozniak;8.96722265E8;null;cadvisor;8.96722265E8;
2017-52-03 05:52:25.688;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:26.765;pensive_wozniak;8.97229648E8;null;cadvisor;8.97229648E8;
2017-52-03 05:52:28.251;pensive_wozniak;8.97768171E8;null;cadvisor;8.97768171E8;
2017-52-03 05:52:29.773;pensive_wozniak;8.98084811E8;null;cadvisor;8.98084811E8;
2017-52-03 05:52:31.119;pensive_wozniak;8.98551234E8;null;cadvisor;8.98551234E8;
2017-52-03 05:52:31.349;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:32.360;pensive_wozniak;8.99224788E8;null;cadvisor;8.99224788E8;
2017-52-03 05:52:33.047;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:33.539;pensive_wozniak;8.99847393E8;null;cadvisor;8.99847393E8;
2017-52-03 05:52:34.084;pensive_wozniak;9.00074404E8;null;cadvisor;9.00074404E8;
2017-52-03 05:52:34.930;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:36.540;pensive_wozniak;9.01246891E8;null;cadvisor;9.01246891E8;
2017-52-03 05:52:37.755;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:38.291;pensive_wozniak;9.01739999E8;null;cadvisor;9.01739999E8;
2017-52-03 05:52:39.367;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:39.712;pensive_wozniak;9.02365881E8;null;cadvisor;9.02365881E8;
2017-52-03 05:52:40.859;pensive_wozniak;9.02623913E8;null;cadvisor;9.02623913E8;
2017-52-03 05:52:42.349;pensive_wozniak;9.03344201E8;null;cadvisor;9.03344201E8;
2017-52-03 05:52:43.307;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:44.348;pensive_wozniak;9.04016349E8;null;cadvisor;9.04016349E8;
2017-52-03 05:52:44.465;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:46.199;pensive_wozniak;9.04757489E8;null;cadvisor;9.04757489E8;
2017-52-03 05:52:47.011;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:47.518;pensive_wozniak;9.06078797E8;null;cadvisor;9.06078797E8;
2017-52-03 05:52:48.079;pensive_wozniak;9.06566732E8;null;cadvisor;9.06566732E8;
2017-52-03 05:52:49.111;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:50.109;pensive_wozniak;9.07276408E8;null;cadvisor;9.07276408E8;
2017-52-03 05:52:51.199;pensive_wozniak;9.07718965E8;null;cadvisor;9.07718965E8;
2017-52-03 05:52:51.528;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:52.640;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:52.834;pensive_wozniak;9.09388677E8;null;cadvisor;9.09388677E8;
2017-52-03 05:52:53.092;pensive_wozniak;9.0988061E8;null;cadvisor;9.0988061E8;
2017-52-03 05:52:55.743;pensive_wozniak;9.10303588E8;null;cadvisor;9.10303588E8;
2017-52-03 05:52:55.863;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-52-03 05:52:57.431;pensive_wozniak;9.11153263E8;null;cadvisor;9.11153263E8;
2017-52-03 05:52:58.978;pensive_wozniak;9.11524561E8;null;cadvisor;9.11524561E8;
2017-53-03 05:53:00.337;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-53-03 05:53:00.930;pensive_wozniak;9.11985594E8;null;cadvisor;9.11985594E8;
2017-53-03 05:53:01.652;pensive_wozniak;0.0;null;cadvisor;0.0;
2017-53-03 05:53:02.795;pensive_wozniak;9.13224958E8;null;cadvisor;9.13224958E8;
