_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,network_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Mon May 01 19:26:00 UTC 2017,992,1499570176,19898258,83,30879744,219370.65625,143,916660224,43516.875,181,182,1116053504,1136828416,4091294,,0.095499999821186,0.129749998450279,0.186000004410744,0.474249988794327,0.922429502010345,600,51948,52381,2600,2551,16,11,0,0,213024318,210448825,108520483,90531696,96724475,98529291,134952766,57422663,57422663,6310297,5263036
Mon May 01 19:25:00 UTC 2017,981,1499467776,20535584,84,29437952,223108.328125,146,916353024,44539.9921875,179,182,1115926528,1136824320,4091294,,0.115749999880791,0.126000002026558,0.184249997138977,0.483000010251999,0.924211919307709,600,50271,50637,2318,2303,14,9,0,0,215040922,218827090,114386256,114587958,102299375,144092424,141565795,57975382,57975382,6059983,6131286
Mon May 01 19:24:00 UTC 2017,987,1499340800,20535584,85,31330304,223108.328125,149,916090880,44574.67578125,180,182,1115922432,1136668672,4091294,,0.100500002503395,0.125,0.196750000119209,0.476749986410141,0.921953916549683,589,48538,48910,2072,2062,12,9,0,0,235007137,235114442,115052931,125700746,114894942,121898887,145863529,58382814,58382814,7562867,6186213
Mon May 01 19:23:00 UTC 2017,985,1499361280,20535584,85,30236672,223108.328125,146,915750912,44574.67578125,182,181,1115914240,1136668672,4091294,,0.091750003397465,0.130750000476837,0.202250003814697,0.470750004053116,0.92179149389267,589,46770,47116,1876,1872,6,5,0,0,201823233,205815461,94374252,93621991,87138440,90270420,126649500,55761608,55761608,5780130,6421662
Mon May 01 19:22:00 UTC 2017,989,1499312128,20535584,84,30265344,221636.890625,148,914829312,44574.67578125,181,184,1115910144,1136549888,4091294,,0.096749998629093,0.123250000178814,0.188500002026558,0.474500000476837,0.919546246528626,589,44992,45305,1676,1712,6,3,0,0,214456707,208729914,113721213,88449976,101703627,103173594,131672189,57010157,57010157,5877632,6551197
Mon May 01 19:21:00 UTC 2017,990,1499332608,20166976,84,31268864,221636.890625,142,915021824,44574.67578125,180,184,1115906048,1136119808,4114562.5,,0.094499997794628,0.127499997615814,0.182750001549721,0.481000006198883,0.919434189796448,537,43205,43484,1517,1544,5,3,0,0,204688943,203105598,100409888,98443333,82135455,89975386,127903423,55524642,55524642,5660821,5657198
Mon May 01 19:20:00 UTC 2017,991,1499308032,19909132,84,31334400,221334.484375,145,914116608,44574.67578125,183,180,1115897856,1136386048,4114562.5,,0.090750001370907,0.127000004053116,0.196250006556511,0.474999994039535,0.919196903705597,537,41479,41686,1311,1356,4,3,0,0,219902302,221026230,100252465,125865165,110098148,119679009,147278329,58537404,58537404,6529351,5652358
Mon May 01 19:19:00 UTC 2017,983,1499168768,19909132,83,30633984,220758.0625,145,913616896,45550.546875,182,181,1115889664,1135886336,4258707,,0.093000002205372,0.133249998092651,0.185499995946884,0.476500004529953,0.929268538951874,537,39711,39922,1116,1136,4,2,0,0,202011920,207960018,100859372,107802355,104036561,90053178,132029013,56366958,56366958,6274248,5541782
Mon May 01 19:18:00 UTC 2017,985,1499402240,19909132,84,29446144,220758.0625,149,913874944,45550.546875,184,178,1115869184,1136807936,4258707,,0.097999997437,0.124499998986721,0.192249998450279,0.47299998998642,0.929242610931396,531,37941,38142,937,957,4,1,0,0,202933029,205266899,86552919,98627124,89556165,97874982,129215964,56095588,56095588,5676750,6171671
Mon May 01 19:17:00 UTC 2017,985,1500057600,19909132,83,29347840,200798,142,913510400,44812.6640625,187,175,1115521024,1136640000,4258707,,0.095499999821186,0.128999993205071,0.190500006079674,0.48199999332428,0.928988695144653,531,36163,36334,777,791,3,1,0,0,198277151,201931141,89611317,97878021,90560038,92147974,123139203,54943488,54943488,6326037,5447557
Mon May 01 19:16:00 UTC 2017,981,1499918336,19909132,82,30425088,200798,149,913088512,39686.75390625,184,168,1115389952,1134800896,4258707,,0.093500003218651,0.128250002861023,0.197999998927116,0.463250011205673,0.928397119045258,531,34416,34528,594,646,2,1,0,0,204381135,209408833,109282398,93729230,102975248,95612368,132124318,56512824,56512824,6982500,5866270
Mon May 01 19:15:00 UTC 2017,969,1499295744,19607840,82,28487680,200798,146,912306176,39686.75390625,188,167,1115389952,1134714880,4064099.25,,0.11625000089407,0.129749998450279,0.184000000357628,0.466250002384186,0.928045868873596,483,32645,32779,473,511,2,0,0,0,196872097,195370238,87975518,82576463,95171080,79978138,120399477,54193616,54193616,5561997,4951341
Mon May 01 19:14:00 UTC 2017,973,1499357184,18981898,82,29659136,200798,150,912220160,39686.75390625,183,170,1115303936,1134043136,4064099.25,,0.106499999761581,0.123499996960163,0.184499993920326,0.468250006437302,0.927631914615631,483,30881,30997,383,414,1,0,0,0,190054681,183495377,77007019,85298292,88753188,71092686,114602340,52968315,52968315,4807094,5934478
Mon May 01 19:13:00 UTC 2017,968,1499467776,18981898,80,28389376,200798,147,911560704,39686.75390625,182,163,1115717632,1134571520,4095957.75,,0.089000001549721,0.123499996960163,0.192499995231628,0.458000004291534,0.927239537239075,483,29092,29215,290,308,0,0,0,0,190825962,188496108,73808716,71863934,63361194,78031618,117663582,52744615,52744615,5188715,5162080
Mon May 01 19:12:00 UTC 2017,945,1499336704,18981898,80,30228480,200798,149,911507456,39686.75390625,183,162,1115713536,1134714880,4095957.75,,0.100000001490116,0.127000004053116,0.180999994277954,0.454250007867813,0.928292453289032,466,27342,27462,202,233,0,0,0,0,191553987,183207362,73159680,62544198,92621047,74821523,113795774,50555041,50555041,4595515,4996595
Mon May 01 19:11:00 UTC 2017,946,1499291648,17858548,72,28422144,200798,154,910917632,39686.75390625,170,154,1115279360,1134858240,3711564,,0.096500001847744,0.129749998450279,0.186250001192093,0.430999994277954,0.926632344722748,466,25607,25742,125,130,0,0,0,0,175107171,178985556,80979018,68517948,74477136,61319794,112425763,50934756,50934756,4553784,5368054
Mon May 01 19:10:00 UTC 2017,899,1499205632,17858548,71,27811840,185103.453125,145,910815232,39686.75390625,162,150,1112666112,1134858240,3711564,,0.086499996483326,0.127749994397163,0.163499996066093,0.428000003099442,0.927935779094696,466,23833,23979,69,61,0,0,0,0,122826785,126741100,42684195,47519960,44483305,45118867,94658311,35679963,35679963,3486988,3567239
Mon May 01 19:09:00 UTC 2017,867,1500045312,17233638,67,29626368,185103.453125,143,910405632,38297.6171875,157,144,1112813568,1134948352,3593859.75,,0.097750000655651,0.123000003397465,0.191750004887581,0.406749993562698,0.926936686038971,406,22209,22373,47,37,0,0,0,0,108476145,108338601,33539050,30899143,35972659,35651292,88561186,22542818,22542818,2748430,2895928
Mon May 01 19:08:00 UTC 2017,831,1499398144,14413202,60,28090368,154171.40625,145,909586432,38297.6171875,143,135,1113939968,1135091712,3265829.25,,0.096249997615814,0.121500000357628,0.168750002980232,0.372249990701675,0.925609767436981,406,20624,20776,41,30,0,0,0,0,102558708,103965864,35881275,39564796,35753079,37960426,83573358,20164574,20164574,2975970,3032387
Mon May 01 19:07:00 UTC 2017,765,1499267072,14413202,57,26886144,154171.40625,131,909279232,32295.03515625,131,123,1112997888,1134415872,3023021.75,,0.087250001728535,0.112999998033047,0.153750002384186,0.356249988079071,0.925240874290466,406,19041,19182,36,28,0,0,0,0,87965296,80121116,20925843,19824686,23746507,25256775,65532869,13912486,13912486,2377818,2477440
Mon May 01 19:06:00 UTC 2017,716,1499402240,14413202,57,28897280,154171.40625,134,909152256,33594.30859375,129,125,1112989696,1134501888,3030775.25,,0.088249996304512,0.113250002264977,0.146750003099442,0.370000004768372,0.92509114742279,323,17718,17873,31,23,0,0,0,0,70091441,72395591,7326933,13871915,6658147,10699230,55678650,10903163,10903163,2113668,2265682
Mon May 01 19:05:00 UTC 2017,710,1499336704,15323410,58,28831744,129204.1015625,132,908943360,33594.30859375,131,130,1113071616,1134305280,3030775.25,,0.121749997138977,0.11625000089407,0.162249997258186,0.364499986171722,0.925668954849243,323,16448,16592,31,23,0,0,0,0,80111947,84157057,18631474,14905577,11400764,17097891,65103845,12479311,12479311,2326030,2087626
Mon May 01 19:04:00 UTC 2017,732,1499332608,15323410,59,26931200,129204.1015625,134,908251136,33594.30859375,132,135,1113161728,1134387200,3066855,,0.090999998152256,0.121250003576279,0.153750002384186,0.366499990224838,0.92457103729248,323,15177,15324,31,23,0,0,0,0,76371011,65825815,14132993,11321517,9096561,13633082,55373528,11166127,11166127,2668488,2393239
Mon May 01 19:03:00 UTC 2017,744,1499398144,15032842,57,27279360,129204.1015625,134,908029952,34100.26171875,130,132,1113247744,1135366144,2645501.5,,0.094499997794628,0.118749998509884,0.151500001549721,0.369500011205673,0.924468815326691,339,13833,13989,31,23,0,0,0,0,70609557,63335367,11875148,11607843,12413862,7631666,54196358,11046666,11046666,2043032,1966468
Mon May 01 19:02:00 UTC 2017,728,1499615232,13325589,50,26157056,129204.1015625,122,907714560,27334.30078125,120,120,1113329664,1135448064,2645501.5,,0.090499997138977,0.114249996840954,0.155000001192093,0.337749987840652,0.925243318080902,339,12497,12639,31,23,0,0,0,0,75898092,70590240,13424025,14031848,17332663,11562766,58229138,11424198,11424198,2186246,2222727
Mon May 01 19:01:00 UTC 2017,666,1499619328,11370266,47,25792512,129204.1015625,117,907866112,27334.30078125,105,106,1113329664,1134612480,2449909,,0.090250000357628,0.104000002145767,0.135749995708466,0.319999992847443,0.923680067062378,339,11165,11299,31,23,0,0,0,0,62366396,62628636,9999031,12929319,8132904,15456443,48150685,10271482,10271482,2198679,2282653
Mon May 01 19:00:00 UTC 2017,595,1499205632,11370266,44,26546176,114926.9609375,106,907530240,21591.69140625,99,104,1113477120,1134698496,636374.875,,0.082249999046326,0.110250003635883,0.295500010251999,0.294250011444092,0.924091041088104,267,10063,10206,26,14,0,0,0,0,49338513,45818045,4959986,4479509,4691848,4195153,36367869,7868277,7868277,1626330,1697022
Mon May 01 18:59:00 UTC 2017,554,1500270592,9421573,41,25436160,114926.9609375,112,906833920,21591.69140625,99,96,1113534464,1134780416,636374.875,,0.090999998152256,0.106250002980232,0.132499992847443,0.28150001168251,0.92313551902771,267,9039,9145,1,3,0,0,0,0,53948455,61534250,15802061,15969430,8622446,20203280,39266600,8384485,8384485,2563413,2725178
Mon May 01 18:58:00 UTC 2017,523,1500176384,9421573,37,24756224,98093.6953125,97,907026432,21591.69140625,85,84,1113681920,1134923776,636374.875,,0.084250003099442,0.094250001013279,0.121250003576279,0.263999998569488,0.922873258590698,267,7996,8086,1,3,0,0,0,0,40177242,42528014,4424959,4920291,4921133,3810357,31934107,7205638,7205638,1930944,1559659
Mon May 01 18:57:00 UTC 2017,468,1500209152,7539317.5,36,26546176,98093.6953125,96,906461184,21591.69140625,80,83,1113829376,1135071232,636374.875,,0.081749998033047,0.098750002682209,0.124750003218651,0.259249985218048,0.924390971660614,216,7120,7194,0,0,0,0,0,0,41351861,34299467,5102974,4203941,4284045,3956688,28886234,6224790,6224790,1746391,1660062
Mon May 01 18:56:00 UTC 2017,457,1500274688,7539317.5,31,25841664,54753.72265625,92,906682368,21591.69140625,70,73,1113919488,1135214592,636374.875,,0.083999998867512,0.096500001847744,0.114500001072884,0.230499997735023,0.922112464904785,216,6262,6334,0,0,0,0,0,0,49125996,35239335,7043828,3690000,6646896,4224949,30766436,6931933,6931933,1706472,1856534
Mon May 01 18:55:00 UTC 2017,401,1499267072,7539317.5,29,24702976,54753.72265625,80,906399744,17864.18359375,65,71,1114591232,1135300608,636374.875,,0.094750002026558,0.087750002741814,0.108249999582767,0.222000002861023,0.921603620052338,216,5406,5489,0,0,0,0,0,0,40921441,35628785,3756561,3804626,4928303,4403069,28911562,6347925,6347925,1818119,1670555
Mon May 01 18:54:00 UTC 2017,371,1499910144,5878462.5,29,26517504,54753.72265625,83,905785344,17864.18359375,66,68,1114673152,1135448064,636374.875,,0.083250001072884,0.092500001192093,0.101750001311302,0.213249996304512,0.923011720180512,169,4721,4789,0,0,0,0,0,0,41723280,35194500,4242455,13275937,5299098,5964847,29247091,5984294,5984294,1509938,1781700
