('profile: ', [(0, 3), (45, 3), (41, 3), (107, 3), (144, 3), (181, 3), (241, 3), (283, 3), (286, 3), (341, 3), (367, 3), (412, 3), (484, 3), (531, 3), (572, 3), (600, 3)])
('2017-05-13 14:36:17', 1494686177, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 14:39:17', 1494686357, 'Users=', 45, 'Duration=', 3, 'min')
('2017-05-13 14:42:17', 1494686537, 'Users=', 41, 'Duration=', 3, 'min')
('2017-05-13 14:45:17', 1494686717, 'Users=', 107, 'Duration=', 3, 'min')
('2017-05-13 14:48:17', 1494686897, 'Users=', 144, 'Duration=', 3, 'min')
('2017-05-13 14:51:17', 1494687077, 'Users=', 181, 'Duration=', 3, 'min')
('2017-05-13 14:54:17', 1494687257, 'Users=', 241, 'Duration=', 3, 'min')
('2017-05-13 14:57:18', 1494687438, 'Users=', 283, 'Duration=', 3, 'min')
('2017-05-13 15:00:18', 1494687618, 'Users=', 286, 'Duration=', 3, 'min')
('2017-05-13 15:03:18', 1494687798, 'Users=', 341, 'Duration=', 3, 'min')
('2017-05-13 15:06:18', 1494687978, 'Users=', 367, 'Duration=', 3, 'min')
('2017-05-13 15:09:18', 1494688158, 'Users=', 412, 'Duration=', 3, 'min')
('2017-05-13 15:12:18', 1494688338, 'Users=', 484, 'Duration=', 3, 'min')
('2017-05-13 15:15:18', 1494688518, 'Users=', 531, 'Duration=', 3, 'min')
('2017-05-13 15:18:18', 1494688698, 'Users=', 572, 'Duration=', 3, 'min')
('2017-05-13 15:21:18', 1494688878, 'Users=', 600, 'Duration=', 3, 'min')
