_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-14-14:18:00	rssserver-63g53	9.0	2.3760896E7	0.13050000369548798	0.0	4174.0	4313838.0	10600.0	58829.0	
2017-04-14-14:17:00	rssserver-63g53	9.0	2.3760896E7	0.12524999678134918	0.0	4174.0	4313202.0	10600.0	58829.0	
2017-04-14-14:17:00	rssserver-63g53	9.0	2.3760896E7	0.12524999678134918	0.0	4174.0	4313202.0	10600.0	58829.0	
2017-04-14-14:16:00	rssserver-63g53	9.0	2.37568E7	0.12999999523162842	0.0	4174.0	4312566.0	10600.0	58829.0	
2017-04-14-14:16:00	rssserver-63g53	9.0	2.37568E7	0.12999999523162842	0.0	4174.0	4312566.0	10600.0	58829.0	
2017-04-14-14:13:00	rssserver-63g53	9.0	2.3052288E7	0.12725000083446503	0.0	4174.0	4310666.0	10600.0	58829.0	
2017-04-14-14:13:00	rssserver-63g53	9.0	2.3052288E7	0.12725000083446503	0.0	4174.0	4310666.0	10600.0	58829.0	
2017-04-14-14:12:00	rssserver-63g53	0.0	0.0	0.13050000369548798	0.0	4174.0	4310036.0	10600.0	58829.0	
2017-04-14-14:11:00	rssserver-63g53	0.0	2.3044096E7	0.12600000202655792	0.0	4174.0	4309403.0	10600.0	58829.0	
2017-04-14-14:10:00	rssserver-63g53	9.0	2.3044096E7	0.1354999989271164	0.0	4174.0	4308771.0	10600.0	58829.0	
2017-04-14-14:10:00	rssserver-63g53	9.0	2.3044096E7	0.1354999989271164	0.0	4174.0	4308771.0	10600.0	58829.0	
2017-04-14-14:09:00	rssserver-63g53	9.0	2.3044096E7	0.12575000524520874	0.0	4174.0	4308138.0	10600.0	58829.0	
2017-04-14-14:09:00	rssserver-63g53	9.0	2.3044096E7	0.12575000524520874	0.0	4174.0	4308138.0	10600.0	58829.0	
2017-04-14-14:08:00	rssserver-63g53	9.0	2.3044096E7	0.12174999713897705	0.0	4174.0	4307503.0	10600.0	58829.0	
2017-04-14-14:08:00	rssserver-63g53	9.0	2.3044096E7	0.12174999713897705	0.0	4174.0	4307503.0	10600.0	58829.0	
2017-04-14-14:07:00	rssserver-63g53	9.0	2.373632E7	0.13075000047683716	0.0	4174.0	4306859.0	10600.0	58829.0	
2017-04-14-14:07:00	rssserver-63g53	9.0	2.373632E7	0.13075000047683716	0.0	4174.0	4306859.0	10600.0	58829.0	
2017-04-14-14:06:00	rssserver-63g53	9.0	2.373632E7	0.1262499988079071	0.0	4174.0	4306237.0	10600.0	58829.0	
2017-04-14-14:06:00	rssserver-63g53	9.0	2.373632E7	0.1262499988079071	0.0	4174.0	4306237.0	10600.0	58829.0	
2017-04-14-14:05:00	rssserver-63g53	9.0	2.3732224E7	0.12700000405311584	0.0	4174.0	4305591.0	10600.0	58829.0	
2017-04-14-14:05:00	rssserver-63g53	9.0	2.3732224E7	0.12700000405311584	0.0	4174.0	4305591.0	10600.0	58829.0	
2017-04-14-14:04:00	rssserver-63g53	9.0	2.3052288E7	0.12524999678134918	0.0	4174.0	4304966.0	10600.0	58829.0	
2017-04-14-14:04:00	rssserver-63g53	9.0	2.3052288E7	0.12524999678134918	0.0	4174.0	4304966.0	10600.0	58829.0	
2017-04-14-14:03:00	rssserver-63g53	8.0	2.3052288E7	0.12825000286102295	0.0	4174.0	4304332.0	10600.0	58829.0	
2017-04-14-14:03:00	rssserver-63g53	8.0	2.3052288E7	0.12825000286102295	0.0	4174.0	4304332.0	10600.0	58829.0	
