('profile: ', [(0, 3), (0, 3), (22, 3), (97, 3), (86, 3), (126, 3), (186, 3), (241, 3), (198, 3), (244, 3), (313, 3), (396, 3), (460, 3), (513, 3), (532, 3), (600, 3)])
('2017-05-14 12:55:05', 1494766505, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 12:58:05', 1494766685, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 13:01:05', 1494766865, 'Users=', 22, 'Duration=', 3, 'min')
('2017-05-14 13:04:05', 1494767045, 'Users=', 97, 'Duration=', 3, 'min')
('2017-05-14 13:07:05', 1494767225, 'Users=', 86, 'Duration=', 3, 'min')
('2017-05-14 13:10:06', 1494767406, 'Users=', 126, 'Duration=', 3, 'min')
('2017-05-14 13:13:06', 1494767586, 'Users=', 186, 'Duration=', 3, 'min')
('2017-05-14 13:16:06', 1494767766, 'Users=', 241, 'Duration=', 3, 'min')
('2017-05-14 13:19:06', 1494767946, 'Users=', 198, 'Duration=', 3, 'min')
('2017-05-14 13:22:06', 1494768126, 'Users=', 244, 'Duration=', 3, 'min')
('2017-05-14 13:25:06', 1494768306, 'Users=', 313, 'Duration=', 3, 'min')
('2017-05-14 13:28:06', 1494768486, 'Users=', 396, 'Duration=', 3, 'min')
('2017-05-14 13:31:06', 1494768666, 'Users=', 460, 'Duration=', 3, 'min')
('2017-05-14 13:34:07', 1494768847, 'Users=', 513, 'Duration=', 3, 'min')
('2017-05-14 13:37:07', 1494769027, 'Users=', 532, 'Duration=', 3, 'min')
('2017-05-14 13:40:07', 1494769207, 'Users=', 600, 'Duration=', 3, 'min')
