('profile: ', [(0, 3), (48, 3), (120, 3), (182, 3), (209, 3), (224, 3), (250, 3), (300, 3), (329, 3), (337, 3), (404, 3), (411, 3), (483, 3), (500, 3), (567, 3), (600, 3)])
('2017-05-13 12:07:33', 1494677253, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 12:10:33', 1494677433, 'Users=', 48, 'Duration=', 3, 'min')
('2017-05-13 12:13:33', 1494677613, 'Users=', 120, 'Duration=', 3, 'min')
('2017-05-13 12:16:33', 1494677793, 'Users=', 182, 'Duration=', 3, 'min')
('2017-05-13 12:19:33', 1494677973, 'Users=', 209, 'Duration=', 3, 'min')
('2017-05-13 12:22:33', 1494678153, 'Users=', 224, 'Duration=', 3, 'min')
('2017-05-13 12:25:33', 1494678333, 'Users=', 250, 'Duration=', 3, 'min')
('2017-05-13 12:28:33', 1494678513, 'Users=', 300, 'Duration=', 3, 'min')
('2017-05-13 12:31:33', 1494678693, 'Users=', 329, 'Duration=', 3, 'min')
('2017-05-13 12:34:34', 1494678874, 'Users=', 337, 'Duration=', 3, 'min')
('2017-05-13 12:37:34', 1494679054, 'Users=', 404, 'Duration=', 3, 'min')
('2017-05-13 12:40:34', 1494679234, 'Users=', 411, 'Duration=', 3, 'min')
('2017-05-13 12:43:34', 1494679414, 'Users=', 483, 'Duration=', 3, 'min')
('2017-05-13 12:46:34', 1494679594, 'Users=', 500, 'Duration=', 3, 'min')
('2017-05-13 12:49:34', 1494679774, 'Users=', 567, 'Duration=', 3, 'min')
('2017-05-13 12:52:34', 1494679954, 'Users=', 600, 'Duration=', 3, 'min')
