('profile: ', [(0, 3), (54, 3), (97, 3), (156, 3), (212, 3), (196, 3), (268, 3), (327, 3), (281, 3), (285, 3), (364, 3), (390, 3), (392, 3), (454, 3), (531, 3), (600, 3)])
('2017-05-13 12:57:08', 1494680228, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 13:00:08', 1494680408, 'Users=', 54, 'Duration=', 3, 'min')
('2017-05-13 13:03:08', 1494680588, 'Users=', 97, 'Duration=', 3, 'min')
('2017-05-13 13:06:08', 1494680768, 'Users=', 156, 'Duration=', 3, 'min')
('2017-05-13 13:09:08', 1494680948, 'Users=', 212, 'Duration=', 3, 'min')
('2017-05-13 13:12:08', 1494681128, 'Users=', 196, 'Duration=', 3, 'min')
('2017-05-13 13:15:09', 1494681309, 'Users=', 268, 'Duration=', 3, 'min')
('2017-05-13 13:18:09', 1494681489, 'Users=', 327, 'Duration=', 3, 'min')
('2017-05-13 13:21:09', 1494681669, 'Users=', 281, 'Duration=', 3, 'min')
('2017-05-13 13:24:09', 1494681849, 'Users=', 285, 'Duration=', 3, 'min')
('2017-05-13 13:27:09', 1494682029, 'Users=', 364, 'Duration=', 3, 'min')
('2017-05-13 13:30:09', 1494682209, 'Users=', 390, 'Duration=', 3, 'min')
('2017-05-13 13:33:09', 1494682389, 'Users=', 392, 'Duration=', 3, 'min')
('2017-05-13 13:36:09', 1494682569, 'Users=', 454, 'Duration=', 3, 'min')
('2017-05-13 13:39:09', 1494682749, 'Users=', 531, 'Duration=', 3, 'min')
('2017-05-13 13:42:09', 1494682929, 'Users=', 600, 'Duration=', 3, 'min')
