('profile: ', [(0, 3), (25, 3), (77, 3), (96, 3), (130, 3), (159, 3), (235, 3), (278, 3), (329, 3), (385, 3), (398, 3), (452, 3), (511, 3), (531, 3), (535, 3), (600, 3)])
('2017-05-14 20:21:24', 1494793284, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 20:24:24', 1494793464, 'Users=', 25, 'Duration=', 3, 'min')
('2017-05-14 20:27:24', 1494793644, 'Users=', 77, 'Duration=', 3, 'min')
('2017-05-14 20:30:24', 1494793824, 'Users=', 96, 'Duration=', 3, 'min')
('2017-05-14 20:33:24', 1494794004, 'Users=', 130, 'Duration=', 3, 'min')
('2017-05-14 20:36:24', 1494794184, 'Users=', 159, 'Duration=', 3, 'min')
('2017-05-14 20:39:24', 1494794364, 'Users=', 235, 'Duration=', 3, 'min')
('2017-05-14 20:42:25', 1494794545, 'Users=', 278, 'Duration=', 3, 'min')
('2017-05-14 20:45:25', 1494794725, 'Users=', 329, 'Duration=', 3, 'min')
('2017-05-14 20:48:25', 1494794905, 'Users=', 385, 'Duration=', 3, 'min')
('2017-05-14 20:51:25', 1494795085, 'Users=', 398, 'Duration=', 3, 'min')
('2017-05-14 20:54:25', 1494795265, 'Users=', 452, 'Duration=', 3, 'min')
('2017-05-14 20:57:25', 1494795445, 'Users=', 511, 'Duration=', 3, 'min')
('2017-05-14 21:00:25', 1494795625, 'Users=', 531, 'Duration=', 3, 'min')
('2017-05-14 21:03:25', 1494795805, 'Users=', 535, 'Duration=', 3, 'min')
('2017-05-14 21:06:25', 1494795985, 'Users=', 600, 'Duration=', 3, 'min')
