('profile: ', [(0, 3), (68, 3), (127, 3), (171, 3), (239, 3), (267, 3), (299, 3), (329, 3), (312, 3), (368, 3), (388, 3), (436, 3), (512, 3), (529, 3), (531, 3), (600, 3)])
('2017-05-15 15:21:50', 1494861710, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-15 15:24:50', 1494861890, 'Users=', 68, 'Duration=', 3, 'min')
('2017-05-15 15:27:50', 1494862070, 'Users=', 127, 'Duration=', 3, 'min')
('2017-05-15 15:30:50', 1494862250, 'Users=', 171, 'Duration=', 3, 'min')
('2017-05-15 15:33:50', 1494862430, 'Users=', 239, 'Duration=', 3, 'min')
('2017-05-15 15:36:50', 1494862610, 'Users=', 267, 'Duration=', 3, 'min')
('2017-05-15 15:39:50', 1494862790, 'Users=', 299, 'Duration=', 3, 'min')
('2017-05-15 15:42:50', 1494862970, 'Users=', 329, 'Duration=', 3, 'min')
('2017-05-15 15:45:50', 1494863150, 'Users=', 312, 'Duration=', 3, 'min')
('2017-05-15 15:48:50', 1494863330, 'Users=', 368, 'Duration=', 3, 'min')
('2017-05-15 15:51:51', 1494863511, 'Users=', 388, 'Duration=', 3, 'min')
('2017-05-15 15:54:51', 1494863691, 'Users=', 436, 'Duration=', 3, 'min')
('2017-05-15 15:57:51', 1494863871, 'Users=', 512, 'Duration=', 3, 'min')
('2017-05-15 16:00:51', 1494864051, 'Users=', 529, 'Duration=', 3, 'min')
('2017-05-15 16:03:51', 1494864231, 'Users=', 531, 'Duration=', 3, 'min')
('2017-05-15 16:06:51', 1494864411, 'Users=', 600, 'Duration=', 3, 'min')
