('profile: ', [(0, 3), (18, 3), (15, 3), (17, 3), (94, 3), (105, 3), (168, 3), (232, 3), (254, 3), (300, 3), (376, 3), (396, 3), (453, 3), (533, 3), (543, 3), (600, 3)])
('2017-05-14 09:36:46', 1494754606, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 09:39:46', 1494754786, 'Users=', 18, 'Duration=', 3, 'min')
('2017-05-14 09:42:46', 1494754966, 'Users=', 15, 'Duration=', 3, 'min')
('2017-05-14 09:45:46', 1494755146, 'Users=', 17, 'Duration=', 3, 'min')
('2017-05-14 09:48:46', 1494755326, 'Users=', 94, 'Duration=', 3, 'min')
('2017-05-14 09:51:46', 1494755506, 'Users=', 105, 'Duration=', 3, 'min')
('2017-05-14 09:54:46', 1494755686, 'Users=', 168, 'Duration=', 3, 'min')
('2017-05-14 09:57:46', 1494755866, 'Users=', 232, 'Duration=', 3, 'min')
('2017-05-14 10:00:47', 1494756047, 'Users=', 254, 'Duration=', 3, 'min')
('2017-05-14 10:03:47', 1494756227, 'Users=', 300, 'Duration=', 3, 'min')
('2017-05-14 10:06:47', 1494756407, 'Users=', 376, 'Duration=', 3, 'min')
('2017-05-14 10:09:47', 1494756587, 'Users=', 396, 'Duration=', 3, 'min')
('2017-05-14 10:12:47', 1494756767, 'Users=', 453, 'Duration=', 3, 'min')
('2017-05-14 10:15:47', 1494756947, 'Users=', 533, 'Duration=', 3, 'min')
('2017-05-14 10:18:47', 1494757127, 'Users=', 543, 'Duration=', 3, 'min')
('2017-05-14 10:21:47', 1494757307, 'Users=', 600, 'Duration=', 3, 'min')
