_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sun May 14 11:17:00 UTC 2017	1.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 11:18:00 UTC 2017	1.0	1.347084288E9	null	0.0	1.943552E7	null	4.0	8.0234496E8	451.5308532714844	0.0	0.0	1.174134784E9	1.189777408E9	31.493059158325195	0.07874999940395355	0.060750000178813934	0.0560000017285347	0.07175000011920929	0.8112602829933167	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 11:19:00 UTC 2017	1.0	1.347084288E9	25812.3359375	0.0	2.0262912E7	null	3.0	8.0234496E8	455.4908142089844	0.0	1.0	1.174134784E9	1.18960128E9	31.493059158325195	0.06624999642372131	0.07150000333786011	0.05299999937415123	0.06024999916553497	0.8092018961906433	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 11:20:00 UTC 2017	28.0	1.347084288E9	22033.80859375	0.0	1.943552E7	null	4.0	8.02435072E8	317.986572265625	1.0	0.0	1.173958656E9	1.189511168E9	31.493059158325195	0.0820000022649765	0.06449999660253525	0.050999999046325684	0.0637499988079071	0.8092029094696045	41.0	null	null	null	null	null	null	null	null	7.0038875E7	8.3769551E7	7480921.0	7.4851335E7	2.3469558E7	1.2962509E7	4.7206665E7	7234720.0	7234720.0	1718089.0	1566660.0	
Sun May 14 11:21:00 UTC 2017	80.0	1.34639616E9	282600.4375	1.0	1.9439616E7	5488.69970703125	12.0	8.019968E8	317.986572265625	5.0	8.0	1.173958656E9	1.18962176E9	31.493059158325195	0.07575000077486038	0.07124999910593033	0.0572500005364418	0.0767500028014183	0.8091104030609131	41.0	174.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6538474E7	8.2741845E7	4341534.0	5995089.0	2.0243868E7	2.5188797E7	7.1738198E7	6728958.0	6728958.0	1582382.0	1803537.0	
Sun May 14 11:22:00 UTC 2017	95.0	1.335361536E9	1345010.5	5.0	2.0279296E7	5488.69970703125	28.0	8.02029568E8	5182.6728515625	15.0	17.0	1.173807104E9	1.190711296E9	241167.890625	0.07199999690055847	0.08124999701976776	0.07599999755620956	0.08824999630451202	0.8084880709648132	41.0	342.0	330.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1726615E7	9.6517883E7	7149475.0	1.9821854E7	3.7096475E7	4805758.0	8.0504382E7	6191256.0	6191256.0	1400245.0	1467316.0	
Sun May 14 11:23:00 UTC 2017	101.0	1.321160704E9	1809096.5	7.0	2.0279296E7	25018.798828125	24.0	8.02701312E8	5182.6728515625	19.0	18.0	1.173721088E9	1.190404096E9	363203.0	0.07500000298023224	0.08924999833106995	0.07450000196695328	0.10074999928474426	0.8062565326690674	41.0	515.0	487.0	0.0	0.0	0.0	0.0	0.0	0.0	8.54894E7	9.2307565E7	9725562.0	4727973.0	5.2942969E7	7451823.0	7.4373417E7	6074676.0	6074676.0	1393332.0	1439193.0	
Sun May 14 11:24:00 UTC 2017	106.0	1.301778432E9	1809096.5	7.0	1.9451904E7	25018.798828125	34.0	8.0273408E8	5286.20947265625	19.0	19.0	1.173491712E9	1.190416384E9	381403.375	0.08150000125169754	0.08049999922513962	0.07374999672174454	0.09700000286102295	0.804751992225647	41.0	679.0	650.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3837669E7	7.7873769E7	6026032.0	2.6870262E7	1.6245683E7	4.8324532E7	7.1621231E7	6001258.0	6001258.0	1460875.0	1513419.0	
Sun May 14 11:25:00 UTC 2017	106.0	1.281224704E9	2031952.625	8.0	1.9451904E7	26966.7421875	28.0	8.03196928E8	5028.25	18.0	21.0	1.173495808E9	1.190244352E9	331274.3125	0.1002499982714653	0.09075000137090683	0.07900000363588333	0.10625000298023224	0.8033223748207092	41.0	849.0	808.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8564494E7	9.2679717E7	2.1602716E7	5413003.0	1.7976782E7	5296108.0	7.7048887E7	6999591.0	6999591.0	1289302.0	1462276.0	
Sun May 14 11:26:00 UTC 2017	141.0	1.268219904E9	2031614.625	7.0	2.0279296E7	26966.7421875	25.0	8.02762752E8	5028.25	18.0	20.0	1.17325824E9	1.190096896E9	331274.3125	0.07599999755620956	0.0807500034570694	0.07800000160932541	0.09200000017881393	0.8013574481010437	120.0	1055.0	1009.0	0.0	0.0	0.0	0.0	0.0	0.0	6.357504E7	7.1011271E7	4776435.0	6353517.0	4837996.0	4600962.0	3.1611651E7	6077963.0	6077963.0	1331008.0	1642702.0	
