_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge1	memusage_edge1	cpuusage_edge2	memusage_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count1	status_500_count1	status_0_count1	status_other_count1	status_200_count2	status_500_count2	status_0_count2	status_other_count2	responseTimePercentile_middle	responseTimePercentile_edge1	responseTimePercentile_edge2	
2017-04-20-20:06:00	1.0	1.068490752E9	0.0	1069056.0	0.0	4.6186496E8	84.0	1052672.0	0.0	0.054999999701976776	0.08874999731779099	0.9747499823570251	0.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:06:00	1.0	1.068490752E9	0.0	1069056.0	0.0	4.6186496E8	84.0	1052672.0	0.0	0.054999999701976776	0.08874999731779099	0.9747499823570251	0.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:05:00	172.0	1.067053056E9	0.0	1069056.0	91.0	0.0	84.0	4.76635136E8	0.0	0.06875000149011612	0.1354999989271164	0.9572499990463257	0.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:05:00	172.0	1.067053056E9	0.0	1069056.0	91.0	0.0	84.0	4.76635136E8	0.0	0.06875000149011612	0.1354999989271164	0.9572499990463257	0.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:04:00	400.0	1.067331584E9	0.0	2.9929472E7	91.0	1044480.0	84.0	1052672.0	0.0	0.06274999678134918	0.13774999976158142	0.956250011920929	600.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:04:00	400.0	1.067331584E9	0.0	2.9929472E7	91.0	1044480.0	84.0	1052672.0	0.0	0.06274999678134918	0.13774999976158142	0.956250011920929	600.0	18787.0	12516.0	4.0	0.0	18905.0	12663.0	5.0	0.0	null	null	null	
2017-04-20-20:03:00	400.0	1.068367872E9	0.0	2.936832E7	91.0	4.43838464E8	84.0	0.0	0.0	0.07275000214576721	0.1352500021457672	0.9587500095367432	600.0	17944.0	11395.0	3.0	0.0	18094.0	11516.0	0.0	0.0	null	null	null	
2017-04-20-20:03:00	400.0	1.068367872E9	0.0	2.936832E7	91.0	4.43838464E8	84.0	0.0	0.0	0.07275000214576721	0.1352500021457672	0.9587500095367432	600.0	17944.0	11395.0	3.0	0.0	18094.0	11516.0	0.0	0.0	null	null	null	
2017-04-20-20:02:00	401.0	1.068511232E9	0.0	2.936832E7	91.0	4.43838464E8	84.0	4.46365696E8	0.0	0.05974999815225601	0.13574999570846558	0.9574999809265137	600.0	17143.0	10219.0	1.0	0.0	17316.0	10336.0	0.0	0.0	null	null	null	
2017-04-20-20:02:00	401.0	1.068511232E9	0.0	2.936832E7	91.0	4.43838464E8	84.0	4.46365696E8	0.0	0.05974999815225601	0.13574999570846558	0.9574999809265137	600.0	17143.0	10219.0	1.0	0.0	17316.0	10336.0	0.0	0.0	null	null	null	
