Time;middletier-jwnhp;Limit;cpu/node_reservation.distinct;cpu/node_utilization.distinct;cpu/usage_rate.count;cfp.distinct {hostname: middletier-jwnhp};cfp.distinct {hostname: middletier-ppdbq};fpm.distinct {hostname: 10.0.11.64};fpm.distinct {hostname: middletier-jwnhp};fpm.distinct {hostname: middletier-ppdbq};test_results.fail_count_elapsed;test_results.fail_count_elapsed
2017-07-27T09:46:22+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:22+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:23+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:23+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:24+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:24+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:25+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:25+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:26+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:26+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:27+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:27+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:28+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:28+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:29+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:29+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:30+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:30+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:31+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:31+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:32+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:32+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:33+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:33+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:34+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
