_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 19:32:00 UTC 2017,989,1190531072,20023606,83,31412224,218493.515625,132,858918912,44382.07421875,179,181,1129086976,1136381952,3959595.5,,0.093999996781349,0.126249998807907,0.300500005483627,0.476749986410141,0.926371097564697,600,31925,31435,1025,1013,0,7,0,0,207934045,209546928,100415712,110712920,105301436,90748483,130323308,56057580,56057580,5889019,5656619
Sun Apr 30 19:31:00 UTC 2017,978,1186496512,20023606,84,32477184,218493.515625,136,858705920,44382.07421875,183,178,1128476672,1136381952,4189316.25,,0.104249998927116,0.131750002503395,0.355500012636185,0.477999985218048,0.92349511384964,600,30127,29633,844,824,0,5,0,0,215288118,213551853,115366853,115568081,109054992,125947177,137939199,57685441,57685441,6390308,6685751
Sun Apr 30 19:30:00 UTC 2017,990,1184346112,20209608,84,30593024,218493.515625,143,858132480,44775.55078125,185,177,1128583168,1135472640,4235041,,0.091750003397465,0.130750000476837,0.18299999833107,0.474500000476837,0.922841489315033,600,28383,27915,603,577,0,3,0,0,216488407,216308448,116615739,119415862,114797604,109043206,149555842,58410329,58410329,5785806,6334824
Sun Apr 30 19:29:00 UTC 2017,994,1178640384,19727314,82,32624640,218493.515625,152,857640960,45512.1796875,184,176,1128923136,1135230976,3897970.25,,0.094499997794628,0.125249996781349,0.190999999642372,0.477250009775162,0.923836171627045,500,26620,26183,404,353,0,2,0,0,206059797,212074261,104539820,99681488,100194093,99592318,132726497,56780631,56780631,5420278,5817640
Sun Apr 30 19:28:00 UTC 2017,978,1174818816,15044419,75,30302208,203053.015625,148,857337856,43132.546875,169,166,1127923712,1135124480,3897970.25,,0.09825000166893,0.131249994039536,0.181500002741814,0.435499995946884,0.921232759952545,500,24831,24415,241,199,0,1,0,0,191349344,184561126,106823809,77461048,74763356,83238408,119052073,54241710,54241710,5945600,5056290
Sun Apr 30 19:27:00 UTC 2017,916,1170354176,15044419,72,30412800,189215.421875,145,856985600,37590.02734375,164,155,1124065280,1132707840,3767813.5,,0.097499996423721,0.122249998152256,0.177750006318092,0.429250001907349,0.920239508152008,500,23005,22599,101,90,0,0,0,0,159382795,158847352,61474991,62385755,56852231,54643322,104847015,45183581,45183581,5111678,4145886
Sun Apr 30 19:26:00 UTC 2017,880,1169231872,15044419,70,29057024,189215.421875,149,856924160,37590.02734375,160,157,1125040128,1132261376,3242780.75,,0.09825000166893,0.130500003695488,0.170000001788139,0.42849999666214,0.919405341148376,400,21243,20932,36,39,0,0,0,0,114162988,115253823,41913617,38435699,31313836,38097527,92429022,26539089,26539089,3408849,3189779
Sun Apr 30 19:25:00 UTC 2017,878,1162678272,15044419,63,29286400,172238.265625,147,856698880,37590.02734375,147,144,1126178816,1132539904,3242780.75,,0.109499998390675,0.121250003576279,0.170249998569489,0.392250001430511,0.930281817913055,400,19682,19360,23,26,0,0,0,0,112032001,110448779,29355923,33363106,36557133,32948713,89010317,24901888,24901888,3073583,3104872
Sun Apr 30 19:24:00 UTC 2017,795,1161715712,15044419,62,27697152,167970.4375,137,856072192,34701.1015625,140,137,1124548608,1132531712,3242780.75,,0.101750001311302,0.116499997675419,0.162249997258186,0.385500013828278,0.929383993148804,400,18103,17789,19,23,0,0,0,0,92358085,96873880,23182357,27648950,19926471,26638205,75377545,15945143,15945143,2869255,2670179
Sun Apr 30 19:23:00 UTC 2017,772,1155313664,15044419,59,28250112,158063.890625,137,855662592,34701.1015625,137,132,1124503552,1132756992,3209597.5,,0.086249999701977,0.120250001549721,0.173500001430512,0.365249991416931,0.92859822511673,350,16586,16309,17,19,0,0,0,0,79440100,81690279,16707284,25546578,20907644,24085113,66078510,13255120,13255120,2256390,2391748
Sun Apr 30 19:22:00 UTC 2017,736,1151664128,14016900,53,28327936,145526.09375,134,855384064,33078.97265625,128,121,1124446208,1132650496,2290945.25,,0.098499998450279,0.11174999922514,0.153500005602837,0.353249996900559,0.927927911281586,350,15184,14932,16,18,0,0,0,0,71356975,74119896,18269944,18997388,11919613,13440010,58646998,11904992,11904992,2516135,2372395
Sun Apr 30 19:21:00 UTC 2017,687,1147936768,13438226,52,26845184,142487.140625,129,855130112,30497.7578125,119,116,1125527552,1132560384,2290945.25,,0.082249999046326,0.117749996483326,0.146500006318092,0.331000000238419,0.927312910556793,350,13798,13553,16,18,0,0,0,0,78047911,74433255,13322516,16021838,19236288,11603941,56568776,11569005,11569005,2268021,2135612
Sun Apr 30 19:20:00 UTC 2017,663,1144242176,10498293,50,27549696,135612.8125,125,854896640,30131.927734375,117,111,1124622336,1132732416,2290945.25,,0.093249998986721,0.108999997377396,0.148249998688698,0.331250011920929,0.926711142063141,300,12484,12282,14,13,0,0,0,0,51411084,46157831,4586759,4908883,6495542,5354505,38460627,8344875,8344875,1980990,2136326
Sun Apr 30 19:19:00 UTC 2017,632,1141907456,10498293,46,28942336,120685.59375,118,854478848,26083.287109375,107,105,1126707200,1132732416,2290945.25,,0.086750000715256,0.10724999755621,0.133000001311302,0.306250005960464,0.928219556808472,300,11300,11082,14,13,0,0,0,0,51982542,48645576,7593625,6377931,5591516,4873933,38706280,8436988,8436988,2033110,1804291
Sun Apr 30 19:18:00 UTC 2017,576,1141309440,10498293,44,27987968,120685.59375,111,854437888,26083.287109375,97,100,1125793792,1132879872,2107428.5,,0.089000001549721,0.099749997258186,0.138750001788139,0.298249989748001,0.926808476448059,300,10110,9899,14,12,0,0,0,0,56243551,47868390,7540044,5831859,6019509,6719617,37144998,8319335,8319335,1797848,2093381
Sun Apr 30 19:17:00 UTC 2017,566,1142300672,10498293,41,28684288,103951.859375,110,853987328,26083.287109375,95,93,1124884480,1132969984,2107428.5,,0.080750003457069,0.105250000953674,0.133499994874001,0.270249992609024,0.925713002681732,250,9013,8825,0,0,0,0,0,0,45314324,43079948,6730213,4447859,5191883,4817544,34495728,7457729,7457729,1710390,1826791
Sun Apr 30 19:16:00 UTC 2017,520,1142218752,9193391,39,26796032,103951.859375,102,853823488,21593.333984375,93,85,1124970496,1133137920,1861150.375,,0.089000001549721,0.101499997079372,0.120250001549721,0.273250013589859,0.925522208213806,250,8018,7831,0,0,0,0,0,0,46087592,38440327,5688768,4750465,4748261,5382118,33309811,7183226,7183226,1914965,1775892
Sun Apr 30 19:15:00 UTC 2017,489,1141231616,9193391,36,26030080,98966.578125,95,853549056,21593.333984375,84,75,1126109184,1134084096,1861150.375,,0.104000002145767,0.097249999642372,0.118500001728535,0.249500006437302,0.925362706184387,250,7026,6826,0,0,0,0,0,0,43474083,39044262,5452366,5681099,7412044,3929059,31708500,6755479,6755479,1946639,1841903
Sun Apr 30 19:14:00 UTC 2017,450,1140609024,8588629,34,26796032,66485.8203125,92,853270528,21593.333984375,85,75,1125109760,1134260224,1861150.375,,0.072999998927116,0.099500000476837,0.112250000238419,0.250499993562698,0.925129771232605,200,6108,5962,0,0,0,0,0,0,43084315,39882041,4136810,3813722,4878339,4680822,31492952,6622569,6622569,1664968,1547650
Sun Apr 30 19:13:00 UTC 2017,441,1141104640,6127929.5,30,27222016,66485.8203125,84,853139456,20140.04296875,71,67,1125404672,1134014464,1550860.25,,0.086999997496605,0.084250003099442,0.106499999761581,0.231749996542931,0.924935042858124,200,5312,5161,0,0,0,0,0,0,43821808,38369652,7779553,4384862,5862503,5251493,30035777,6522979,6522979,1871119,1841683
Sun Apr 30 19:12:00 UTC 2017,383,1142546432,6127929.5,26,26095616,66485.8203125,76,852975616,16639.802734375,63,58,1125642240,1134096384,1346222.375,,0.073250003159046,0.096000000834465,0.098999999463558,0.203749999403954,0.924480020999908,200,4509,4379,0,0,0,0,0,0,39281100,34961778,4296391,4059556,9618871,3816122,28363541,5938118,5938118,1468291,1644208
