('profile: ', [(0, 3), (57, 3), (83, 3), (96, 3), (100, 3), (142, 3), (177, 3), (252, 3), (303, 3), (348, 3), (384, 3), (435, 3), (504, 3), (533, 3), (585, 3), (600, 3)])
('2017-05-15 13:42:45', 1494855765, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-15 13:45:45', 1494855945, 'Users=', 57, 'Duration=', 3, 'min')
('2017-05-15 13:48:45', 1494856125, 'Users=', 83, 'Duration=', 3, 'min')
('2017-05-15 13:51:46', 1494856306, 'Users=', 96, 'Duration=', 3, 'min')
('2017-05-15 13:54:46', 1494856486, 'Users=', 100, 'Duration=', 3, 'min')
('2017-05-15 13:57:46', 1494856666, 'Users=', 142, 'Duration=', 3, 'min')
('2017-05-15 14:00:46', 1494856846, 'Users=', 177, 'Duration=', 3, 'min')
('2017-05-15 14:03:46', 1494857026, 'Users=', 252, 'Duration=', 3, 'min')
('2017-05-15 14:06:46', 1494857206, 'Users=', 303, 'Duration=', 3, 'min')
('2017-05-15 14:09:46', 1494857386, 'Users=', 348, 'Duration=', 3, 'min')
('2017-05-15 14:12:46', 1494857566, 'Users=', 384, 'Duration=', 3, 'min')
('2017-05-15 14:15:46', 1494857746, 'Users=', 435, 'Duration=', 3, 'min')
('2017-05-15 14:18:46', 1494857926, 'Users=', 504, 'Duration=', 3, 'min')
('2017-05-15 14:21:46', 1494858106, 'Users=', 533, 'Duration=', 3, 'min')
('2017-05-15 14:24:46', 1494858286, 'Users=', 585, 'Duration=', 3, 'min')
('2017-05-15 14:27:47', 1494858467, 'Users=', 600, 'Duration=', 3, 'min')
