_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-13-00:03:00 edge-sjsht 142.0 7.72919296E8 0.12524999678134918 0.0 
2017-03-13-00:03:00 edge-sjsht 142.0 7.72919296E8 0.12524999678134918 0.0 
2017-03-13-00:02:00 edge-sjsht 165.0 7.51480832E8 0.10350000113248825 600.0 
2017-03-13-00:02:00 edge-sjsht 165.0 7.51480832E8 0.10350000113248825 600.0 
2017-03-13-00:01:00 edge-sjsht 169.0 7.2732672E8 0.10649999976158142 600.0 
2017-03-13-00:01:00 edge-sjsht 169.0 7.2732672E8 0.10649999976158142 600.0 
2017-03-13-00:00:00 edge-sjsht 166.0 7.00440576E8 0.10300000011920929 600.0 
2017-03-13-00:00:00 edge-sjsht 166.0 7.00440576E8 0.10300000011920929 600.0 
2017-03-12-23:59:00 edge-sjsht 171.0 6.66898432E8 0.10374999791383743 500.0 
2017-03-12-23:59:00 edge-sjsht 171.0 6.66898432E8 0.10374999791383743 500.0 
2017-03-12-23:58:00 edge-sjsht 170.0 6.38910464E8 0.09950000047683716 500.0 
2017-03-12-23:58:00 edge-sjsht 170.0 6.38910464E8 0.09950000047683716 500.0 
2017-03-12-23:57:00 edge-sjsht 161.0 6.13462016E8 0.09849999845027924 500.0 
2017-03-12-23:57:00 edge-sjsht 161.0 6.13462016E8 0.09849999845027924 500.0 
2017-03-12-23:56:00 edge-sjsht 164.0 5.88619776E8 0.09749999642372131 400.0 
2017-03-12-23:56:00 edge-sjsht 164.0 5.88619776E8 0.09749999642372131 400.0 
2017-03-12-23:55:00 edge-sjsht 153.0 5.681152E8 0.08824999630451202 400.0 
2017-03-12-23:55:00 edge-sjsht 153.0 5.681152E8 0.08824999630451202 400.0 
2017-03-12-23:54:00 edge-sjsht 162.0 5.4151168E8 0.0989999994635582 400.0 
2017-03-12-23:54:00 edge-sjsht 162.0 5.4151168E8 0.0989999994635582 400.0 
2017-03-12-23:53:00 edge-sjsht 177.0 5.15592192E8 0.11550000309944153 350.0 
2017-03-12-23:53:00 edge-sjsht 177.0 5.15592192E8 0.11550000309944153 350.0 
2017-03-12-23:52:00 edge-sjsht 189.0 4.816896E8 0.08624999970197678 350.0 
2017-03-12-23:52:00 edge-sjsht 189.0 4.816896E8 0.08624999970197678 350.0 
2017-03-12-23:51:00 edge-sjsht 169.0 4.4787712E8 0.08799999952316284 350.0 
2017-03-12-23:51:00 edge-sjsht 169.0 4.4787712E8 0.08799999952316284 350.0 
2017-03-12-23:50:00 edge-sjsht 164.0 4.22752256E8 0.08974999934434891 300.0 
2017-03-12-23:50:00 edge-sjsht 164.0 4.22752256E8 0.08974999934434891 300.0 
2017-03-12-23:49:00 edge-sjsht 166.0 3.69639424E8 0.08574999868869781 300.0 
2017-03-12-23:49:00 edge-sjsht 166.0 3.69639424E8 0.08574999868869781 300.0 
2017-03-12-23:48:00 edge-sjsht 154.0 3.95272192E8 0.07774999737739563 300.0 
2017-03-12-23:48:00 edge-sjsht 154.0 3.95272192E8 0.07774999737739563 300.0 
2017-03-12-23:47:00 edge-sjsht 144.0 3.95411456E8 0.07874999940395355 250.0 
2017-03-12-23:47:00 edge-sjsht 144.0 3.95411456E8 0.07874999940395355 250.0 
2017-03-12-23:46:00 edge-sjsht 146.0 3.9247872E8 0.07474999874830246 250.0 
2017-03-12-23:46:00 edge-sjsht 146.0 3.9247872E8 0.07474999874830246 250.0 
2017-03-12-23:45:00 edge-sjsht 128.0 3.87313664E8 0.0767500028014183 250.0 
2017-03-12-23:45:00 edge-sjsht 128.0 3.87313664E8 0.0767500028014183 250.0 
2017-03-12-23:44:00 edge-sjsht 121.0 3.89361664E8 0.07524999976158142 200.0 
2017-03-12-23:44:00 edge-sjsht 121.0 3.89361664E8 0.07524999976158142 200.0 
2017-03-12-23:43:00 edge-sjsht 115.0 3.8166528E8 0.09075000137090683 200.0 
2017-03-12-23:43:00 edge-sjsht 115.0 3.8166528E8 0.09075000137090683 200.0 
2017-03-12-23:42:00 edge-sjsht 87.0 3.80116992E8 0.06975000351667404 200.0 
2017-03-12-23:42:00 edge-sjsht 87.0 3.80116992E8 0.06975000351667404 200.0 
2017-03-12-23:41:00 edge-sjsht 85.0 3.80424192E8 0.06575000286102295 150.0 
2017-03-12-23:41:00 edge-sjsht 85.0 3.80424192E8 0.06575000286102295 150.0 
2017-03-12-23:40:00 edge-sjsht 82.0 3.80588032E8 0.061500001698732376 150.0 
2017-03-12-23:40:00 edge-sjsht 82.0 3.80588032E8 0.061500001698732376 150.0 
2017-03-12-23:39:00 edge-sjsht 64.0 3.7670912E8 0.05999999865889549 150.0 
2017-03-12-23:39:00 edge-sjsht 64.0 3.7670912E8 0.05999999865889549 150.0 
2017-03-12-23:38:00 edge-sjsht 62.0 3.75185408E8 0.061000000685453415 100.0 
2017-03-12-23:38:00 edge-sjsht 62.0 3.75185408E8 0.061000000685453415 100.0 
2017-03-12-23:37:00 edge-sjsht 53.0 3.75795712E8 0.05225000157952309 100.0 
2017-03-12-23:37:00 edge-sjsht 53.0 3.75795712E8 0.05225000157952309 100.0 
2017-03-12-23:36:00 edge-sjsht 32.0 3.72723712E8 0.04924999922513962 100.0 
2017-03-12-23:36:00 edge-sjsht 32.0 3.72723712E8 0.04924999922513962 100.0 
2017-03-12-23:35:00 edge-sjsht 26.0 3.72514816E8 0.05050000175833702 50.0 
