_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Mon May 15 11:12:00 UTC 2017	985.0	1.18403072E9	1.8356428E7	74.0	2.70336E7	248680.953125	117.0	8.27805696E8	40622.29296875	191.0	172.0	1.274359808E9	1.298284544E9	3702809.75	3548858.0	0.09799999743700027	0.23549999296665192	0.24025000631809235	0.34975001215934753	0.794858455657959	600.0	52137.0	51168.0	4219.0	3952.0	3.0	11.0	0.0	0.0	3.74413143E8	3.61850319E8	9.3962435E7	9.7933587E7	8.8036405E7	9.4628785E7	1.18960302E8	6.205766E7	6.205766E7	1.0387015E7	7987071.0	
Mon May 15 11:11:00 UTC 2017	986.0	1.175216128E9	1.8356428E7	74.0	2.7066368E7	248680.953125	120.0	8.27564032E8	42309.3046875	196.0	174.0	1.274544128E9	1.298919424E9	3702809.75	3548858.0	0.10100000351667404	0.23499999940395355	0.23475000262260437	0.3622500002384186	0.7946617603302002	600.0	50533.0	49621.0	3823.0	3555.0	2.0	10.0	0.0	0.0	3.84752525E8	3.84341852E8	1.05454124E8	8.833153E7	9.1242528E7	9.6787933E7	1.18720423E8	6.2813188E7	6.2813188E7	9758298.0	8819087.0	
Mon May 15 11:10:00 UTC 2017	991.0	1.192845312E9	1.7939178E7	74.0	2.6238976E7	248680.953125	120.0	8.27379712E8	42309.3046875	196.0	169.0	1.274667008E9	1.298051072E9	3646232.5	3548858.0	0.09749999642372131	0.23874999582767487	0.24150000512599945	0.3474999964237213	0.7941749095916748	600.0	48949.0	48059.0	3422.0	3174.0	2.0	8.0	0.0	0.0	3.64662614E8	3.69503513E8	8.7345527E7	9.1577985E7	8.1734076E7	9.0560262E7	1.18260602E8	6.2372617E7	6.2372617E7	8518954.0	6394344.0	
Mon May 15 11:09:00 UTC 2017	986.0	1.092788224E9	1.7993392E7	74.0	2.6943488E7	250792.625	121.0	8.267776E8	42309.3046875	194.0	172.0	1.27350784E9	1.298046976E9	3659809.25	3706895.25	0.09950000047683716	0.23225000500679016	0.26499998569488525	0.3542500138282776	0.7947556972503662	586.0	47334.0	46467.0	3030.0	2833.0	2.0	6.0	0.0	0.0	3.68778316E8	3.73862545E8	8.6452893E7	8.4643127E7	9.4039979E7	8.8598054E7	1.17457019E8	6.1830163E7	6.1830163E7	7665893.0	7771640.0	
Mon May 15 11:08:00 UTC 2017	993.0	1.189449728E9	1.8283988E7	74.0	2.6198016E7	253164.875	126.0	8.26499072E8	42309.3046875	189.0	169.0	1.2735488E9	1.297498112E9	3659809.25	3706895.25	0.10374999791383743	0.23350000381469727	0.24050000309944153	0.36000001430511475	0.7943628430366516	586.0	45717.0	44874.0	2675.0	2478.0	1.0	5.0	0.0	0.0	3.65087218E8	3.62449874E8	8.0442718E7	8.2102861E7	1.02619852E8	8.4612107E7	1.18209949E8	6.2071026E7	6.2071026E7	8044333.0	9337227.0	
Mon May 15 11:07:00 UTC 2017	991.0	1.185681408E9	1.8283988E7	75.0	2.5391104E7	251924.75	124.0	8.26023936E8	42280.50390625	192.0	180.0	1.273974784E9	1.297494016E9	3615093.25	null	0.10324999690055847	0.2370000034570694	0.24199999868869781	0.351749986410141	0.7941925525665283	586.0	44060.0	43224.0	2370.0	2218.0	1.0	4.0	0.0	0.0	3.08004266E8	3.17696242E8	7.5737853E7	9.2015554E7	8.0519555E7	7.5605229E7	1.11856248E8	6.0204549E7	6.0204549E7	8381646.0	7105692.0	
Mon May 15 11:06:00 UTC 2017	996.0	1.193959424E9	1.8283988E7	73.0	2.6247168E7	251924.75	121.0	8.25556992E8	40897.140625	187.0	176.0	1.274322944E9	1.29826816E9	3473346.0	3804125.5	0.09974999725818634	0.22975000739097595	0.2345000058412552	0.36250001192092896	0.7941137552261353	501.0	42381.0	41615.0	2085.0	1917.0	1.0	3.0	0.0	0.0	3.20947074E8	3.11424081E8	8.0691903E7	8.3175177E7	8.2356625E7	7.5229216E7	1.13835657E8	6.0348026E7	6.0348026E7	7814271.0	7495513.0	
Mon May 15 11:05:00 UTC 2017	993.0	1.17927936E9	1.8283988E7	73.0	2.5288704E7	251924.75	120.0	8.254464E8	41663.7421875	190.0	177.0	1.274105856E9	1.298427904E9	3555672.0	3804125.5	0.12974999845027924	0.23274999856948853	0.2487500011920929	0.3474999964237213	0.7931817173957825	501.0	40748.0	40035.0	1772.0	1608.0	1.0	2.0	0.0	0.0	3.75219452E8	3.48775319E8	9.0176188E7	9.0340599E7	1.01667246E8	9.8248986E7	1.2087913E8	6.2824091E7	6.2824091E7	8790696.0	1.1242678E7	
Mon May 15 11:04:00 UTC 2017	990.0	1.166843904E9	1.800024E7	73.0	2.6902528E7	251924.75	124.0	8.25028608E8	41384.23828125	181.0	168.0	1.274007552E9	1.298423808E9	3598933.0	null	0.0949999988079071	0.22824999690055847	0.23874999582767487	0.35850000381469727	0.7904990315437317	501.0	39135.0	38419.0	1462.0	1333.0	1.0	1.0	0.0	0.0	3.26865052E8	3.43464826E8	8.5810876E7	7.3454084E7	9.07219E7	8.6926726E7	1.15767099E8	6.140299E7	6.140299E7	7040316.0	6800123.0	
Mon May 15 11:03:00 UTC 2017	994.0	1.176047616E9	1.8122122E7	74.0	2.5370624E7	251924.75	127.0	8.24696832E8	39639.578125	185.0	170.0	1.272614912E9	1.299288064E9	3598933.0	null	0.10525000095367432	0.2277500033378601	0.23774999380111694	0.35899999737739563	0.7905391454696655	496.0	37507.0	36814.0	1143.0	1039.0	0.0	1.0	0.0	0.0	3.33184511E8	3.30185041E8	8.3276171E7	8.5949416E7	8.360265E7	8.050056E7	1.16384238E8	6.1816252E7	6.1816252E7	7766612.0	7403346.0	
Mon May 15 11:02:00 UTC 2017	985.0	1.171800064E9	1.7566688E7	75.0	2.6464256E7	251924.75	121.0	8.25044992E8	39639.578125	184.0	161.0	1.271754752E9	1.295990784E9	3480334.75	3659482.25	0.09775000065565109	0.2252500057220459	0.4712499976158142	0.33799999952316284	0.7911487817764282	496.0	35850.0	35177.0	846.0	792.0	0.0	0.0	0.0	0.0	3.08487348E8	3.15155142E8	7.7069645E7	8.2279344E7	7.2860739E7	7.5828317E7	1.10837191E8	5.9717037E7	5.9717037E7	7254973.0	6686777.0	
Mon May 15 11:01:00 UTC 2017	948.0	1.187938304E9	1.7814454E7	73.0	2.6247168E7	211947.46875	126.0	8.26617856E8	40877.94921875	182.0	165.0	1.272594432E9	1.296719872E9	3480334.75	3659482.25	0.1014999970793724	0.22374999523162842	0.3072499930858612	0.35074999928474426	0.790431022644043	496.0	34255.0	33660.0	610.0	537.0	0.0	0.0	0.0	0.0	3.05360645E8	2.9812549E8	8.821351E7	9.3554147E7	7.0424321E7	8.2425482E7	1.10202203E8	5.8088254E7	5.8088254E7	1.0254755E7	1.1005244E7	
Mon May 15 11:00:00 UTC 2017	977.0	1.184468992E9	1.7814454E7	71.0	2.5255936E7	211947.46875	125.0	8.2651136E8	39818.44140625	177.0	165.0	1.273110528E9	1.295368192E9	3468113.25	3659482.25	0.09799999743700027	0.2224999964237213	0.22450000047683716	0.34275001287460327	0.7919057011604309	455.0	32645.0	32055.0	437.0	365.0	0.0	0.0	0.0	0.0	2.99041909E8	2.91368082E8	7.1994179E7	8.2917927E7	6.8618508E7	7.3885209E7	1.11291743E8	5.8482338E7	5.8482338E7	6834440.0	6571614.0	
Mon May 15 10:59:00 UTC 2017	962.0	1.176436736E9	1.7739948E7	69.0	2.5452544E7	211947.46875	129.0	8.2589696E8	39818.44140625	175.0	161.0	1.272496128E9	1.294635008E9	3209793.5	3194674.5	0.10625000298023224	0.21275000274181366	0.22699999809265137	0.34700000286102295	0.791893482208252	455.0	31039.0	30420.0	262.0	219.0	0.0	0.0	0.0	0.0	2.98125485E8	2.75705503E8	7.241884E7	6.3707991E7	6.2169041E7	6.4840943E7	1.06832818E8	5.6256719E7	5.6256719E7	5491318.0	5566513.0	
Mon May 15 10:58:00 UTC 2017	941.0	1.191264256E9	1.6433399E7	68.0	2.381824E7	211947.46875	130.0	8.25593856E8	39694.24609375	168.0	159.0	1.271803904E9	1.29472512E9	3209793.5	3194674.5	0.09825000166893005	0.2240000069141388	0.22875000536441803	0.33000001311302185	0.7891168594360352	455.0	29475.0	28851.0	169.0	150.0	0.0	0.0	0.0	0.0	2.07444488E8	2.00192613E8	5.70784E7	5.4361612E7	5.2491564E7	5.6236596E7	9.8665514E7	4.3123807E7	4.3123807E7	5310559.0	4531803.0	
Mon May 15 10:57:00 UTC 2017	919.0	1.181138944E9	1.6433399E7	64.0	2.5243648E7	211947.46875	129.0	8.2505728E8	39006.16796875	167.0	153.0	1.272725504E9	1.296662528E9	3209793.5	3194674.5	0.10499999672174454	0.2122499942779541	0.22624999284744263	0.31474998593330383	0.7924697995185852	414.0	27905.0	27258.0	124.0	107.0	0.0	0.0	0.0	0.0	1.98928321E8	1.77100459E8	5.1051361E7	4.8953844E7	5.0699664E7	5.237023E7	9.4586708E7	3.9213179E7	3.9213179E7	4391704.0	4498166.0	
Mon May 15 10:56:00 UTC 2017	856.0	1.156079616E9	1.5145284E7	59.0	2.4399872E7	211947.46875	117.0	8.24881152E8	33496.5625	152.0	140.0	1.272295424E9	1.295015936E9	3053380.25	3194674.5	0.10199999809265137	0.20350000262260437	0.19900000095367432	0.30399999022483826	0.7867918610572815	414.0	26287.0	25675.0	90.0	80.0	0.0	0.0	0.0	0.0	1.63059414E8	1.58135138E8	4.5815392E7	4.8088558E7	5.1783823E7	4.6196598E7	8.9383539E7	2.4424736E7	2.4424736E7	4457207.0	4031837.0	
Mon May 15 10:55:00 UTC 2017	817.0	1.109651456E9	1.5145284E7	58.0	2.2929408E7	210082.4375	124.0	8.24619008E8	33496.5625	154.0	138.0	1.272508416E9	1.295474688E9	2989614.0	null	0.11749999970197678	0.1967500001192093	0.20424999296665192	0.2992500066757202	0.781420111656189	414.0	24888.0	24342.0	55.0	49.0	0.0	0.0	0.0	0.0	1.24292043E8	1.33472729E8	5.0642433E7	4.0609861E7	4.2747605E7	4.0290563E7	8.6091904E7	1.3638085E7	1.3638085E7	3068835.0	3042156.0	
