Mon Apr 24 08:45:00 CEST 2017	2.0	null	null	null	null	null	null	null	null	null	null	null	null	0.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:46:00 CEST 2017	5.0	5.88476416E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.23555072E8	null	0.0560000017285347	0.0494999997317791	0.0625	0.33318182826042175	0.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:47:00 CEST 2017	1.0	5.899264E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.23555072E8	null	0.057999998331069946	0.04600000008940697	0.054499998688697815	0.33337458968162537	0.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:48:00 CEST 2017	1.0	5.89938688E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.24566784E8	null	0.05974999815225601	0.05525000020861626	0.06674999743700027	0.333414226770401	0.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:49:00 CEST 2017	2.0	5.89938688E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.23555072E8	null	0.0572500005364418	0.045499999076128006	0.0572500005364418	0.33422690629959106	0.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:50:00 CEST 2017	2.0	5.89942784E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.23559168E8	null	0.061500001698732376	0.048500001430511475	0.06724999845027924	0.3332253694534302	3.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:51:00 CEST 2017	38.0	5.89955072E8	0.0	2.2388736E7	0.0	0.0	9.96814848E8	4.23559168E8	null	0.05575000122189522	0.050999999046325684	0.06174999848008156	0.3336260914802551	3.0	null	null	null	null	null	null	null	null	null	null	
Mon Apr 24 08:52:00 CEST 2017	27.0	6.52193792E8	0.0	2.256896E7	0.0	0.0	9.96814848E8	5.05933824E8	null	0.05999999865889549	0.04899999871850014	0.5609999895095825	0.3689303994178772	3.0	16.0	0.0	0.0	0.0	9.0	0.0	0.0	null	null	null	
Mon Apr 24 08:53:00 CEST 2017	22.0	6.67172864E8	0.0	2.2675456E7	0.0	0.0	9.96814848E8	5.23595776E8	null	0.05900000035762787	0.05400000140070915	0.9900000095367432	0.37391558289527893	3.0	31.0	0.0	0.0	0.0	17.0	0.0	0.0	null	null	null	
Mon Apr 24 08:54:00 CEST 2017	32.0	7.13633792E8	0.0	2.2724608E7	0.0	0.0	9.96814848E8	5.2359168E8	null	0.06575000286102295	0.04450000077486038	0.9900000095367432	0.3794825077056885	5.0	45.0	0.0	0.0	0.0	25.0	0.0	0.0	null	null	null	
Mon Apr 24 08:55:00 CEST 2017	32.0	7.26544384E8	1.0	2.59072E7	1.0	0.0	9.96814848E8	5.2381696E8	null	0.05274999886751175	0.05550000071525574	0.9900000095367432	0.3797628581523895	5.0	65.0	0.0	0.0	0.0	40.0	0.0	0.0	null	null	null	
Mon Apr 24 08:56:00 CEST 2017	34.0	7.61245696E8	1.0	2.5448448E7	1.0	0.0	9.96814848E8	5.53299968E8	null	0.0637499988079071	0.0507499985396862	0.9897500276565552	0.3895380198955536	5.0	85.0	0.0	0.0	0.0	54.0	0.0	0.0	null	null	null	
Mon Apr 24 08:57:00 CEST 2017	36.0	7.90327296E8	1.0	2.5452544E7	1.0	0.0	9.96814848E8	5.54696704E8	null	0.06174999848008156	0.04650000110268593	0.9897500276565552	0.3939419388771057	10.0	103.0	0.0	0.0	0.0	71.0	1.0	0.0	null	null	null	
Mon Apr 24 08:58:00 CEST 2017	47.0	7.91359488E8	2.0	3.05152E7	1.0	0.0	9.96814848E8	5.56969984E8	null	0.054249998182058334	0.05400000140070915	0.9890000224113464	0.39337682723999023	10.0	124.0	6.0	0.0	0.0	96.0	4.0	0.0	null	null	null	
Mon Apr 24 08:59:00 CEST 2017	45.0	8.02308096E8	3.0	2.8299264E7	2.0	0.0	9.96814848E8	5.55917312E8	null	0.06324999779462814	0.051249999552965164	0.9882500171661377	0.3948960304260254	10.0	151.0	8.0	0.0	0.0	125.0	5.0	0.0	null	null	null	
Mon Apr 24 09:00:00 CEST 2017	55.0	8.11196416E8	3.0	2.6554368E7	2.0	0.0	9.96814848E8	5.73456384E8	null	0.061500001698732376	0.05375000089406967	0.9887499809265137	0.3982079029083252	20.0	180.0	9.0	0.0	0.0	154.0	9.0	0.0	null	null	null	
Mon Apr 24 09:01:00 CEST 2017	57.0	8.38557696E8	3.0	3.186688E7	4.0	0.0	9.96814848E8	5.7526272E8	null	0.054499998688697815	0.0507499985396862	0.9872499704360962	0.40194445848464966	20.0	210.0	32.0	0.0	0.0	180.0	28.0	0.0	null	null	null	
Mon Apr 24 09:02:00 CEST 2017	53.0	8.63494144E8	4.0	3.3988608E7	7.0	0.0	9.96814848E8	5.74820352E8	null	0.057750001549720764	0.05324999988079071	0.9867500066757202	0.4053395092487335	20.0	229.0	63.0	0.0	0.0	202.0	51.0	0.0	null	null	null	
Mon Apr 24 09:03:00 CEST 2017	61.0	8.63649792E8	4.0	3.4660352E7	5.0	0.0	9.96814848E8	5.74963712E8	null	0.06324999779462814	0.0494999997317791	0.9869999885559082	0.40572360157966614	50.0	246.0	110.0	0.0	0.0	215.0	125.0	0.0	null	null	null	
Mon Apr 24 09:04:00 CEST 2017	67.0	8.33150976E8	4.0	3.782656E7	7.0	0.0	9.96814848E8	5.90123008E8	null	0.06224999949336052	0.05700000002980232	0.9860000014305115	0.4024743437767029	50.0	266.0	227.0	0.0	0.0	228.0	249.0	0.0	null	null	null	
