('profile: ', [(0, 3), (42, 3), (55, 3), (125, 3), (183, 3), (196, 3), (241, 3), (295, 3), (269, 3), (342, 3), (389, 3), (410, 3), (471, 3), (550, 3), (555, 3), (600, 3)])
('2017-05-14 21:11:01', 1494796261, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 21:14:01', 1494796441, 'Users=', 42, 'Duration=', 3, 'min')
('2017-05-14 21:17:05', 1494796625, 'Users=', 55, 'Duration=', 3, 'min')
('2017-05-14 21:20:06', 1494796806, 'Users=', 125, 'Duration=', 3, 'min')
('2017-05-14 21:23:06', 1494796986, 'Users=', 183, 'Duration=', 3, 'min')
('2017-05-14 21:26:06', 1494797166, 'Users=', 196, 'Duration=', 3, 'min')
('2017-05-14 21:29:06', 1494797346, 'Users=', 241, 'Duration=', 3, 'min')
('2017-05-14 21:32:06', 1494797526, 'Users=', 295, 'Duration=', 3, 'min')
('2017-05-14 21:35:06', 1494797706, 'Users=', 269, 'Duration=', 3, 'min')
('2017-05-14 21:38:06', 1494797886, 'Users=', 342, 'Duration=', 3, 'min')
('2017-05-14 21:41:06', 1494798066, 'Users=', 389, 'Duration=', 3, 'min')
('2017-05-14 21:44:06', 1494798246, 'Users=', 410, 'Duration=', 3, 'min')
('2017-05-14 21:47:06', 1494798426, 'Users=', 471, 'Duration=', 3, 'min')
('2017-05-14 21:50:07', 1494798607, 'Users=', 550, 'Duration=', 3, 'min')
('2017-05-14 21:53:07', 1494798787, 'Users=', 555, 'Duration=', 3, 'min')
('2017-05-14 21:56:07', 1494798967, 'Users=', 600, 'Duration=', 3, 'min')
