_DATE host cpuusage memusage nodecpu locustusers 
2017-03-12-11:47:00 edge-sjsht 0.0 3.89001216E8 0.0430000014603138 0.0 
2017-03-12-11:47:00 edge-sjsht 0.0 3.89001216E8 0.0430000014603138 0.0 
2017-03-12-11:46:00 edge-sjsht 0.0 3.89152768E8 0.041749998927116394 0.0 
2017-03-12-11:46:00 edge-sjsht 0.0 3.89152768E8 0.041749998927116394 0.0 
2017-03-12-11:45:00 edge-sjsht 0.0 3.8924288E8 0.045499999076128006 0.0 
2017-03-12-11:45:00 edge-sjsht 0.0 3.8924288E8 0.045499999076128006 0.0 
2017-03-12-11:44:00 edge-sjsht 0.0 3.89394432E8 0.04100000113248825 0.0 
2017-03-12-11:44:00 edge-sjsht 0.0 3.89394432E8 0.04100000113248825 0.0 
2017-03-12-11:43:00 edge-sjsht 0.0 3.89545984E8 0.0677499994635582 0.0 
2017-03-12-11:43:00 edge-sjsht 0.0 3.89545984E8 0.0677499994635582 0.0 
2017-03-12-11:42:00 edge-sjsht 0.0 3.89640192E8 0.0430000014603138 0.0 
2017-03-12-11:42:00 edge-sjsht 0.0 3.89640192E8 0.0430000014603138 0.0 
2017-03-12-11:41:00 edge-sjsht 0.0 3.89730304E8 0.04574999958276749 0.0 
2017-03-12-11:41:00 edge-sjsht 0.0 3.89730304E8 0.04574999958276749 0.0 
2017-03-12-11:40:00 edge-sjsht 0.0 3.89820416E8 0.04625000059604645 0.0 
2017-03-12-11:40:00 edge-sjsht 0.0 3.89820416E8 0.04625000059604645 0.0 
2017-03-12-11:39:00 edge-sjsht 0.0 3.89971968E8 0.042249999940395355 0.0 
2017-03-12-11:39:00 edge-sjsht 0.0 3.89971968E8 0.042249999940395355 0.0 
2017-03-12-11:38:00 edge-sjsht 0.0 3.9012352E8 0.042500000447034836 0.0 
2017-03-12-11:38:00 edge-sjsht 0.0 3.9012352E8 0.042500000447034836 0.0 
2017-03-12-11:37:00 edge-sjsht 0.0 3.90119424E8 0.04699999839067459 0.0 
2017-03-12-11:37:00 edge-sjsht 0.0 3.90119424E8 0.04699999839067459 0.0 
2017-03-12-11:36:00 edge-sjsht 1.0 3.9026688E8 0.042500000447034836 0.0 
2017-03-12-11:36:00 edge-sjsht 1.0 3.9026688E8 0.042500000447034836 0.0 
2017-03-12-11:35:00 edge-sjsht 0.0 3.90418432E8 0.04374999925494194 0.0 
2017-03-12-11:35:00 edge-sjsht 0.0 3.90418432E8 0.04374999925494194 0.0 
2017-03-12-11:34:00 edge-sjsht 0.0 3.90569984E8 0.04349999874830246 0.0 
2017-03-12-11:34:00 edge-sjsht 0.0 3.90569984E8 0.04349999874830246 0.0 
2017-03-12-11:33:00 edge-sjsht 0.0 3.90721536E8 0.9629999995231628 0.0 
2017-03-12-11:33:00 edge-sjsht 0.0 3.90721536E8 0.9629999995231628 0.0 
2017-03-12-11:32:00 edge-sjsht 0.0 3.90873088E8 0.9942499995231628 0.0 
2017-03-12-11:32:00 edge-sjsht 0.0 3.90873088E8 0.9942499995231628 0.0 
2017-03-12-11:31:00 edge-sjsht 27.0 3.90889472E8 0.9922500252723694 0.0 
2017-03-12-11:31:00 edge-sjsht 27.0 3.90889472E8 0.9922500252723694 0.0 
2017-03-12-11:30:00 edge-sjsht 51.0 3.8985728E8 0.9927499890327454 500.0 
2017-03-12-11:30:00 edge-sjsht 51.0 3.8985728E8 0.9927499890327454 500.0 
2017-03-12-11:29:00 edge-sjsht 48.0 3.89148672E8 0.9925000071525574 500.0 
2017-03-12-11:29:00 edge-sjsht 48.0 3.89148672E8 0.9925000071525574 500.0 
2017-03-12-11:28:00 edge-sjsht 48.0 3.87383296E8 0.9922500252723694 500.0 
2017-03-12-11:28:00 edge-sjsht 48.0 3.87383296E8 0.9922500252723694 500.0 
2017-03-12-11:27:00 edge-sjsht 51.0 3.869696E8 0.9925000071525574 433.0 
2017-03-12-11:27:00 edge-sjsht 51.0 3.869696E8 0.9925000071525574 433.0 
2017-03-12-11:26:00 edge-sjsht 51.0 3.85908736E8 0.9925000071525574 433.0 
2017-03-12-11:26:00 edge-sjsht 51.0 3.85908736E8 0.9925000071525574 433.0 
2017-03-12-11:25:00 edge-sjsht 53.0 3.86039808E8 0.9925000071525574 433.0 
2017-03-12-11:25:00 edge-sjsht 53.0 3.86039808E8 0.9925000071525574 433.0 
2017-03-12-11:24:00 edge-sjsht 49.0 3.83537152E8 0.9925000071525574 366.0 
2017-03-12-11:24:00 edge-sjsht 49.0 3.83537152E8 0.9925000071525574 366.0 
2017-03-12-11:23:00 edge-sjsht 46.0 3.83954944E8 0.9922500252723694 359.0 
2017-03-12-11:23:00 edge-sjsht 46.0 3.83954944E8 0.9922500252723694 359.0 
2017-03-12-11:22:00 edge-sjsht 53.0 3.8330368E8 0.9922500252723694 359.0 
2017-03-12-11:22:00 edge-sjsht 53.0 3.8330368E8 0.9922500252723694 359.0 
2017-03-12-11:21:00 edge-sjsht 50.0 3.8309888E8 0.9927499890327454 450.0 
2017-03-12-11:21:00 edge-sjsht 50.0 3.8309888E8 0.9927499890327454 450.0 
2017-03-12-11:20:00 edge-sjsht 50.0 3.83012864E8 0.9925000071525574 450.0 
2017-03-12-11:20:00 edge-sjsht 50.0 3.83012864E8 0.9925000071525574 450.0 
2017-03-12-11:19:00 edge-sjsht 45.0 3.80309504E8 0.9922500252723694 450.0 
2017-03-12-11:19:00 edge-sjsht 45.0 3.80309504E8 0.9922500252723694 450.0 
2017-03-12-11:18:00 edge-sjsht 44.0 3.79928576E8 0.9917500019073486 200.0 
2017-03-12-11:18:00 edge-sjsht 44.0 3.79928576E8 0.9917500019073486 200.0 
2017-03-12-11:17:00 edge-sjsht 50.0 3.79142144E8 0.9925000071525574 200.0 
2017-03-12-11:17:00 edge-sjsht 50.0 3.79142144E8 0.9925000071525574 200.0 
2017-03-12-11:16:00 edge-sjsht 43.0 3.78228736E8 0.9919999837875366 200.0 
2017-03-12-11:16:00 edge-sjsht 43.0 3.78228736E8 0.9919999837875366 200.0 
2017-03-12-11:15:00 edge-sjsht 48.0 3.82087168E8 0.9915000200271606 225.0 
2017-03-12-11:15:00 edge-sjsht 48.0 3.82087168E8 0.9915000200271606 225.0 
2017-03-12-11:14:00 edge-sjsht 57.0 3.81669376E8 0.9919999837875366 225.0 
2017-03-12-11:14:00 edge-sjsht 57.0 3.81669376E8 0.9919999837875366 225.0 
2017-03-12-11:13:00 edge-sjsht 56.0 3.87080192E8 0.0 225.0 
2017-03-12-11:13:00 edge-sjsht 56.0 3.87080192E8 0.0 225.0 
2017-03-12-11:12:00 edge-sjsht 24.0 4.0921088E8 0.9927499890327454 200.0 
2017-03-12-11:12:00 edge-sjsht 24.0 4.0921088E8 0.9927499890327454 200.0 
2017-03-12-11:09:00 edge-sjsht 54.0 4.5273088E8 0.9927499890327454 150.0 
2017-03-12-11:09:00 edge-sjsht 54.0 4.5273088E8 0.9927499890327454 150.0 
2017-03-12-11:08:00 edge-sjsht 57.0 5.05802752E8 0.9925000071525574 150.0 
2017-03-12-11:08:00 edge-sjsht 57.0 5.05802752E8 0.9925000071525574 150.0 
2017-03-12-11:07:00 edge-sjsht 51.0 5.5744512E8 0.9929999709129333 150.0 
2017-03-12-11:07:00 edge-sjsht 51.0 5.5744512E8 0.9929999709129333 150.0 
2017-03-12-11:06:00 edge-sjsht 51.0 5.90094336E8 0.9932500123977661 100.0 
2017-03-12-11:06:00 edge-sjsht 51.0 5.90094336E8 0.9932500123977661 100.0 
2017-03-12-11:05:00 edge-sjsht 51.0 5.93231872E8 0.9934999942779541 50.0 
2017-03-12-11:05:00 edge-sjsht 51.0 5.93231872E8 0.9934999942779541 50.0 
2017-03-12-11:04:00 edge-sjsht 42.0 5.80661248E8 0.9934999942779541 75.0 
2017-03-12-11:04:00 edge-sjsht 42.0 5.80661248E8 0.9934999942779541 75.0 
2017-03-12-11:03:00 edge-sjsht 31.0 5.96885504E8 0.9934999942779541 50.0 
2017-03-12-11:03:00 edge-sjsht 31.0 5.96885504E8 0.9934999942779541 50.0 
2017-03-12-11:02:00 edge-sjsht 39.0 6.119424E8 0.9942499995231628 50.0 
2017-03-12-11:02:00 edge-sjsht 39.0 6.119424E8 0.9942499995231628 50.0 
2017-03-12-11:01:00 edge-sjsht 27.0 6.26704384E8 0.9582499861717224 50.0 
2017-03-12-11:01:00 edge-sjsht 27.0 6.26704384E8 0.9582499861717224 50.0 
2017-03-12-11:00:00 edge-sjsht 21.0 6.08370688E8 0.9944999814033508 20.0 
2017-03-12-11:00:00 edge-sjsht 21.0 6.08370688E8 0.9944999814033508 20.0 
2017-03-12-10:59:00 edge-sjsht 18.0 6.08157696E8 0.9947500228881836 20.0 
2017-03-12-10:59:00 edge-sjsht 18.0 6.08157696E8 0.9947500228881836 20.0 
2017-03-12-10:58:00 edge-sjsht 18.0 5.80743168E8 0.9950000047683716 20.0 
2017-03-12-10:58:00 edge-sjsht 18.0 5.80743168E8 0.9950000047683716 20.0 
2017-03-12-10:57:00 edge-sjsht 16.0 5.80972544E8 0.9952499866485596 10.0 
2017-03-12-10:57:00 edge-sjsht 16.0 5.80972544E8 0.9952499866485596 10.0 
2017-03-12-10:56:00 edge-sjsht 15.0 5.67844864E8 0.9952499866485596 10.0 
2017-03-12-10:56:00 edge-sjsht 15.0 5.67844864E8 0.9952499866485596 10.0 
2017-03-12-10:55:00 edge-sjsht 20.0 5.26692352E8 0.9952499866485596 10.0 
2017-03-12-10:55:00 edge-sjsht 20.0 5.26692352E8 0.9952499866485596 10.0 
2017-03-12-10:54:00 edge-sjsht 8.0 5.2658176E8 0.9952499866485596 5.0 
2017-03-12-10:54:00 edge-sjsht 8.0 5.2658176E8 0.9952499866485596 5.0 
2017-03-12-10:53:00 edge-sjsht 10.0 5.26544896E8 0.9952499866485596 5.0 
2017-03-12-10:53:00 edge-sjsht 10.0 5.26544896E8 0.9952499866485596 5.0 
2017-03-12-10:52:00 edge-sjsht 11.0 5.15362816E8 0.9955000281333923 5.0 
2017-03-12-10:52:00 edge-sjsht 11.0 5.15362816E8 0.9955000281333923 5.0 
2017-03-12-10:51:00 edge-sjsht 7.0 5.11705088E8 0.9955000281333923 3.0 
2017-03-12-10:51:00 edge-sjsht 7.0 5.11705088E8 0.9955000281333923 3.0 
2017-03-12-10:50:00 edge-sjsht 4.0 5.1175424E8 0.7384999990463257 3.0 
2017-03-12-10:50:00 edge-sjsht 4.0 5.1175424E8 0.7384999990463257 3.0 
2017-03-12-10:49:00 edge-sjsht 105.0 4.27188224E8 0.04075000062584877 3.0 
2017-03-12-10:49:00 edge-sjsht 105.0 4.27188224E8 0.04075000062584877 3.0 
2017-03-12-10:48:00 edge-sjsht 0.0 4.27188224E8 0.045499999076128006 0.0 
2017-03-12-10:48:00 edge-sjsht 0.0 4.27188224E8 0.045499999076128006 0.0 
2017-03-12-10:47:00 edge-sjsht 0.0 4.27188224E8 0.03725000098347664 0.0 
2017-03-12-10:47:00 edge-sjsht 0.0 4.27188224E8 0.03725000098347664 0.0 
2017-03-12-10:46:00 edge-sjsht 0.0 4.27188224E8 0.5707499980926514 0.0 
2017-03-12-10:46:00 edge-sjsht 0.0 4.27188224E8 0.5707499980926514 0.0 
2017-03-12-10:45:00 edge-sjsht 0.0 4.27188224E8 0.04500000178813934 0.0 
2017-03-12-10:45:00 edge-sjsht 0.0 4.27188224E8 0.04500000178813934 0.0 
2017-03-12-10:44:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:44:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:43:00 edge-sjsht 0.0 4.27188224E8 0.9922500252723694 0.0 
2017-03-12-10:43:00 edge-sjsht 0.0 4.27188224E8 0.9922500252723694 0.0 
2017-03-12-10:42:00 edge-sjsht 0.0 4.27188224E8 0.9957500100135803 0.0 
2017-03-12-10:42:00 edge-sjsht 0.0 4.27188224E8 0.9957500100135803 0.0 
2017-03-12-10:41:00 edge-sjsht 0.0 4.27188224E8 0.10949999839067459 0.0 
2017-03-12-10:41:00 edge-sjsht 0.0 4.27188224E8 0.10949999839067459 0.0 
2017-03-12-10:40:00 edge-sjsht 0.0 4.27188224E8 0.038750000298023224 0.0 
2017-03-12-10:40:00 edge-sjsht 0.0 4.27188224E8 0.038750000298023224 0.0 
2017-03-12-10:39:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:39:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:38:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:38:00 edge-sjsht 0.0 4.27188224E8 0.0430000014603138 0.0 
2017-03-12-10:37:00 edge-sjsht 0.0 4.27188224E8 0.035999998450279236 0.0 
2017-03-12-10:37:00 edge-sjsht 0.0 4.27188224E8 0.035999998450279236 0.0 
2017-03-12-10:36:00 edge-sjsht 0.0 4.27188224E8 0.0494999997317791 0.0 
2017-03-12-10:36:00 edge-sjsht 0.0 4.27188224E8 0.0494999997317791 0.0 
2017-03-12-10:35:00 edge-sjsht 0.0 null null 0.0 
2017-03-12-10:35:00 edge-sjsht 0.0 null null 0.0 
