_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 20:59:00 UTC 2017,991,1223704576,20203052,84,30642176,216342.078125,145,875933696,45478.7109375,181,182,1128640512,1140572160,3975655.5,,0.094250001013279,0.123499996960163,0.191499993205071,0.476500004529953,0.929208338260651,600,31622,31616,794,748,7,9,0,0,200170093,201350638,91238888,94850769,94794970,87682141,124492962,54986084,54986084,6453165,5451779
Sun Apr 30 20:58:00 UTC 2017,986,1223892992,18049250,83,31637504,216342.078125,146,875933696,45478.7109375,182,177,1127395328,1140477952,3975655.5,,0.095749996602535,0.136250004172325,0.196250006556511,0.47325000166893,0.928845286369324,600,29801,29827,623,575,3,2,0,0,207470508,212818566,109106404,106855206,100634619,112227886,136737217,56874671,56874671,7434165,6380694
Sun Apr 30 20:57:00 UTC 2017,983,1222746112,18049250,84,30629888,216342.078125,144,875540480,44577.140625,182,177,1128259584,1139044352,3975655.5,,0.102250002324581,0.127749994397163,0.216999992728233,0.467750012874603,0.92901998758316,600,27991,28033,429,410,1,2,0,0,188988806,189388171,74073105,70114795,98523393,92839953,116788242,53720163,53720163,5753749,5405743
Sun Apr 30 20:56:00 UTC 2017,982,1223741440,18049250,80,30945280,216342.078125,147,874811392,44577.140625,181,170,1128296448,1138958336,3975655.5,,0.093000002205372,0.130500003695488,0.192249998450279,0.460999995470047,0.930045962333679,500,26186,26214,280,293,1,1,0,0,200938658,192328975,88076179,82981020,86011455,79821441,122243491,54770811,54770811,5259208,6172683
Sun Apr 30 20:55:00 UTC 2017,956,1222664192,18049250,75,31039488,199768.609375,154,874254336,39046.578125,175,158,1128296448,1138868224,3894115.25,,0.128999993205071,0.133249998092651,0.188749998807907,0.444249987602234,0.930474102497101,500,24370,24437,189,175,0,1,0,0,195981837,187761051,75296995,82595641,82367944,79156738,115192800,51537026,51537026,5555851,4494625
Sun Apr 30 20:54:00 UTC 2017,910,1222664192,15896412,71,29536256,164258.21875,148,874319872,39046.578125,166,145,1125695488,1136828416,3894115.25,,0.098750002682209,0.130500003695488,0.173749998211861,0.421499997377396,0.929741680622101,500,22564,22646,90,75,0,0,0,0,136087232,150744997,54397724,50447225,51222880,47852128,100341513,42520074,42520074,3961461,4185497
Sun Apr 30 20:53:00 UTC 2017,856,1223925760,15896412,67,29040640,164258.21875,143,873586688,39046.578125,159,143,1125412864,1136844800,3439395.5,,0.092000000178814,0.120999999344349,0.187000006437302,0.404749989509582,0.930765211582184,400,20881,20948,47,40,0,0,0,0,104655896,107101233,43577474,35426067,29681608,33489949,86204060,21077474,21077474,3407705,3053250
Sun Apr 30 20:52:00 UTC 2017,830,1222729728,15896412,63,29163520,164258.21875,136,873271296,35300.9140625,151,135,1124487168,1136963584,3439395.5,,0.095499999821186,0.126750007271767,0.16525000333786,0.394499987363815,0.929224967956543,400,19325,19371,40,37,0,0,0,0,104197783,103752249,27404447,32874643,34008558,33669517,85088605,21987441,21987441,3051270,3181455
Sun Apr 30 20:51:00 UTC 2017,781,1222676480,15449133,59,27484160,164258.21875,136,873218048,35300.9140625,142,130,1124909056,1137131520,3272623.5,,0.089500002563,0.122000001370907,0.166250005364418,0.375,0.930090010166168,400,17737,17816,30,30,0,0,0,0,88444630,90395905,30139280,26668310,20866312,20074364,72386684,15558573,15558573,2541696,2422650
Sun Apr 30 20:50:00 UTC 2017,756,1222967296,11282488,59,27586560,159276.078125,132,872382464,35300.9140625,139,129,1125081088,1137303552,3039795.5,,0.086999997496605,0.115500003099442,0.181749999523163,0.356499999761581,0.93151181936264,350,16266,16352,20,14,0,0,0,0,77521544,73404172,19961549,14088955,18136812,14320107,60160940,11971848,11971848,2167115,2258491
