('profile: ', [(0, 3), (0, 3), (15, 3), (11, 3), (72, 3), (121, 3), (206, 3), (231, 3), (136, 3), (197, 3), (264, 3), (348, 3), (412, 3), (460, 3), (537, 3), (791, 3)])
('2017-04-29 16:30:13', 1493483413, 'Users=', 3, 'Duration=', 3, 'min')
('2017-04-29 16:33:13', 1493483593, 'Users=', 5, 'Duration=', 3, 'min')
('2017-04-29 16:36:13', 1493483773, 'Users=', 10, 'Duration=', 3, 'min')
('2017-04-29 16:39:13', 1493483953, 'Users=', 20, 'Duration=', 3, 'min')
('2017-04-29 16:42:13', 1493484133, 'Users=', 50, 'Duration=', 3, 'min')
('2017-04-29 16:45:13', 1493484313, 'Users=', 100, 'Duration=', 3, 'min')
('2017-04-29 16:48:13', 1493484493, 'Users=', 150, 'Duration=', 3, 'min')
('2017-04-29 16:51:14', 1493484674, 'Users=', 200, 'Duration=', 3, 'min')
('2017-04-29 16:54:14', 1493484854, 'Users=', 250, 'Duration=', 3, 'min')
('2017-04-29 16:57:14', 1493485034, 'Users=', 300, 'Duration=', 3, 'min')
('2017-04-29 17:00:14', 1493485214, 'Users=', 350, 'Duration=', 3, 'min')
('2017-04-29 17:03:14', 1493485394, 'Users=', 400, 'Duration=', 3, 'min')
('2017-04-29 17:06:14', 1493485574, 'Users=', 500, 'Duration=', 3, 'min')
('2017-04-29 17:09:14', 1493485754, 'Users=', 600, 'Duration=', 3, 'min')
