_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 04:42:00 UTC 2017	2.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 04:43:00 UTC 2017	1.0	1.421635584E9	23604.85546875	0.0	1.9255296E7	7.131865501403809	4.0	8.86870016E8	300.57574462890625	0.0	0.0	1.09062144E9	1.095053312E9	29.760208129882812	0.07774999737739563	0.06350000202655792	0.054249998182058334	0.06650000065565109	0.8184794783592224	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 04:44:00 UTC 2017	1.0	1.421635584E9	21094.474609375	0.0	1.9255296E7	0.0	4.0	8.86870016E8	632.2384643554688	0.0	0.0	1.089683456E9	1.094967296E9	29.760208129882812	0.0729999989271164	0.06750000268220901	0.05299999937415123	0.0637499988079071	0.8164039850234985	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 04:45:00 UTC 2017	6.0	1.420623872E9	21094.474609375	0.0	1.9255296E7	0.0	3.0	8.86960128E8	231.75221252441406	0.0	0.0	1.089593344E9	1.094877184E9	27.825000762939453	0.10849999636411667	0.060750000178813934	0.05299999937415123	0.05700000002980232	0.8173345923423767	27.0	null	null	null	null	null	null	null	null	7.4203855E7	7.7409141E7	3635926.0	1.0399083E7	2.3213341E7	5253342.0	3.4417363E7	7280327.0	7280327.0	1319818.0	3108086.0	
Sat May 13 04:46:00 UTC 2017	38.0	1.421438976E9	21094.474609375	0.0	1.9255296E7	1128.0555419921875	5.0	8.86874112E8	231.75221252441406	1.0	2.0	1.0903552E9	1.094787072E9	27.825000762939453	0.07074999809265137	0.06724999845027924	0.04899999871850014	0.06599999964237213	0.8174529671669006	27.0	118.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	7.9609862E7	8.7473887E7	4833630.0	1.2545087E7	4051002.0	6157276.0	7.1840897E7	2.9740105E7	2.9740105E7	1558261.0	1501117.0	
Sat May 13 04:47:00 UTC 2017	53.0	1.421438976E9	687180.75	3.0	1.9255296E7	9634.53125	16.0	8.86960128E8	3461.5771484375	9.0	10.0	1.090224128E9	1.094643712E9	120609.2109375	0.0807500034570694	0.07500000298023224	0.0677499994635582	0.0820000022649765	0.8166173100471497	27.0	226.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1276063E7	9.5825264E7	5287065.0	9562861.0	3965444.0	4127557.0	8.2073831E7	7870094.0	7870094.0	1659943.0	1435273.0	
Sat May 13 04:48:00 UTC 2017	71.0	1.418272768E9	1022084.5	4.0	1.9259392E7	14227.525390625	19.0	8.87259136E8	3461.5771484375	10.0	12.0	1.089224704E9	1.095368704E9	120609.2109375	0.07249999791383743	0.07150000333786011	0.07100000232458115	0.0820000022649765	0.8166540265083313	81.0	367.0	347.0	0.0	0.0	0.0	0.0	0.0	0.0	8.8589072E7	8.089022E7	5036870.0	3.4041706E7	7526283.0	8433229.0	7.25362E7	6594028.0	6594028.0	1496437.0	1547181.0	
Sat May 13 04:49:00 UTC 2017	137.0	1.411072E9	1022084.5	5.0	1.9259392E7	14227.525390625	19.0	8.8721408E8	3461.5771484375	14.0	15.0	1.089077248E9	1.095348224E9	223347.0625	0.08100000023841858	0.0820000022649765	0.08874999731779099	0.09149999916553497	0.8163134455680847	81.0	688.0	651.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6527727E7	7.3634478E7	2.9533848E7	2.1965969E7	2.4269862E7	3.0337044E7	3.7001197E7	5656749.0	5656749.0	1358132.0	1595211.0	
Sat May 13 04:50:00 UTC 2017	164.0	1.400451072E9	2541308.75	10.0	1.9259392E7	33850.875	39.0	8.87365632E8	9451.1630859375	28.0	30.0	1.089769472E9	1.094598656E9	445351.6875	0.08950000256299973	0.09274999797344208	0.08749999850988388	0.10724999755620956	0.816984236240387	81.0	1007.0	965.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6802274E7	8.4946159E7	2.558021E7	4915068.0	3.7050024E7	4.6708293E7	3.7063395E7	5743374.0	5743374.0	1447194.0	1482971.0	
Sat May 13 04:51:00 UTC 2017	182.0	1.382064128E9	3149021.0	12.0	1.9263488E7	33850.875	42.0	8.87349248E8	9607.9736328125	33.0	31.0	1.090564096E9	1.094508544E9	445351.6875	0.07925000041723251	0.0989999994635582	0.09525000303983688	0.11749999970197678	0.8133524060249329	91.0	1334.0	1291.0	0.0	0.0	0.0	0.0	0.0	0.0	8.385986E7	7.6329613E7	2.3964649E7	2.8770591E7	1.1831488E7	2.8463935E7	4.2054771E7	6142235.0	6142235.0	1450835.0	1587620.0	
