('profile: ', [(0, 3), (64, 3), (99, 3), (180, 3), (216, 3), (218, 3), (222, 3), (237, 3), (256, 3), (273, 3), (349, 3), (388, 3), (404, 3), (458, 3), (523, 3), (600, 3)])
('2017-05-13 03:02:08', 1494644528, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 03:05:08', 1494644708, 'Users=', 64, 'Duration=', 3, 'min')
('2017-05-13 03:08:09', 1494644889, 'Users=', 99, 'Duration=', 3, 'min')
('2017-05-13 03:11:09', 1494645069, 'Users=', 180, 'Duration=', 3, 'min')
('2017-05-13 03:14:09', 1494645249, 'Users=', 216, 'Duration=', 3, 'min')
('2017-05-13 03:17:09', 1494645429, 'Users=', 218, 'Duration=', 3, 'min')
('2017-05-13 03:20:09', 1494645609, 'Users=', 222, 'Duration=', 3, 'min')
('2017-05-13 03:23:09', 1494645789, 'Users=', 237, 'Duration=', 3, 'min')
('2017-05-13 03:26:09', 1494645969, 'Users=', 256, 'Duration=', 3, 'min')
('2017-05-13 03:29:09', 1494646149, 'Users=', 273, 'Duration=', 3, 'min')
('2017-05-13 03:32:09', 1494646329, 'Users=', 349, 'Duration=', 3, 'min')
('2017-05-13 03:35:09', 1494646509, 'Users=', 388, 'Duration=', 3, 'min')
('2017-05-13 03:38:09', 1494646689, 'Users=', 404, 'Duration=', 3, 'min')
('2017-05-13 03:41:10', 1494646870, 'Users=', 458, 'Duration=', 3, 'min')
('2017-05-13 03:44:10', 1494647050, 'Users=', 523, 'Duration=', 3, 'min')
('2017-05-13 03:47:10', 1494647230, 'Users=', 600, 'Duration=', 3, 'min')
