('profile: ', [(0, 3), (52, 3), (98, 3), (104, 3), (138, 3), (120, 3), (184, 3), (242, 3), (220, 3), (275, 3), (354, 3), (405, 3), (466, 3), (534, 3), (571, 3), (600, 3)])
('2017-05-13 22:02:33', 1494712953, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 22:05:33', 1494713133, 'Users=', 52, 'Duration=', 3, 'min')
('2017-05-13 22:08:33', 1494713313, 'Users=', 98, 'Duration=', 3, 'min')
('2017-05-13 22:11:33', 1494713493, 'Users=', 104, 'Duration=', 3, 'min')
('2017-05-13 22:14:33', 1494713673, 'Users=', 138, 'Duration=', 3, 'min')
('2017-05-13 22:17:33', 1494713853, 'Users=', 120, 'Duration=', 3, 'min')
('2017-05-13 22:20:34', 1494714034, 'Users=', 184, 'Duration=', 3, 'min')
('2017-05-13 22:23:34', 1494714214, 'Users=', 242, 'Duration=', 3, 'min')
('2017-05-13 22:26:34', 1494714394, 'Users=', 220, 'Duration=', 3, 'min')
('2017-05-13 22:29:34', 1494714574, 'Users=', 275, 'Duration=', 3, 'min')
('2017-05-13 22:32:34', 1494714754, 'Users=', 354, 'Duration=', 3, 'min')
('2017-05-13 22:35:34', 1494714934, 'Users=', 405, 'Duration=', 3, 'min')
('2017-05-13 22:38:34', 1494715114, 'Users=', 466, 'Duration=', 3, 'min')
('2017-05-13 22:41:34', 1494715294, 'Users=', 534, 'Duration=', 3, 'min')
('2017-05-13 22:44:34', 1494715474, 'Users=', 571, 'Duration=', 3, 'min')
('2017-05-13 22:47:34', 1494715654, 'Users=', 600, 'Duration=', 3, 'min')
