('profile: ', [(0, 3), (72, 3), (128, 3), (164, 3), (225, 3), (217, 3), (268, 3), (347, 3), (296, 3), (376, 3), (400, 3), (471, 3), (525, 3), (546, 3), (593, 3), (600, 3)])
('2017-05-13 03:51:43', 1494647503, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-13 03:54:43', 1494647683, 'Users=', 72, 'Duration=', 3, 'min')
('2017-05-13 03:57:43', 1494647863, 'Users=', 128, 'Duration=', 3, 'min')
('2017-05-13 04:00:43', 1494648043, 'Users=', 164, 'Duration=', 3, 'min')
('2017-05-13 04:03:43', 1494648223, 'Users=', 225, 'Duration=', 3, 'min')
('2017-05-13 04:06:43', 1494648403, 'Users=', 217, 'Duration=', 3, 'min')
('2017-05-13 04:09:44', 1494648584, 'Users=', 268, 'Duration=', 3, 'min')
('2017-05-13 04:12:44', 1494648764, 'Users=', 347, 'Duration=', 3, 'min')
('2017-05-13 04:15:44', 1494648944, 'Users=', 296, 'Duration=', 3, 'min')
('2017-05-13 04:18:44', 1494649124, 'Users=', 376, 'Duration=', 3, 'min')
('2017-05-13 04:21:44', 1494649304, 'Users=', 400, 'Duration=', 3, 'min')
('2017-05-13 04:24:44', 1494649484, 'Users=', 471, 'Duration=', 3, 'min')
('2017-05-13 04:27:44', 1494649664, 'Users=', 525, 'Duration=', 3, 'min')
('2017-05-13 04:30:44', 1494649844, 'Users=', 546, 'Duration=', 3, 'min')
('2017-05-13 04:33:44', 1494650024, 'Users=', 593, 'Duration=', 3, 'min')
('2017-05-13 04:36:44', 1494650204, 'Users=', 600, 'Duration=', 3, 'min')
